stat_date,segment_key,consumption_kwh,contract_count,median_value,calculation_basis,estimate_method,estimate_basis
2026-07-22,hybrid,2000,42,236.82,"{""canonical_outcome"":40,""observed_relational_components"":2}","{""hybrid_base_only"":37,""none"":2,""recurring_forward_curve_shift"":3}","{""canonical_disclosed_phase_timeline"":37,""exact_date_components_held_flat"":2,""market_reset_forward_curve_shift"":3}"
2026-07-22,hybrid,5000,38,506.0102,"{""canonical_outcome"":36,""observed_relational_components"":2}","{""hybrid_base_only"":33,""none"":2,""recurring_forward_curve_shift"":3}","{""canonical_disclosed_phase_timeline"":33,""exact_date_components_held_flat"":2,""market_reset_forward_curve_shift"":3}"
2026-07-22,hybrid,18000,38,1678.42,"{""canonical_outcome"":36,""observed_relational_components"":2}","{""hybrid_base_only"":33,""none"":2,""recurring_forward_curve_shift"":3}","{""canonical_disclosed_phase_timeline"":33,""exact_date_components_held_flat"":2,""market_reset_forward_curve_shift"":3}"
2026-07-22,open_ended,2000,63,288.1814,"{""canonical_outcome"":58,""observed_relational_components"":5}","{""forward_curve_spot"":1,""hold_current_supplier_price"":36,""none"":13,""recurring_forward_curve_shift"":13}","{""canonical_disclosed_phase_timeline"":8,""forward_curve"":1,""market_reset_forward_curve_shift"":13,""relational_open_ended_conservative_hold_flat"":5,""supplier_adjusted_hold_flat"":36}"
2026-07-22,open_ended,5000,61,638.3735,"{""canonical_outcome"":58,""observed_relational_components"":3}","{""forward_curve_spot"":1,""hold_current_supplier_price"":35,""none"":10,""recurring_forward_curve_shift"":15}","{""canonical_disclosed_phase_timeline"":7,""forward_curve"":1,""market_reset_forward_curve_shift"":15,""relational_open_ended_conservative_hold_flat"":3,""supplier_adjusted_hold_flat"":35}"
2026-07-22,open_ended,18000,61,2155.8725,"{""canonical_outcome"":58,""observed_relational_components"":3}","{""forward_curve_spot"":1,""hold_current_supplier_price"":35,""none"":10,""recurring_forward_curve_shift"":15}","{""canonical_disclosed_phase_timeline"":7,""forward_curve"":1,""market_reset_forward_curve_shift"":15,""relational_open_ended_conservative_hold_flat"":3,""supplier_adjusted_hold_flat"":35}"
2026-07-22,quarterly,2000,13,268.0082,"{""canonical_outcome"":13}","{""recurring_forward_curve_shift"":13}","{""market_reset_forward_curve_shift"":13}"
2026-07-22,quarterly,5000,13,581.8204,"{""canonical_outcome"":13}","{""recurring_forward_curve_shift"":13}","{""market_reset_forward_curve_shift"":13}"
2026-07-22,quarterly,18000,13,1941.6735,"{""canonical_outcome"":13}","{""recurring_forward_curve_shift"":13}","{""market_reset_forward_curve_shift"":13}"
2026-07-23,hybrid,2000,45,236.24,"{""canonical_outcome"":6,""observed_relational_components"":39}","{""hybrid_base_only"":5,""none"":40}","{""canonical_disclosed_phase_timeline"":6,""exact_date_components_held_flat"":39}"
2026-07-23,hybrid,5000,41,509.24,"{""canonical_outcome"":6,""observed_relational_components"":35}","{""hybrid_base_only"":5,""none"":36}","{""canonical_disclosed_phase_timeline"":6,""exact_date_components_held_flat"":35}"
2026-07-23,hybrid,18000,41,1692.24,"{""canonical_outcome"":6,""observed_relational_components"":35}","{""hybrid_base_only"":5,""none"":36}","{""canonical_disclosed_phase_timeline"":6,""exact_date_components_held_flat"":35}"
