date,segment,consumption,count,median_eur,dominant,methods
2026-07-22,fixed_term_12,2000,50,264.15999999999997,none,"{""hold_last_known_price"":19,""none"":31}"
2026-07-22,fixed_term_12,5000,50,579.9425,none,"{""hold_last_known_price"":19,""none"":31}"
2026-07-22,fixed_term_12,18000,48,1940.9999999999998,none,"{""hold_last_known_price"":17,""none"":31}"
2026-07-22,fixed_term_13_23,2000,2,259.49,hold_last_known_price|none,"{""hold_last_known_price"":1,""none"":1}"
2026-07-22,fixed_term_13_23,5000,2,554.99,hold_last_known_price|none,"{""hold_last_known_price"":1,""none"":1}"
2026-07-22,fixed_term_13_23,18000,2,1835.4899999999998,hold_last_known_price|none,"{""hold_last_known_price"":1,""none"":1}"
2026-07-22,fixed_term_24,2000,51,246.68,none,"{""hold_last_known_price"":11,""none"":40}"
2026-07-22,fixed_term_24,5000,51,528.9999999999999,none,"{""hold_last_known_price"":11,""none"":40}"
2026-07-22,fixed_term_24,18000,49,1760.8799999999999,none,"{""hold_last_known_price"":10,""none"":39}"
2026-07-22,fixed_term_6,2000,20,286.89,term_price_annualized,"{""hold_last_known_price"":6,""hybrid_base_only"":1,""none"":1,""term_price_annualized"":12}"
2026-07-22,fixed_term_6,5000,20,636.0297916666667,term_price_annualized,"{""hold_last_known_price"":6,""hybrid_base_only"":1,""none"":1,""term_price_annualized"":12}"
2026-07-22,fixed_term_6,18000,20,2151.49125,term_price_annualized,"{""hold_last_known_price"":6,""hybrid_base_only"":1,""none"":1,""term_price_annualized"":12}"
2026-07-22,fixed_term_other,2000,1,250.20000000000002,none,"{""none"":1}"
2026-07-22,fixed_term_other,5000,1,561.6000000000001,none,"{""none"":1}"
2026-07-22,fixed_term_other,18000,1,1911,none,"{""none"":1}"
2026-07-22,fixed_term_over24,2000,1,228.64999999999998,none,"{""none"":1}"
2026-07-22,fixed_term_over24,5000,1,498.05000000000007,none,"{""none"":1}"
2026-07-22,fixed_term_over24,18000,1,1665.4500000000003,none,"{""none"":1}"
2026-07-22,hybrid,2000,42,236.82,hybrid_base_only,"{""hybrid_base_only"":37,""none"":2,""recurring_forward_curve_shift"":3}"
2026-07-22,hybrid,5000,38,506.0102090053763,hybrid_base_only,"{""hybrid_base_only"":33,""none"":2,""recurring_forward_curve_shift"":3}"
