status,v2_segment,v3_segment,kwh,v2_method,v3_method,v2_basis,v3_basis,reason,pair_days,unique_contracts,date_count,first_date,last_date,min_delta,max_delta
changed,fixed_term_12,fixed_term_12,18000,none,none,canonical_outcome,observed_relational_components,,1,1,1,2026-09-14,2026-09-14,0.0,0.0
changed,fixed_term_12,fixed_term_12,18000,none,none,observed_relational_components,canonical_outcome,,42,42,1,2026-07-23,2026-07-23,-6.821210263296962e-13,4.547473508864641e-13
changed,fixed_term_12,fixed_term_12,2000,none,none,canonical_outcome,observed_relational_components,,1,1,1,2026-09-14,2026-09-14,5.684341886080802e-14,5.684341886080802e-14
changed,fixed_term_12,fixed_term_12,2000,none,none,observed_relational_components,canonical_outcome,,42,42,1,2026-07-23,2026-07-23,-3.3333333362861595e-05,3.3333333362861595e-05
changed,fixed_term_12,fixed_term_12,5000,none,none,canonical_outcome,observed_relational_components,,1,1,1,2026-09-14,2026-09-14,1.1368683772161603e-13,1.1368683772161603e-13
changed,fixed_term_12,fixed_term_12,5000,none,none,observed_relational_components,canonical_outcome,,42,42,1,2026-07-23,2026-07-23,-4.999999998744897e-05,3.333333347654843e-05
changed,fixed_term_13_23,fixed_term_13_23,18000,none,none,observed_relational_components,canonical_outcome,,2,2,1,2026-07-23,2026-07-23,0.0,0.0
changed,fixed_term_13_23,fixed_term_13_23,2000,none,none,observed_relational_components,canonical_outcome,,2,2,1,2026-07-23,2026-07-23,-5.684341886080802e-14,0.0
changed,fixed_term_13_23,fixed_term_13_23,5000,none,none,observed_relational_components,canonical_outcome,,2,2,1,2026-07-23,2026-07-23,0.0,1.1368683772161603e-13
changed,fixed_term_24,fixed_term_24,18000,none,none,observed_relational_components,canonical_outcome,,41,41,1,2026-07-23,2026-07-23,-4.547473508864641e-13,6.821210263296962e-13
changed,fixed_term_24,fixed_term_24,2000,none,none,observed_relational_components,canonical_outcome,,41,41,1,2026-07-23,2026-07-23,-3.3333333362861595e-05,5.684341886080802e-14
changed,fixed_term_24,fixed_term_24,5000,none,none,observed_relational_components,canonical_outcome,,41,41,1,2026-07-23,2026-07-23,-4.999999998744897e-05,1.6666666738274216e-05
