status,contract,kwh,segment,guard_or_reason,pair_days,first_date,last_date
lost,096kvt-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk-perusmaksu-0-koko-sopimuskauden-ajan,2000,fixed_term_below6,unknown_short_fixed_term_duration,35,2026-06-10,2026-07-14
lost,096kvt-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk-perusmaksu-0-koko-sopimuskauden-ajan,5000,fixed_term_below6,unknown_short_fixed_term_duration,35,2026-06-10,2026-07-14
lost,096kvt-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk-perusmaksu-0-koko-sopimuskauden-ajan,18000,fixed_term_below6,unknown_short_fixed_term_duration,35,2026-06-10,2026-07-14
lost,0flemf-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,0flemf-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,0flemf-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,0xadsb-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-24,2026-01-26
lost,0xadsb-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-24,2026-01-26
lost,0xadsb-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-24,2026-01-26
lost,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko,2000,quarterly,insufficient_promotion_terms,4,2026-07-24,2026-07-27
lost,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko,5000,quarterly,insufficient_promotion_terms,4,2026-07-24,2026-07-27
lost,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko,18000,quarterly,insufficient_promotion_terms,4,2026-07-24,2026-07-27
lost,1xpsyz-paneliankosken-voima-oy-kosken-markkinawoima,2000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,1xpsyz-paneliankosken-voima-oy-kosken-markkinawoima,5000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,1xpsyz-paneliankosken-voima-oy-kosken-markkinawoima,18000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,35idqf-vattenfall-oy-taysvesi-24-kk,2000,fixed_term_24,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,35idqf-vattenfall-oy-taysvesi-24-kk,5000,fixed_term_24,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,35idqf-vattenfall-oy-taysvesi-24-kk,18000,fixed_term_24,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,3sivst-helen-oy-helpposahko-s,2000,open_ended,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,6txgrh-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk,2000,fixed_term_below6,unknown_short_fixed_term_duration,25,2026-05-09,2026-06-02
lost,6txgrh-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk,5000,fixed_term_below6,unknown_short_fixed_term_duration,25,2026-05-09,2026-06-02
lost,6txgrh-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk,18000,fixed_term_below6,unknown_short_fixed_term_duration,25,2026-05-09,2026-06-02
lost,bdfd4u-keravan-energia-oy-perusfiksu-24kk,2000,hybrid,ambiguous_energy_mechanisms,1,2026-09-16,2026-09-16
lost,bdfd4u-keravan-energia-oy-perusfiksu-24kk,5000,hybrid,ambiguous_energy_mechanisms,1,2026-09-16,2026-09-16
lost,bdfd4u-keravan-energia-oy-perusfiksu-24kk,18000,hybrid,ambiguous_energy_mechanisms,1,2026-09-16,2026-09-16
lost,cxdwul-kokkolan-energia-oy-surffari-kesakampanja,2000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,cxdwul-kokkolan-energia-oy-surffari-kesakampanja,5000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,cxdwul-kokkolan-energia-oy-surffari-kesakampanja,18000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,dgh71e-turku-energia-oy-louna-helppo-m,2000,open_ended,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,dgh71e-turku-energia-oy-louna-helppo-m,5000,open_ended,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,dgh71e-turku-energia-oy-louna-helppo-m,18000,open_ended,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,dyxylq-vattenfall-oy-taystuuli-12-kk,2000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,dyxylq-vattenfall-oy-taystuuli-12-kk,5000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,dyxylq-vattenfall-oy-taystuuli-12-kk,18000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,e4ohro-vattenfall-oy-optimi-porssisahko-vesi,2000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,e4ohro-vattenfall-oy-optimi-porssisahko-vesi,5000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,e4ohro-vattenfall-oy-optimi-porssisahko-vesi,18000,spot,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,fddbph-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-21,2026-01-23
lost,fddbph-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-21,2026-01-23
lost,fddbph-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-21,2026-01-23
lost,ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,2000,fixed_term_7_11,unknown_short_fixed_term_duration,63,2026-02-03,2026-04-07
lost,ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,5000,fixed_term_7_11,unknown_short_fixed_term_duration,63,2026-02-03,2026-04-07
lost,ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,18000,fixed_term_7_11,unknown_short_fixed_term_duration,63,2026-02-03,2026-04-07
lost,h191sf-hehku-energia-oy-hehku-jatkuva,2000,open_ended,insufficient_promotion_terms,28,2026-08-12,2026-09-08
lost,h191sf-hehku-energia-oy-hehku-jatkuva,5000,open_ended,insufficient_promotion_terms,28,2026-08-12,2026-09-08
lost,h191sf-hehku-energia-oy-hehku-jatkuva,18000,open_ended,insufficient_promotion_terms,28,2026-08-12,2026-09-08
lost,h8icyg-hehku-energia-oy-hehku-jatkuva,2000,open_ended,insufficient_promotion_terms,8,2026-07-23,2026-07-30
lost,h8icyg-hehku-energia-oy-hehku-jatkuva,5000,open_ended,insufficient_promotion_terms,8,2026-07-23,2026-07-30
lost,h8icyg-hehku-energia-oy-hehku-jatkuva,18000,open_ended,insufficient_promotion_terms,8,2026-07-23,2026-07-30
lost,iq7fja-vimpelin-voima-oy-vuodenaikatariffi,2000,open_ended,insufficient_promotion_terms,1,2026-07-24,2026-07-24
lost,iq7fja-vimpelin-voima-oy-vuodenaikatariffi,5000,open_ended,insufficient_promotion_terms,1,2026-07-24,2026-07-24
lost,iq7fja-vimpelin-voima-oy-vuodenaikatariffi,18000,open_ended,insufficient_promotion_terms,1,2026-07-24,2026-07-24
lost,kvwny9-vihrea-alyenergia-oy-vire-tuuli-porssisahko-tarjous-ensimmaiset-12-kk,2000,spot,exact_date_components_unavailable,1,2026-09-14,2026-09-14
lost,kvwny9-vihrea-alyenergia-oy-vire-tuuli-porssisahko-tarjous-ensimmaiset-12-kk,5000,spot,exact_date_components_unavailable,1,2026-09-14,2026-09-14
lost,kvwny9-vihrea-alyenergia-oy-vire-tuuli-porssisahko-tarjous-ensimmaiset-12-kk,18000,spot,exact_date_components_unavailable,1,2026-09-14,2026-09-14
lost,kw0pi8-turku-energia-oy-louna-helppo-xs,2000,open_ended,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,kw0pi8-turku-energia-oy-louna-helppo-xs,5000,open_ended,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,kw0pi8-turku-energia-oy-louna-helppo-xs,18000,open_ended,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,lw9yb0-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,lw9yb0-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,lw9yb0-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,mxa020-aalto-energia-oyj-ankkuri-kiintea-9kk,2000,fixed_term_7_11,unknown_short_fixed_term_duration,7,2026-01-21,2026-01-27
lost,mxa020-aalto-energia-oyj-ankkuri-kiintea-9kk,5000,fixed_term_7_11,unknown_short_fixed_term_duration,7,2026-01-21,2026-01-27
lost,mxa020-aalto-energia-oyj-ankkuri-kiintea-9kk,18000,fixed_term_7_11,unknown_short_fixed_term_duration,7,2026-01-21,2026-01-27
lost,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2000,fixed_term_6,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,5000,fixed_term_6,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,18000,fixed_term_6,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,2000,fixed_term_7_11,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,5000,fixed_term_7_11,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,18000,fixed_term_7_11,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,qezbfw-vattenfall-oy-taysvesi-12-kk,2000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,qezbfw-vattenfall-oy-taysvesi-12-kk,5000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,qezbfw-vattenfall-oy-taysvesi-12-kk,18000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,2000,fixed_term_7_11,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,5000,fixed_term_7_11,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,18000,fixed_term_7_11,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,sk027a-hehku-energia-oy-hehku-jatkuva,2000,open_ended,insufficient_promotion_terms,7,2026-08-05,2026-08-11
lost,sk027a-hehku-energia-oy-hehku-jatkuva,5000,open_ended,insufficient_promotion_terms,7,2026-08-05,2026-08-11
