date,previous_date,segment,kwh,status,previous_method,method,previous_segment,new_segment,reason,source_gap_flags,contracts,contract_ids
2026-07-01,2026-06-30,quarterly,2000,lost_member,recurring_spot_seasonal_index,,quarterly,,missing_date_identity,,5,kwkidj-vaasan-sahko-myynti-oy-perussahko-yleissahko|p8rglg-vaasan-sahko-myynti-oy-tuulisahko-yosahko|wg5gfy-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|xisap5-vaasan-sahko-myynti-oy-tuulisahko-yleissahko|ygtb1w-vaasan-sahko-myynti-oy-perussahko-yosahko
2026-07-01,2026-06-30,quarterly,2000,method_changed,recurring_spot_seasonal_index,recurring_forward_curve_shift,quarterly,quarterly,,canonical_omitted_no_covering_source_observation,8,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko|9rgh30-aalto-energia-oyj-huoleton|bkzokt-keravan-energia-oy-biokvartaalisahko|gjhzfc-kokkolan-energia-oy-vuodenaika-uusiutuva|hgown7-keravan-energia-oy-kvartaalisahko|jyfo4s-keravan-energia-oy-kvartaalisahko-aika|kngjot-keravan-energia-oy-tuulikvartaalisahko|plbcxh-kokkolan-energia-oy-vuodenaika
2026-07-01,2026-06-30,quarterly,2000,new_member,,recurring_forward_curve_shift,,quarterly,,canonical_omitted_no_covering_source_observation,5,1eh6re-vaasan-sahko-myynti-oy-perussahko-yleissahko|bskkkf-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|dkeces-vaasan-sahko-myynti-oy-perussahko-yosahko|mchasn-vaasan-sahko-myynti-oy-tuulisahko-yosahko|zcosto-vaasan-sahko-myynti-oy-tuulisahko-yleissahko
2026-07-01,2026-06-30,quarterly,5000,lost_member,recurring_spot_seasonal_index,,quarterly,,missing_date_identity,,5,kwkidj-vaasan-sahko-myynti-oy-perussahko-yleissahko|p8rglg-vaasan-sahko-myynti-oy-tuulisahko-yosahko|wg5gfy-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|xisap5-vaasan-sahko-myynti-oy-tuulisahko-yleissahko|ygtb1w-vaasan-sahko-myynti-oy-perussahko-yosahko
2026-07-01,2026-06-30,quarterly,5000,method_changed,recurring_spot_seasonal_index,recurring_forward_curve_shift,quarterly,quarterly,,canonical_omitted_no_covering_source_observation,8,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko|9rgh30-aalto-energia-oyj-huoleton|bkzokt-keravan-energia-oy-biokvartaalisahko|gjhzfc-kokkolan-energia-oy-vuodenaika-uusiutuva|hgown7-keravan-energia-oy-kvartaalisahko|jyfo4s-keravan-energia-oy-kvartaalisahko-aika|kngjot-keravan-energia-oy-tuulikvartaalisahko|plbcxh-kokkolan-energia-oy-vuodenaika
2026-07-01,2026-06-30,quarterly,5000,new_member,,recurring_forward_curve_shift,,quarterly,,canonical_omitted_no_covering_source_observation,5,1eh6re-vaasan-sahko-myynti-oy-perussahko-yleissahko|bskkkf-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|dkeces-vaasan-sahko-myynti-oy-perussahko-yosahko|mchasn-vaasan-sahko-myynti-oy-tuulisahko-yosahko|zcosto-vaasan-sahko-myynti-oy-tuulisahko-yleissahko
2026-07-01,2026-06-30,quarterly,18000,lost_member,recurring_spot_seasonal_index,,quarterly,,missing_date_identity,,5,kwkidj-vaasan-sahko-myynti-oy-perussahko-yleissahko|p8rglg-vaasan-sahko-myynti-oy-tuulisahko-yosahko|wg5gfy-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|xisap5-vaasan-sahko-myynti-oy-tuulisahko-yleissahko|ygtb1w-vaasan-sahko-myynti-oy-perussahko-yosahko
2026-07-01,2026-06-30,quarterly,18000,method_changed,recurring_spot_seasonal_index,recurring_forward_curve_shift,quarterly,quarterly,,canonical_omitted_no_covering_source_observation,8,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko|9rgh30-aalto-energia-oyj-huoleton|bkzokt-keravan-energia-oy-biokvartaalisahko|gjhzfc-kokkolan-energia-oy-vuodenaika-uusiutuva|hgown7-keravan-energia-oy-kvartaalisahko|jyfo4s-keravan-energia-oy-kvartaalisahko-aika|kngjot-keravan-energia-oy-tuulikvartaalisahko|plbcxh-kokkolan-energia-oy-vuodenaika
2026-07-01,2026-06-30,quarterly,18000,new_member,,recurring_forward_curve_shift,,quarterly,,canonical_omitted_no_covering_source_observation,5,1eh6re-vaasan-sahko-myynti-oy-perussahko-yleissahko|bskkkf-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|dkeces-vaasan-sahko-myynti-oy-perussahko-yosahko|mchasn-vaasan-sahko-myynti-oy-tuulisahko-yosahko|zcosto-vaasan-sahko-myynti-oy-tuulisahko-yleissahko
2026-07-24,2026-07-23,open_ended,2000,lost_member,forward_curve_spot,,open_ended,spot,,,1,9a16oh-hehku-energia-oy-hehku-spot
2026-07-24,2026-07-23,open_ended,2000,lost_member,none,,open_ended,,missing_date_identity,,1,4jxjsu-vihrea-alyenergia-oy-vakaa-valinta
2026-07-24,2026-07-23,open_ended,2000,lost_member,recurring_forward_curve_shift,,open_ended,open_ended,canonical_outcome_not_listed,,2,8lw2cg-turku-energia-oy-louna-helppo-l|ztawud-turku-energia-oy-louna-helppo-s
2026-07-24,2026-07-23,open_ended,2000,method_changed,none,supplier_adjusted_forward_curve_shift,open_ended,open_ended,,,5,4rzdsm-lammaisten-energia-oy-toimitusvelvollinen-yleissahko|68g91h-keuruun-sahko-oy-yosahko|frx7ys-lammaisten-energia-oy-toimitusvelvollinen-aikasahko|ppwyv2-lammaisten-energia-oy-toimitusvelvollinen-kausisahko|ymqe7v-helen-oy-perussahko
2026-07-24,2026-07-23,open_ended,2000,method_changed,recurring_forward_curve_shift,supplier_adjusted_forward_curve_shift,open_ended,open_ended,,,1,bgbqwj-imatran-seudun-sahko-oy-huoleton
2026-07-24,2026-07-23,open_ended,2000,method_changed,supplier_adjusted_forward_curve_shift,recurring_forward_curve_shift,open_ended,open_ended,,,1,fwgtme-fortum-markets-oy-fortum-kesto-yleissahko
2026-07-24,2026-07-23,open_ended,2000,new_member,,supplier_adjusted_forward_curve_shift,unclassified,open_ended,,,1,hbdxeg-vihrea-alyenergia-oy-vakaa-valinta
2026-08-07,2026-08-06,open_ended,2000,lost_member,supplier_adjusted_forward_premium,,open_ended,,missing_date_identity,,3,v7syfz-iin-energia-oy-yleissahko|yd7lgu-alajarven-sahko-oy-aikasahko|ydi2at-alajarven-sahko-oy-yleissahko
2026-08-07,2026-08-06,open_ended,5000,lost_member,supplier_adjusted_forward_premium,,open_ended,,missing_date_identity,,3,v7syfz-iin-energia-oy-yleissahko|yd7lgu-alajarven-sahko-oy-aikasahko|ydi2at-alajarven-sahko-oy-yleissahko
2026-08-07,2026-08-06,open_ended,18000,lost_member,supplier_adjusted_forward_premium,,open_ended,,missing_date_identity,,3,v7syfz-iin-energia-oy-yleissahko|yd7lgu-alajarven-sahko-oy-aikasahko|ydi2at-alajarven-sahko-oy-yleissahko
2026-09-14,2026-09-13,open_ended,2000,method_changed,supplier_adjusted_forward_curve_shift,none,open_ended,open_ended,,canonical_omitted_ambiguous_covering_source_snapshots,3,4rzdsm-lammaisten-energia-oy-toimitusvelvollinen-yleissahko|frx7ys-lammaisten-energia-oy-toimitusvelvollinen-aikasahko|ppwyv2-lammaisten-energia-oy-toimitusvelvollinen-kausisahko
2026-09-14,2026-09-13,open_ended,5000,method_changed,supplier_adjusted_forward_curve_shift,none,open_ended,open_ended,,canonical_omitted_ambiguous_covering_source_snapshots,3,4rzdsm-lammaisten-energia-oy-toimitusvelvollinen-yleissahko|frx7ys-lammaisten-energia-oy-toimitusvelvollinen-aikasahko|ppwyv2-lammaisten-energia-oy-toimitusvelvollinen-kausisahko
2026-09-14,2026-09-13,open_ended,18000,method_changed,supplier_adjusted_forward_curve_shift,none,open_ended,open_ended,,canonical_omitted_ambiguous_covering_source_snapshots,3,4rzdsm-lammaisten-energia-oy-toimitusvelvollinen-yleissahko|frx7ys-lammaisten-energia-oy-toimitusvelvollinen-aikasahko|ppwyv2-lammaisten-energia-oy-toimitusvelvollinen-kausisahko
2026-09-15,2026-09-14,open_ended,2000,method_changed,none,supplier_adjusted_forward_curve_shift,open_ended,open_ended,,,3,4rzdsm-lammaisten-energia-oy-toimitusvelvollinen-yleissahko|frx7ys-lammaisten-energia-oy-toimitusvelvollinen-aikasahko|ppwyv2-lammaisten-energia-oy-toimitusvelvollinen-kausisahko
2026-09-15,2026-09-14,open_ended,5000,method_changed,none,supplier_adjusted_forward_curve_shift,open_ended,open_ended,,,3,4rzdsm-lammaisten-energia-oy-toimitusvelvollinen-yleissahko|frx7ys-lammaisten-energia-oy-toimitusvelvollinen-aikasahko|ppwyv2-lammaisten-energia-oy-toimitusvelvollinen-kausisahko
2026-09-15,2026-09-14,open_ended,18000,method_changed,none,supplier_adjusted_forward_curve_shift,open_ended,open_ended,,,3,4rzdsm-lammaisten-energia-oy-toimitusvelvollinen-yleissahko|frx7ys-lammaisten-energia-oy-toimitusvelvollinen-aikasahko|ppwyv2-lammaisten-energia-oy-toimitusvelvollinen-kausisahko
