date,segment,kwh,previous_date,previous_dominant,dominant,previous_count,count,previous_methods,methods
2026-07-01,quarterly,2000,2026-06-30,recurring_spot_seasonal_index,recurring_forward_curve_shift,13,13,"{""recurring_spot_seasonal_index"": 13}","{""recurring_forward_curve_shift"": 13}"
2026-07-01,quarterly,5000,2026-06-30,recurring_spot_seasonal_index,recurring_forward_curve_shift,13,13,"{""recurring_spot_seasonal_index"": 13}","{""recurring_forward_curve_shift"": 13}"
2026-07-01,quarterly,18000,2026-06-30,recurring_spot_seasonal_index,recurring_forward_curve_shift,13,13,"{""recurring_spot_seasonal_index"": 13}","{""recurring_forward_curve_shift"": 13}"
2026-07-24,open_ended,2000,2026-07-23,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,58,55,"{""forward_curve_spot"": 1, ""none"": 11, ""recurring_forward_curve_shift"": 12, ""supplier_adjusted_forward_curve_shift"": 14, ""supplier_adjusted_forward_premium"": 20}","{""none"": 5, ""recurring_forward_curve_shift"": 10, ""supplier_adjusted_forward_curve_shift"": 20, ""supplier_adjusted_forward_premium"": 20}"
2026-08-07,open_ended,2000,2026-08-06,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,47,44,"{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 20, ""supplier_adjusted_forward_premium"": 20}","{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 20, ""supplier_adjusted_forward_premium"": 17}"
2026-08-07,open_ended,5000,2026-08-06,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,43,40,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 20}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 17}"
2026-08-07,open_ended,18000,2026-08-06,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,43,40,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 20}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 17}"
2026-09-14,open_ended,2000,2026-09-13,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,42,42,"{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 16}","{""none"": 10, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 16}"
2026-09-14,open_ended,5000,2026-09-13,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_premium,38,38,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 18, ""supplier_adjusted_forward_premium"": 16}","{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 15, ""supplier_adjusted_forward_premium"": 16}"
2026-09-14,open_ended,18000,2026-09-13,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_premium,38,38,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 18, ""supplier_adjusted_forward_premium"": 16}","{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 15, ""supplier_adjusted_forward_premium"": 16}"
2026-09-15,open_ended,2000,2026-09-14,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,42,42,"{""none"": 10, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 16}","{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 16}"
2026-09-15,open_ended,5000,2026-09-14,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,38,38,"{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 15, ""supplier_adjusted_forward_premium"": 16}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 18, ""supplier_adjusted_forward_premium"": 16}"
2026-09-15,open_ended,18000,2026-09-14,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,38,38,"{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 15, ""supplier_adjusted_forward_premium"": 16}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 18, ""supplier_adjusted_forward_premium"": 16}"
