status,contract,kwh,v2_segment,v3_segment,pair_days,first_date,last_date,reasons
lost,096kvt-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk-perusmaksu-0-koko-sopimuskauden-ajan,2000,fixed_term_below6,fixed_term_below6,35,2026-06-10,2026-07-14,"{""canonical_outcome_not_listed"": 35}"
lost,096kvt-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk-perusmaksu-0-koko-sopimuskauden-ajan,5000,fixed_term_below6,fixed_term_below6,35,2026-06-10,2026-07-14,"{""canonical_outcome_not_listed"": 35}"
lost,096kvt-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk-perusmaksu-0-koko-sopimuskauden-ajan,18000,fixed_term_below6,fixed_term_below6,35,2026-06-10,2026-07-14,"{""canonical_outcome_not_listed"": 35}"
lost,0flemf-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,fixed_term_below6,4,2026-01-30,2026-02-02,"{""canonical_outcome_not_listed"": 4}"
lost,0flemf-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,fixed_term_below6,4,2026-01-30,2026-02-02,"{""canonical_outcome_not_listed"": 4}"
lost,0flemf-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,fixed_term_below6,4,2026-01-30,2026-02-02,"{""canonical_outcome_not_listed"": 4}"
lost,0uohci-vihrea-alyenergia-oy-opiskelijan-verraton-porssisahko,2000,spot,spot,13,2026-07-25,2026-08-06,"{""exact_date_components_unavailable"": 13}"
lost,0uohci-vihrea-alyenergia-oy-opiskelijan-verraton-porssisahko,5000,spot,spot,13,2026-07-25,2026-08-06,"{""exact_date_components_unavailable"": 13}"
lost,0xadsb-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,fixed_term_below6,3,2026-01-24,2026-01-26,"{""canonical_outcome_not_listed"": 3}"
lost,0xadsb-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,fixed_term_below6,3,2026-01-24,2026-01-26,"{""canonical_outcome_not_listed"": 3}"
