table,before_rows,before_sha256,copy_before_sha256,after_rows,after_sha256,unchanged
active_contracts,378,d5b9035c95da944b42d0f19a76c8735ac21e4509c84b23fe1d66e54ea983e9cf,d5b9035c95da944b42d0f19a76c8735ac21e4509c84b23fe1d66e54ea983e9cf,378,d5b9035c95da944b42d0f19a76c8735ac21e4509c84b23fe1d66e54ea983e9cf,True
cache,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
cache_locks,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
companies,39,a5438e8e14c29b40b611d0910af93513a83d58a2ab93e3dd1c2f9bd54eef3fd4,a5438e8e14c29b40b611d0910af93513a83d58a2ab93e3dd1c2f9bd54eef3fd4,39,a5438e8e14c29b40b611d0910af93513a83d58a2ab93e3dd1c2f9bd54eef3fd4,True
contract_dso,1080,f07259031fde4754596ee39bfeabf70f94eae71cef67d05619b5b6a8605a1d02,f07259031fde4754596ee39bfeabf70f94eae71cef67d05619b5b6a8605a1d02,1080,f07259031fde4754596ee39bfeabf70f94eae71cef67d05619b5b6a8605a1d02,True
contract_historical_interpretation_episodes,6534,e00456565b86d29e25102176e24ae51560ec0528f9a62716d7795be473df59a9,e00456565b86d29e25102176e24ae51560ec0528f9a62716d7795be473df59a9,6534,e00456565b86d29e25102176e24ae51560ec0528f9a62716d7795be473df59a9,True
contract_historical_interpretations,6534,31b19c2b24b9ad48ed47d4496bca4b5ddc49925ca713e9f62ad8b050581a8d32,31b19c2b24b9ad48ed47d4496bca4b5ddc49925ca713e9f62ad8b050581a8d32,6534,31b19c2b24b9ad48ed47d4496bca4b5ddc49925ca713e9f62ad8b050581a8d32,True
contract_interpretations,4150,7722f3571a29b1e770242efda2d058e2e1f71d6761d5063eb7e0e09529c775c7,7722f3571a29b1e770242efda2d058e2e1f71d6761d5063eb7e0e09529c775c7,4150,7722f3571a29b1e770242efda2d058e2e1f71d6761d5063eb7e0e09529c775c7,True
contract_order_clicks,1197,238b257d7a4797e8457bd89af63914f4e3e900b2909f5eb7b1c00cccd00e9ffe,238b257d7a4797e8457bd89af63914f4e3e900b2909f5eb7b1c00cccd00e9ffe,1197,238b257d7a4797e8457bd89af63914f4e3e900b2909f5eb7b1c00cccd00e9ffe,True
contract_percentiles,3,60bea8b3342ddcb6114839aa5ca301002b50de5c3ae08faf1d31db7494c3437b,60bea8b3342ddcb6114839aa5ca301002b50de5c3ae08faf1d31db7494c3437b,3,60bea8b3342ddcb6114839aa5ca301002b50de5c3ae08faf1d31db7494c3437b,True
contract_postcode,119073,38628943c884b0510d294deb7bfde200689c1e04ac45b3366c555418c54b2fb2,38628943c884b0510d294deb7bfde200689c1e04ac45b3366c555418c54b2fb2,119073,38628943c884b0510d294deb7bfde200689c1e04ac45b3366c555418c54b2fb2,True
contract_price_annual_costs,417721,ebf58ec98dd2de5eef66b19adb45b76e5b0a8ebf10e3143411bdfdabe456476b,ebf58ec98dd2de5eef66b19adb45b76e5b0a8ebf10e3143411bdfdabe456476b,422942,1e2d2ee8d101884d43a7d8110f830afc9d31662b5f3224ea769949b77feff6be,False
contract_price_daily_statistics,29604,52ce4413edfcee5bfe894021459fb8b5fb14bcd7b2f6422808fa7360d6808457,52ce4413edfcee5bfe894021459fb8b5fb14bcd7b2f6422808fa7360d6808457,29784,dc78d88ebe73cbf41cb51be9de3303c145b00422aa3b84dd001ef42f26c1969b,False
contract_price_snapshots,78073,5ecdbc97a48f6a63c2614bd25b3018a08efd92afecae790235c6eb2343449705,5ecdbc97a48f6a63c2614bd25b3018a08efd92afecae790235c6eb2343449705,78073,5ecdbc97a48f6a63c2614bd25b3018a08efd92afecae790235c6eb2343449705,True
contract_source_observations,2787,f59fe2141bed09037ac5cf632178f2335ef199a0b5c54abd76b6be191cd18e75,f59fe2141bed09037ac5cf632178f2335ef199a0b5c54abd76b6be191cd18e75,2787,f59fe2141bed09037ac5cf632178f2335ef199a0b5c54abd76b6be191cd18e75,True
contract_source_snapshots,2787,8041cf0dbbebc09f052134ccb5ad5a800aed6b717029198b7888f6e54ec0064e,8041cf0dbbebc09f052134ccb5ad5a800aed6b717029198b7888f6e54ec0064e,2787,8041cf0dbbebc09f052134ccb5ad5a800aed6b717029198b7888f6e54ec0064e,True
data_freshness_checkpoints,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
dsos,30,12b1a5ac238ced13c29343544bf5727e7b8849f6b683a11a0ef7d89fb18d89a4,12b1a5ac238ced13c29343544bf5727e7b8849f6b683a11a0ef7d89fb18d89a4,30,12b1a5ac238ced13c29343544bf5727e7b8849f6b683a11a0ef7d89fb18d89a4,True
electricity_contracts,4622,c6fdcce70f326963ce7f12888709df68ab458ecd5dfb211dbf6349650957ddee,c6fdcce70f326963ce7f12888709df68ab458ecd5dfb211dbf6349650957ddee,4622,c6fdcce70f326963ce7f12888709df68ab458ecd5dfb211dbf6349650957ddee,True
