segment,v2_central_methods,v3_central_methods,aggregates,first_date,last_date,min_delta,max_delta,lost_pairs_in_aggregates,new_pairs_in_aggregates
open_ended,hold_current_supplier_price,none,9,2026-03-05,2026-05-25,-196.5,-112.69999999999993,0,0
open_ended,hold_current_supplier_price,none|recurring_spot_seasonal_index,3,2026-03-03,2026-03-04,-478.2617232720354,-141.32047868667644,0,0
open_ended,hold_current_supplier_price,none|supplier_adjusted_forward_premium,1,2026-09-10,2026-09-10,426.94610250000005,426.94610250000005,1,0
open_ended,hold_current_supplier_price,none|supplier_adjusted_spot_seasonal_index,4,2026-03-01,2026-03-02,-513.7077803632681,-151.3166056564633,0,0
open_ended,hold_current_supplier_price,recurring_forward_curve_shift,6,2026-05-30,2026-07-29,-201.99652500000002,311.0362733870961,1,1
open_ended,hold_current_supplier_price,recurring_spot_seasonal_index,13,2026-02-01,2026-02-26,-419.1822151502422,-110.24089005179587,0,0
open_ended,hold_current_supplier_price,recurring_spot_seasonal_index|supplier_adjusted_spot_seasonal_index,32,2026-01-28,2026-03-16,-559.5144500483766,-123.49588144531424,0,0
open_ended,hold_current_supplier_price,supplier_adjusted_forward_curve_shift,8,2026-05-01,2026-08-23,-200.89462258064532,361.0304733870962,1,0
open_ended,hold_current_supplier_price,supplier_adjusted_forward_premium,137,2026-04-23,2026-09-11,-400.63240500000006,472.47237096774097,42,0
open_ended,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,93,2026-01-21,2026-04-22,-563.2729569096573,-111.72813905296607,0,0
open_ended,hold_current_supplier_price|none,none|supplier_adjusted_forward_premium,1,2026-07-02,2026-07-02,-153.2835758064516,-153.2835758064516,0,0
open_ended,hold_current_supplier_price|none,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,1,2026-07-01,2026-07-01,-160.1061625000002,-160.1061625000002,0,0
open_ended,hold_current_supplier_price|recurring_forward_curve_shift,none|supplier_adjusted_forward_premium,1,2026-07-03,2026-07-03,-151.67827177419372,-151.67827177419372,0,0
open_ended,hold_current_supplier_price|recurring_forward_curve_shift,recurring_forward_curve_shift|supplier_adjusted_forward_premium,3,2026-07-07,2026-07-09,-139.71994435483884,-135.38527862903265,0,0
open_ended,hold_current_supplier_price|recurring_forward_curve_shift,supplier_adjusted_forward_premium,4,2026-07-04,2026-07-28,-147.59285241935504,330.1795000000002,2,0
open_ended,hold_current_supplier_price|recurring_spot_seasonal_index,supplier_adjusted_spot_seasonal_index,8,2026-02-04,2026-02-11,-127.51394558972197,-122.95723096090751,0,0
open_ended,none,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,2,2026-09-10,2026-09-11,123.36602916666675,130.1425902777778,2,0
open_ended,none,supplier_adjusted_forward_premium,1,2026-07-23,2026-07-23,218.02769012096792,218.02769012096792,5,0
open_ended,recurring_forward_curve_shift,supplier_adjusted_forward_premium,13,2026-04-28,2026-08-01,-281.866935,339.3826846774191,9,2
open_ended,recurring_forward_curve_shift,supplier_adjusted_spot_seasonal_index,9,2026-04-09,2026-04-14,-390.6209470708309,-103.49286307523073,0,0
open_ended,recurring_spot_seasonal_index,supplier_adjusted_spot_seasonal_index,16,2026-04-01,2026-04-08,-535.0708470708314,-155.3201273080307,0,0
open_ended,supplier_adjusted_spot_seasonal_index,none|supplier_adjusted_forward_premium,3,2026-09-12,2026-09-14,128.73029826388904,720.42878875,3,0
open_ended,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,2,2026-09-12,2026-09-13,191.8207881944445,191.97062916666675,2,0
open_ended,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_premium,5,2026-09-14,2026-09-16,151.88415833333352,622.9544149999997,5,0
quarterly,none|recurring_forward_curve_shift,recurring_forward_curve_shift,1,2026-07-23,2026-07-23,227.10630927419288,227.10630927419288,0,1
quarterly,recurring_forward_curve_shift,recurring_spot_seasonal_index,44,2026-04-09,2026-04-30,129.29166473270175,572.3929955895783,0,0
