date,segment,kwh,evidence,v2_count,v3_count,matched,lost,new,unavailable,v2_median,v3_median,v2_dominant,v3_dominant,v2_methods,v3_methods,median_delta,median_delta_percent,large
2026-01-23,open_ended,18000,78,65,65,65,0,0,13,2043.36,1480.0870430903426,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 41, ""none"": 7, ""recurring_spot_seasonal_index"": 17}","{""none"": 6, ""recurring_spot_seasonal_index"": 17, ""supplier_adjusted_spot_seasonal_index"": 42}",-563.2729569096573,-27.566016605476147,True
2026-01-26,open_ended,18000,78,65,65,65,0,0,13,2043.36,1480.0870430903426,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 41, ""none"": 7, ""recurring_spot_seasonal_index"": 17}","{""none"": 6, ""recurring_spot_seasonal_index"": 17, ""supplier_adjusted_spot_seasonal_index"": 42}",-563.2729569096573,-27.566016605476147,True
2026-01-30,open_ended,5000,77,64,64,64,0,0,13,619.8,482.4933022548889,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 41, ""none"": 6, ""recurring_spot_seasonal_index"": 17}","{""none"": 6, ""recurring_spot_seasonal_index"": 17, ""supplier_adjusted_spot_seasonal_index"": 41}",-137.30669774511108,-22.153387825929507,True
2026-02-01,open_ended,5000,77,64,64,64,0,0,13,641.415,531.1741099482041,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 41, ""none"": 6, ""recurring_spot_seasonal_index"": 17}","{""none"": 5, ""recurring_spot_seasonal_index"": 17, ""supplier_adjusted_spot_seasonal_index"": 42}",-110.24089005179587,-17.187139379620973,True
2026-02-11,open_ended,18000,67,58,58,58,0,0,9,2192.55,1770.1256072152487,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 36, ""none"": 6, ""recurring_spot_seasonal_index"": 16}","{""none"": 5, ""recurring_spot_seasonal_index"": 16, ""supplier_adjusted_spot_seasonal_index"": 37}",-422.4243927847515,-19.266351635527194,True
2026-03-11,open_ended,18000,70,62,62,62,0,0,8,2140.545,1605.1957863085063,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 38, ""none"": 8, ""recurring_spot_seasonal_index"": 15, ""rolling_365_spot"": 1}","{""none"": 7, ""recurring_spot_seasonal_index"": 15, ""rolling_365_spot"": 1, ""supplier_adjusted_spot_seasonal_index"": 39}",-535.3492136914938,-25.00994904061787,True
2026-03-12,open_ended,5000,70,62,62,62,0,0,8,638.675,503.6628183464648,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 38, ""none"": 8, ""recurring_spot_seasonal_index"": 15, ""rolling_365_spot"": 1}","{""none"": 7, ""recurring_spot_seasonal_index"": 15, ""rolling_365_spot"": 1, ""supplier_adjusted_spot_seasonal_index"": 39}",-135.01218165353515,-21.139418585906004,True
2026-04-07,open_ended,18000,71,63,63,63,0,0,8,2329.6843,1794.6134529291685,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 37, ""none"": 9, ""recurring_spot_seasonal_index"": 16, ""rolling_365_spot"": 1}","{""none"": 7, ""recurring_spot_seasonal_index"": 16, ""rolling_365_spot"": 1, ""supplier_adjusted_spot_seasonal_index"": 39}",-535.0708470708314,-22.967525989286678,True
2026-04-09,quarterly,5000,15,15,15,15,0,0,0,589.0199,720.1685823450288,recurring_forward_curve_shift,recurring_spot_seasonal_index,"{""recurring_forward_curve_shift"": 15}","{""recurring_spot_seasonal_index"": 15}",131.14868234502876,22.26557750341351,True
2026-04-10,quarterly,5000,15,15,15,15,0,0,0,591.2507,720.5423647327018,recurring_forward_curve_shift,recurring_spot_seasonal_index,"{""recurring_forward_curve_shift"": 15}","{""recurring_spot_seasonal_index"": 15}",129.29166473270175,21.867486115906797,True
2026-04-13,open_ended,5000,75,63,63,63,0,0,12,642.2966,538.8037369247693,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,"{""hold_current_supplier_price"": 37, ""none"": 9, ""recurring_forward_curve_shift"": 16, ""rolling_365_spot"": 1}","{""none"": 7, ""recurring_spot_seasonal_index"": 16, ""rolling_365_spot"": 1, ""supplier_adjusted_spot_seasonal_index"": 39}",-103.49286307523073,-16.112939578884696,True
2026-04-21,quarterly,18000,15,15,15,15,0,0,0,1883.4813,2455.874295589578,recurring_forward_curve_shift,recurring_spot_seasonal_index,"{""recurring_forward_curve_shift"": 15}","{""recurring_spot_seasonal_index"": 15}",572.3929955895783,30.39016079371631,True
2026-04-22,quarterly,18000,15,15,15,15,0,0,0,1888.4795,2457.2199121852004,recurring_forward_curve_shift,recurring_spot_seasonal_index,"{""recurring_forward_curve_shift"": 15}","{""recurring_spot_seasonal_index"": 15}",568.7404121852005,30.11631379558002,True
2026-05-16,open_ended,5000,69,59,59,59,0,0,10,701.8,601.4697694892474,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 34, ""none"": 9, ""recurring_forward_curve_shift"": 8, ""recurring_spot_seasonal_index"": 7}","{""forward_curve_spot"": 1, ""none"": 7, ""recurring_forward_curve_shift"": 8, ""recurring_spot_seasonal_index"": 7, ""supplier_adjusted_forward_curve_shift"": 6, ""supplier_adjusted_forward_premium"": 30}",-100.33023051075259,-14.296128599423282,True
2026-05-28,open_ended,18000,69,59,59,59,0,0,10,2190.9,1917.885341129032,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 34, ""none"": 9, ""recurring_forward_curve_shift"": 8, ""recurring_spot_seasonal_index"": 7}","{""forward_curve_spot"": 1, ""none"": 7, ""recurring_forward_curve_shift"": 8, ""recurring_spot_seasonal_index"": 7, ""supplier_adjusted_forward_curve_shift"": 6, ""supplier_adjusted_forward_premium"": 30}",-273.0146588709681,-12.461301696607244,True
2026-06-25,open_ended,18000,72,63,63,63,0,0,9,2145.21,1744.577595,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 35, ""none"": 11, ""recurring_forward_curve_shift"": 9, ""recurring_spot_seasonal_index"": 7}","{""forward_curve_spot"": 1, ""none"": 9, ""recurring_forward_curve_shift"": 9, ""recurring_spot_seasonal_index"": 7, ""supplier_adjusted_forward_curve_shift"": 11, ""supplier_adjusted_forward_premium"": 26}",-400.63240500000006,-18.67567301103389,True
2026-06-30,open_ended,5000,72,63,63,63,0,0,9,636.7,533.464757638889,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 35, ""none"": 11, ""recurring_forward_curve_shift"": 9, ""recurring_spot_seasonal_index"": 7}","{""forward_curve_spot"": 1, ""none"": 9, ""recurring_forward_curve_shift"": 9, ""recurring_spot_seasonal_index"": 7, ""supplier_adjusted_forward_curve_shift"": 11, ""supplier_adjusted_forward_premium"": 26}",-103.23524236111109,-16.21411062684327,True
2026-07-01,open_ended,18000,71,62,62,62,0,0,9,2059.15,1899.0438374999999,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 35, ""none"": 11, ""recurring_forward_curve_shift"": 15}","{""forward_curve_spot"": 1, ""none"": 9, ""recurring_forward_curve_shift"": 15, ""supplier_adjusted_forward_curve_shift"": 12, ""supplier_adjusted_forward_premium"": 25}",-160.1061625000002,-7.77535208702621,True
2026-07-23,hybrid,5000,45,41,40,40,1,0,5,509.24,511.70869573252685,none,hybrid_base_only,"{""hybrid_base_only"": 5, ""none"": 36}","{""hybrid_base_only"": 31, ""none"": 7, ""recurring_forward_curve_shift"": 2}",2.4686957325268395,0.48478040462784533,False
2026-07-23,open_ended,5000,70,62,57,57,5,0,13,625.3125,661.4459981518819,none,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 1, ""none"": 57, ""recurring_forward_curve_shift"": 3}","{""forward_curve_spot"": 1, ""none"": 9, ""recurring_forward_curve_shift"": 11, ""supplier_adjusted_forward_curve_shift"": 14, ""supplier_adjusted_forward_premium"": 22}",36.133498151881895,5.77847046906657,False
2026-07-23,quarterly,5000,13,12,13,12,0,1,0,533.1337,593.8173914650537,none,recurring_forward_curve_shift,"{""none"": 8, ""recurring_forward_curve_shift"": 4}","{""none"": 3, ""recurring_forward_curve_shift"": 10}",60.6836914650537,11.382452744040322,False
