date,segment,kwh,aggregate_delta,role,contract,name,v2_cost,v3_cost,v2_method,v3_method,v2_basis,v3_basis,v3_segment,reason,source,interpretation,historical_episode,historical_interpretation,anchor,donors,provenance,flags
2026-01-23,open_ended,18000,-563.2729569096573,v2_central,blkjxh-sallila-energia-oy-se-yo,Sallila Energia Oy / SE-Yö,2043.36,1379.258994281322,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,3990,3990,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_3990|historical_interpretation_id_3990|historical_interpretation_completed_at_2026-08-07T15:09:30+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984703|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8626|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-01-23,open_ended,18000,-563.2729569096573,v3_central,r2prne-parikkalan-valo-oy-q-valo,Parikkalan Valo Oy / Q-Valo,2194.2,1480.0870430903426,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,5592,5592,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_5592|historical_interpretation_id_5592|historical_interpretation_completed_at_2026-08-08T02:23:49+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984703|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8626|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-01-26,open_ended,18000,-563.2729569096573,v2_central,blkjxh-sallila-energia-oy-se-yo,Sallila Energia Oy / SE-Yö,2043.36,1379.258994281322,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,3990,3990,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_3990|historical_interpretation_id_3990|historical_interpretation_completed_at_2026-08-07T15:09:30+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984703|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8626|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-01-26,open_ended,18000,-563.2729569096573,v3_central,r2prne-parikkalan-valo-oy-q-valo,Parikkalan Valo Oy / Q-Valo,2194.2,1480.0870430903426,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,5592,5592,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_5592|historical_interpretation_id_5592|historical_interpretation_completed_at_2026-08-08T02:23:49+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984703|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8626|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-01-30,open_ended,5000,-137.30669774511108,v2_central,6lhyau-parikkalan-valo-oy-kesto-valo-kanta-asiakas,Parikkalan Valo Oy / Kesto Valo kanta-asiakas,619.8,431.45370945704883,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,3633,3633,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_3633|historical_interpretation_id_3633|historical_interpretation_completed_at_2026-08-07T12:01:08+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984703|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8626|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-01-30,open_ended,5000,-137.30669774511108,v2_central,ejos59-parikkalan-valo-oy-kesto-valo-kanta-asiakas,Parikkalan Valo Oy / Kesto Valo kanta-asiakas,619.8,431.45370945704883,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,4333,4333,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_4333|historical_interpretation_id_4333|historical_interpretation_completed_at_2026-08-07T17:50:28+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984703|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8626|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-01-30,open_ended,5000,-137.30669774511108,v3_central,ppwyv2-lammaisten-energia-oy-toimitusvelvollinen-kausisahko,Lammaisten Energia Oy / Toimitusvelvollinen Kausisähkö,692.8917,479.73587287031114,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,5449,5449,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_first_immutable_text_backcast|historical_episode_id_5449|historical_interpretation_id_5449|historical_interpretation_completed_at_2026-08-08T01:31:34+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984703|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8626|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-01-30,open_ended,5000,-137.30669774511108,v3_central,bj5xnn-turku-energia-oy-louna-varma,Turku Energia Oy / Louna Varma,485.2507,485.2507316394666,recurring_spot_seasonal_index,recurring_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,3979,3979,,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_3979|historical_interpretation_id_3979|historical_interpretation_completed_at_2026-08-07T15:04:42+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984703|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8626|reset_tail_shifted_on_spot_seasonal_index|lower_confidence_seasonal_index
2026-02-01,open_ended,5000,-110.24089005179587,v2_central,gywy8t-aanekosken-energia-oy-aikasahko,Äänekosken Energia Oy / Aikasähkö,640.65,457.5748889181242,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,4571,4571,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_first_immutable_text_backcast|historical_episode_id_4571|historical_interpretation_id_4571|historical_interpretation_completed_at_2026-08-07T19:29:17+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984932|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8628|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-02-01,open_ended,5000,-110.24089005179587,v2_central,bzsy6r-turku-energia-oy-louna-arki,Turku Energia Oy / Louna Arki,642.18,465.78310051733723,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,4039,4039,2026-01-20T22:00:00.000000Z,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_4039|historical_interpretation_id_4039|historical_interpretation_completed_at_2026-08-07T15:34:12+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984932|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8628|supplier_adjusted_tail_shifted_on_spot_seasonal_index|supplier_adjusted_monthly_fee_held_flat|price_episode_observed_proxy|price_episode_left_censored|historical_exact_contract_only|price_episode_uses_dedicated_historical_interpretation|no_usable_own_reference_and_curve_pair|no_usable_comparable_premium_and_curve_pair|lower_confidence_seasonal_index
2026-02-01,open_ended,5000,-110.24089005179587,v3_central,ncqti1-aalto-energia-oyj-aalto-kuukausihinta,Aalto energia Oyj / Aalto Kuukausihinta,527.2471,527.2470732411928,recurring_spot_seasonal_index,recurring_spot_seasonal_index,canonical_outcome,canonical_outcome,open_ended,,,,5192,5192,,0,null,canonical_omitted_no_covering_source_observation|retrospective_historical_interpretation|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_episode_id_5192|historical_interpretation_id_5192|historical_interpretation_completed_at_2026-08-07T23:45:21+00:00|historical_household_statistics_scope_assumed|spot_assumptions_source_spot_price_hours|spot_assumptions_partial_above_threshold|spot_assumptions_raw_hourly_reconstruction|spot_assumptions_coverage_ratio_0.984932|spot_assumptions_expected_hours_8760|spot_assumptions_actual_hours_8628|reset_tail_shifted_on_spot_seasonal_index|lower_confidence_seasonal_index
