date,segment,kwh,evidence,v2_count,v3_count,matched,lost,new,unavailable,v2_median,v3_median,v2_dominant,v3_dominant,v2_methods,v3_methods,median_delta,median_delta_percent,large
2026-01-21,fixed_term_12,2000,55,55,55,55,0,0,0,214.3583,214.35833333333335,none,none,"{""hold_last_known_price"": 12, ""none"": 43}","{""hold_last_known_price"": 12, ""none"": 43}",3.3333333334439885e-05,1.5550288155130862e-05,False
2026-01-21,fixed_term_12,5000,55,55,55,55,0,0,0,455.3,455.3000000000001,none,none,"{""hold_last_known_price"": 12, ""none"": 43}","{""hold_last_known_price"": 12, ""none"": 43}",1.1368683772161603e-13,2.4969654672000006e-14,False
2026-01-21,fixed_term_12,18000,55,55,55,55,0,0,0,1504.8,1504.7999999999997,none,none,"{""hold_last_known_price"": 12, ""none"": 43}","{""hold_last_known_price"": 12, ""none"": 43}",-2.2737367544323206e-13,-1.5109893370762365e-14,False
2026-01-21,fixed_term_13_23,2000,1,1,1,1,0,0,0,228.32,228.32000000000002,hold_last_known_price,hold_last_known_price,"{""hold_last_known_price"": 1}","{""hold_last_known_price"": 1}",2.842170943040401e-14,1.2448190885776106e-14,False
2026-01-21,fixed_term_13_23,5000,1,1,1,1,0,0,0,482.42,482.42,hold_last_known_price,hold_last_known_price,"{""hold_last_known_price"": 1}","{""hold_last_known_price"": 1}",0.0,0.0,False
2026-01-21,fixed_term_13_23,18000,1,1,1,1,0,0,0,1583.52,1583.5200000000004,hold_last_known_price,hold_last_known_price,"{""hold_last_known_price"": 1}","{""hold_last_known_price"": 1}",4.547473508864641e-13,2.871749967707791e-14,False
2026-01-21,fixed_term_24,2000,58,58,58,58,0,0,0,212.6,212.60000000000002,none,none,"{""hold_last_known_price"": 10, ""none"": 48}","{""hold_last_known_price"": 10, ""none"": 48}",2.842170943040401e-14,1.336863096444215e-14,False
2026-01-21,fixed_term_24,5000,58,58,58,58,0,0,0,447.7504,447.75041666666664,none,none,"{""hold_last_known_price"": 10, ""none"": 48}","{""hold_last_known_price"": 10, ""none"": 48}",1.666666662458738e-05,3.722311945357811e-06,False
2026-01-21,fixed_term_24,18000,58,58,58,58,0,0,0,1470.3975,1470.3975,none,none,"{""hold_last_known_price"": 10, ""none"": 48}","{""hold_last_known_price"": 10, ""none"": 48}",0.0,0.0,False
2026-01-21,fixed_term_6,2000,18,13,16,13,0,3,2,212.8,212.89999999999998,none,term_price_annualized,"{""hold_last_known_price"": 3, ""none"": 10}","{""hold_last_known_price"": 3, ""none"": 1, ""term_price_annualized"": 12}",0.0999999999999659,0.046992481202991494,False
2026-01-21,fixed_term_6,5000,18,13,16,13,0,3,2,429.13,432.1380645161291,none,term_price_annualized,"{""hold_last_known_price"": 3, ""none"": 10}","{""hold_last_known_price"": 3, ""none"": 1, ""term_price_annualized"": 12}",3.0080645161290818,0.7009681253068025,False
2026-01-21,fixed_term_6,18000,18,13,16,13,0,3,2,1420.38,1400.3400000000001,none,term_price_annualized,"{""hold_last_known_price"": 3, ""none"": 10}","{""hold_last_known_price"": 3, ""none"": 1, ""term_price_annualized"": 12}",-20.039999999999964,-1.4108900435094807,False
2026-01-21,fixed_term_other,2000,1,1,1,1,0,0,0,215.6,215.60000000000002,hold_last_known_price,hold_last_known_price,"{""hold_last_known_price"": 1}","{""hold_last_known_price"": 1}",2.842170943040401e-14,1.3182611053063084e-14,False
2026-01-21,fixed_term_other,5000,1,1,1,1,0,0,0,475.1,475.10000000000014,hold_last_known_price,hold_last_known_price,"{""hold_last_known_price"": 1}","{""hold_last_known_price"": 1}",1.1368683772161603e-13,2.3929033408043784e-14,False
2026-01-21,fixed_term_other,18000,1,1,1,1,0,0,0,1599.6,1599.6,hold_last_known_price,hold_last_known_price,"{""hold_last_known_price"": 1}","{""hold_last_known_price"": 1}",0.0,0.0,False
2026-01-21,fixed_term_over24,2000,1,1,1,1,0,0,0,171.5,171.49999999999997,none,none,"{""none"": 1}","{""none"": 1}",-2.842170943040401e-14,-1.6572425323850734e-14,False
2026-01-21,fixed_term_over24,5000,1,1,1,1,0,0,0,386.9,386.9,none,none,"{""none"": 1}","{""none"": 1}",0.0,0.0,False
2026-01-21,fixed_term_over24,18000,1,1,1,1,0,0,0,1320.3,1320.3,none,none,"{""none"": 1}","{""none"": 1}",0.0,0.0,False
2026-01-21,hybrid,2000,53,52,52,52,0,0,1,207.1,207.10000000000002,hybrid_base_only,hybrid_base_only,"{""hybrid_base_only"": 46, ""none"": 3, ""recurring_spot_seasonal_index"": 3}","{""hybrid_base_only"": 46, ""none"": 3, ""recurring_spot_seasonal_index"": 3}",2.842170943040401e-14,1.3723664621151138e-14,False
2026-01-21,hybrid,5000,53,50,50,50,0,0,3,421.95,421.95000000000005,hybrid_base_only,hybrid_base_only,"{""hybrid_base_only"": 44, ""none"": 3, ""recurring_spot_seasonal_index"": 3}","{""hybrid_base_only"": 44, ""none"": 3, ""recurring_spot_seasonal_index"": 3}",5.684341886080802e-14,1.3471600630597943e-14,False
