date,segment,kwh,previous_date,previous_dominant,dominant,previous_count,count,previous_methods,methods
2026-07-01,quarterly,2000,2026-06-30,recurring_spot_seasonal_index,recurring_forward_curve_shift,13,13,"{""recurring_spot_seasonal_index"": 13}","{""recurring_forward_curve_shift"": 13}"
2026-07-01,quarterly,5000,2026-06-30,recurring_spot_seasonal_index,recurring_forward_curve_shift,13,13,"{""recurring_spot_seasonal_index"": 13}","{""recurring_forward_curve_shift"": 13}"
2026-07-01,quarterly,18000,2026-06-30,recurring_spot_seasonal_index,recurring_forward_curve_shift,13,13,"{""recurring_spot_seasonal_index"": 13}","{""recurring_forward_curve_shift"": 13}"
2026-08-08,open_ended,2000,2026-08-07,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,44,45,"{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 18, ""supplier_adjusted_forward_premium"": 19}","{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 19}"
2026-09-01,open_ended,2000,2026-08-31,supplier_adjusted_forward_curve_shift|supplier_adjusted_forward_premium,supplier_adjusted_forward_premium,45,44,"{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 19}","{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 18, ""supplier_adjusted_forward_premium"": 19}"
2026-09-08,open_ended,2000,2026-09-07,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,44,45,"{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 18, ""supplier_adjusted_forward_premium"": 19}","{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 20, ""supplier_adjusted_forward_premium"": 18}"
2026-09-08,open_ended,5000,2026-09-07,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,40,41,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 17, ""supplier_adjusted_forward_premium"": 19}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 18}"
2026-09-08,open_ended,18000,2026-09-07,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,40,41,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 17, ""supplier_adjusted_forward_premium"": 19}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 18}"
2026-09-10,open_ended,2000,2026-09-09,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_premium,45,42,"{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 20, ""supplier_adjusted_forward_premium"": 18}","{""none"": 7, ""supplier_adjusted_forward_curve_shift"": 17, ""supplier_adjusted_forward_premium"": 18}"
2026-09-10,open_ended,5000,2026-09-09,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_premium,41,38,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 18}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 18}"
2026-09-10,open_ended,18000,2026-09-09,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_premium,41,38,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 19, ""supplier_adjusted_forward_premium"": 18}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 18}"
