status,reason,flags,pair_days,unique_contracts,date_count,first_date,last_date,contract_examples
lost,canonical_outcome_not_listed,ambiguous_energy_mechanisms|exact_source_legacy_null_observation_binding|historical_household_statistics_scope_assumed,12,2,4,2026-09-09,2026-09-16,bdfd4u-keravan-energia-oy-perusfiksu-24kk|w4k6um-keravan-energia-oy-perusfiksu-24kk
lost,canonical_outcome_not_listed,canonical_interpretation_rejected_by_exact_target_validation|exact_source_legacy_null_observation_binding|historical_household_statistics_scope_assumed|retrospective_exact_source_interpretation,12,4,1,2026-07-23,2026-07-23,35idqf-vattenfall-oy-taysvesi-24-kk|8lw2cg-turku-energia-oy-louna-helppo-l|dgh71e-turku-energia-oy-louna-helppo-m
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_3274|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T09:21:28+00:00|historical_interpretation_id_3274|retrospective_historical_interpretation|unknown_short_fixed_term_duration,105,1,35,2026-06-10,2026-07-14,096kvt-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk-perusmaksu-0-koko-sopimuskauden-ajan
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_3282|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T09:25:39+00:00|historical_interpretation_id_3282|retrospective_historical_interpretation|unknown_short_fixed_term_duration,12,1,4,2026-01-30,2026-02-02,0flemf-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_3310|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T09:36:02+00:00|historical_interpretation_id_3310|retrospective_historical_interpretation|unknown_short_fixed_term_duration,9,1,3,2026-01-24,2026-01-26,0xadsb-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_3644|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T12:07:26+00:00|historical_interpretation_id_3644|retrospective_historical_interpretation|unknown_short_fixed_term_duration,75,1,25,2026-05-09,2026-06-02,6txgrh-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_4403|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T18:21:29+00:00|historical_interpretation_id_4403|retrospective_historical_interpretation|unknown_short_fixed_term_duration,9,1,3,2026-01-21,2026-01-23,fddbph-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_4513|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T19:05:36+00:00|historical_interpretation_id_4513|retrospective_historical_interpretation|unknown_short_fixed_term_duration,27,1,9,2026-02-03,2026-02-11,ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_4514|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T19:06:01+00:00|historical_interpretation_id_4514|retrospective_historical_interpretation|unknown_short_fixed_term_duration,162,1,54,2026-02-13,2026-04-07,ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_5027|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T22:46:30+00:00|historical_interpretation_id_5027|retrospective_historical_interpretation|unknown_short_fixed_term_duration,9,1,3,2026-01-27,2026-01-29,lw9yb0-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa
lost,canonical_outcome_not_listed,canonical_omitted_no_covering_source_observation|historical_episode_id_5143|historical_evidence_grade_exact_components_last_observed_text_backcast|historical_household_statistics_scope_assumed|historical_interpretation_completed_at_2026-08-07T23:31:19+00:00|historical_interpretation_id_5143|retrospective_historical_interpretation|unknown_short_fixed_term_duration,21,1,7,2026-01-21,2026-01-27,mxa020-aalto-energia-oyj-ankkuri-kiintea-9kk
