forecast_date,target_date,duration_months,quantile,v2_forecast,v3_forecast,canonical_only_forecast,current_price,hedge_cost,v2_hedge_cost,v2_normal_premium,v3_normal_premium,v2_history,v3_history,observed_history,canonical_history,history_start,history_end,transition,confidence,v2_direction,v3_direction,actual
2026-07-27,2026-08-26,6,median,11.6845,11.6845,,11.6488,10.3986,10.3986,1.3692,1.3692,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_rising,slightly_rising,13.795
2026-07-27,2026-08-26,6,p20,10.9258,10.9258,,10.87,10.3986,10.3986,0.6573,0.6573,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_rising,slightly_rising,13.2433
2026-07-27,2026-08-26,6,p80,12.2194,12.2194,,12.205,10.3986,10.3986,1.8545,1.8545,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_rising,slightly_rising,14.2415
2026-07-27,2026-08-26,12,median,10.5009,10.5009,,10.48,8.7631,8.7631,1.7866,1.7866,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_rising,slightly_rising,11.29
2026-07-27,2026-08-26,12,p20,10.0787,10.0787,,10.078,8.7631,8.7631,1.3172,1.3172,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_rising,slightly_rising,11
2026-07-27,2026-08-26,12,p80,11.1728,11.1728,,11.2127,8.7631,8.7631,2.3165,2.3165,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_falling,slightly_falling,11.9917
2026-07-27,2026-08-26,24,median,9.6252,9.6252,,9.64,7.4565,7.4565,2.1343,2.1343,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_falling,slightly_falling,10.0125
2026-07-27,2026-08-26,24,p20,9.2863,9.2863,,9.288,7.4565,7.4565,1.8257,1.8257,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_falling,slightly_falling,9.87
2026-07-27,2026-08-26,24,p80,10.0589,10.0589,,10.0534,7.4565,7.4565,2.6152,2.6152,109,109,109,0,2026-04-09,2026-07-26,2026-07-27,low,slightly_rising,slightly_rising,10.42
2026-07-28,2026-08-27,6,median,11.7224,11.7135,,11.8096,10.1498,10.1498,1.3692,1.3394,109,110,109,1,2026-04-09,2026-07-27,2026-07-27,low,slightly_falling,slightly_falling,13.795
2026-07-28,2026-08-27,6,p20,10.9673,10.9534,,11.036,10.1498,10.1498,0.6573,0.6108,109,110,109,1,2026-04-09,2026-07-27,2026-07-27,low,slightly_falling,slightly_falling,13.2433
