panel,supplier,term,basis,series,start,last,observed_days,elapsed_lower_bound_days,left_censored,right_censored,ends_in_adjacent_change,completed_change_to_change_days,end_reason
same_id,Aalto energia Oyj,12,observed_seller_data,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,2026-04-08,2026-06-02,56,55,True,True,False,,series_or_study_end
same_id,Aalto energia Oyj,24,observed_seller_data,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,2026-04-08,2026-06-02,56,55,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,12,canonical_calculation,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,2026-08-07,2026-09-13,38,37,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,12,canonical_calculation,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,2026-07-27,2026-08-06,11,10,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,12,observed_seller_data,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,2026-04-08,2026-07-22,106,105,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,12,observed_seller_data,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,2026-07-23,2026-07-26,4,3,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,24,canonical_calculation,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,2026-08-07,2026-09-13,38,37,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,24,canonical_calculation,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,2026-07-27,2026-08-06,11,10,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,24,observed_seller_data,llpuxr-alajarven-sahko-oy-yleissahko-24-kk,2026-06-03,2026-07-22,50,49,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,24,observed_seller_data,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,2026-07-23,2026-07-26,4,3,True,True,False,,series_or_study_end
same_id,Alajärven Sähkö Oy,24,observed_seller_data,tevygl-alajarven-sahko-oy-yleissahko-24-kk,2026-04-08,2026-06-02,56,55,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,6,canonical_calculation,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-07-27,2026-07-27,1,0,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,6,canonical_calculation,yuz5hv-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,2026-08-01,2026-08-02,2,1,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,6,observed_seller_data,d8codr-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-05-08,2026-05-10,3,2,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,6,observed_seller_data,dwwsck-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-06-10,2026-07-14,35,34,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,6,observed_seller_data,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,2026-04-08,2026-05-07,30,29,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,6,observed_seller_data,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-05-11,2026-06-09,30,29,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,6,observed_seller_data,nwouc3-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-07-15,2026-07-20,6,5,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,6,observed_seller_data,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-07-21,2026-07-24,4,3,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,12,canonical_calculation,bxoqen-cheap-energy-finland-oy-cheap-maaraaikainen-12-kk,2026-09-03,2026-09-11,9,8,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,canonical_calculation,a9robz-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-08-12,2026-09-08,28,27,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,canonical_calculation,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-07-27,2026-08-05,10,9,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,canonical_calculation,timrj1-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk,2026-09-09,2026-09-13,5,4,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,canonical_calculation,w4lvzl-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-08-04,2026-08-11,8,7,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-05-08,2026-05-19,12,11,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-05-20,2026-06-09,21,20,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,astury-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-07-10,2026-07-14,5,4,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-07-21,2026-07-26,6,5,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,e85fwa-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-06-30,2026-07-10,11,10,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,o0st2m-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-04-10,2026-05-07,28,27,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,p8htux-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-07-15,2026-07-20,6,5,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,rqdlzd-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-04-08,2026-04-09,2,1,True,True,False,,series_or_study_end
same_id,Cheap Energy Finland Oy,24,observed_seller_data,yjo87g-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-06-10,2026-06-29,20,19,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,canonical_calculation,n3dcim-fortum-markets-oy-fortum-takuu-24-kk,2026-07-27,2026-09-13,49,48,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,observed_seller_data,9d47d7-fortum-markets-oy-fortum-takuu-24-kk,2026-07-06,2026-07-12,7,6,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,observed_seller_data,9pb5h7-fortum-markets-oy-fortum-takuu-24-kk,2026-07-13,2026-07-19,7,6,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,observed_seller_data,cy3svg-fortum-markets-oy-fortum-takuu-24-kk,2026-06-22,2026-07-22,31,30,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,observed_seller_data,pkrtvp-fortum-markets-oy-fortum-takuu-24-kk,2026-06-04,2026-06-07,4,3,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,observed_seller_data,s6xxpq-fortum-markets-oy-fortum-takuu-24-kk,2026-06-08,2026-06-14,7,6,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,observed_seller_data,sc1qlj-fortum-markets-oy-fortum-takuu-24-kk,2026-06-15,2026-06-21,7,6,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,observed_seller_data,wwwvyt-fortum-markets-oy-fortum-takuu-24-kk,2026-06-29,2026-07-05,7,6,True,True,False,,series_or_study_end
same_id,Fortum Markets Oy,24,observed_seller_data,zxt8y9-fortum-markets-oy-fortum-takuu-24-kk,2026-07-20,2026-07-24,5,4,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,6,canonical_calculation,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,2026-07-27,2026-07-27,1,0,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,6,observed_seller_data,4xrqlw-hehku-energia-oy-hehku-kiintea-6-kk,2026-05-20,2026-06-09,21,20,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,6,observed_seller_data,6m68xc-hehku-energia-oy-hehku-kiintea-6-kk,2026-05-11,2026-05-19,9,8,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,6,observed_seller_data,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,2026-04-08,2026-05-04,27,26,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,6,observed_seller_data,cnbsaj-hehku-energia-oy-hehku-kiintea-6-kk,2026-06-10,2026-07-10,31,30,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,6,observed_seller_data,izszo3-hehku-energia-oy-hehku-kiintea-6-kk,2026-05-05,2026-05-07,3,2,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,6,observed_seller_data,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,2026-07-15,2026-07-20,6,5,True,False,True,,numeric_change
same_id,Hehku Energia Oy,6,observed_seller_data,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,2026-07-21,2026-07-24,4,3,False,True,False,,series_or_study_end
same_id,Hehku Energia Oy,6,observed_seller_data,vvklfh-hehku-energia-oy-hehku-kiintea-6-kk,2026-05-08,2026-05-10,3,2,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,12,canonical_calculation,3nznl3-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-12,2026-09-13,33,32,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,12,canonical_calculation,5s5r2e-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-07-27,2026-08-02,7,6,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,12,canonical_calculation,dar1ov-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-12,2026-08-20,9,8,True,True,False,,series_or_study_end
same_id,Hehku Energia Oy,12,canonical_calculation,e4auec-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-28,2026-09-13,17,16,True,True,False,,series_or_study_end
