date,weekday,day_of_month,supplier_term_changes,supplier_term_exposure
2026-04-09,Thursday,9,0,58
2026-04-10,Friday,10,0,58
2026-04-11,Saturday,11,0,64
2026-04-12,Sunday,12,0,65
2026-04-13,Monday,13,0,65
2026-04-14,Tuesday,14,0,60
2026-04-15,Wednesday,15,0,59
2026-04-16,Thursday,16,0,60
2026-04-17,Friday,17,0,62
2026-04-18,Saturday,18,0,63
2026-04-19,Sunday,19,0,66
2026-04-20,Monday,20,0,64
2026-04-21,Tuesday,21,0,64
2026-04-22,Wednesday,22,0,63
2026-04-23,Thursday,23,0,58
2026-04-24,Friday,24,0,61
2026-04-25,Saturday,25,0,62
2026-04-26,Sunday,26,0,62
2026-04-27,Monday,27,0,61
2026-04-28,Tuesday,28,0,60
2026-04-29,Wednesday,29,0,58
2026-04-30,Thursday,30,0,60
2026-05-01,Friday,1,0,63
2026-05-02,Saturday,2,0,63
2026-05-03,Sunday,3,0,63
2026-05-04,Monday,4,0,62
2026-05-05,Tuesday,5,0,52
2026-05-06,Wednesday,6,0,49
2026-05-07,Thursday,7,0,62
2026-05-08,Friday,8,0,52
2026-05-09,Saturday,9,0,59
2026-05-10,Sunday,10,0,62
2026-05-11,Monday,11,0,58
2026-05-12,Tuesday,12,0,59
2026-05-13,Wednesday,13,0,57
2026-05-14,Thursday,14,0,60
2026-05-15,Friday,15,0,60
2026-05-16,Saturday,16,0,60
2026-05-17,Sunday,17,0,63
2026-05-18,Monday,18,0,60
2026-05-19,Tuesday,19,0,59
2026-05-20,Wednesday,20,0,56
2026-05-21,Thursday,21,0,57
2026-05-22,Friday,22,0,59
2026-05-23,Saturday,23,0,57
2026-05-24,Sunday,24,0,62
2026-05-25,Monday,25,0,60
2026-05-26,Tuesday,26,0,57
2026-05-27,Wednesday,27,0,62
2026-05-28,Thursday,28,0,60
2026-05-29,Friday,29,0,60
2026-05-30,Saturday,30,0,60
2026-05-31,Sunday,31,0,61
2026-06-01,Monday,1,0,59
2026-06-02,Tuesday,2,0,58
2026-06-03,Wednesday,3,0,49
2026-06-04,Thursday,4,0,54
2026-06-05,Friday,5,0,50
2026-06-06,Saturday,6,0,55
2026-06-07,Sunday,7,0,58
2026-06-08,Monday,8,0,57
2026-06-09,Tuesday,9,0,54
2026-06-10,Wednesday,10,0,52
2026-06-11,Thursday,11,0,58
2026-06-12,Friday,12,0,57
2026-06-13,Saturday,13,0,56
2026-06-14,Sunday,14,0,59
2026-06-15,Monday,15,0,56
2026-06-16,Tuesday,16,0,55
