snapshot_id,date,contract_id,supplier,term,basis,status,premium_ids,lineage
94715,2026-04-08,1lchnx-lammaisten-energia-oy-iisi-helpposahko-yleissahko-6-kk,Lammaisten Energia Oy,6,observed_seller_data,unmapped,,
94717,2026-04-08,1tma4r-keravan-energia-oy-perussahko-yleissahko,Keravan Energia Oy,24,observed_seller_data,unmapped,,
94721,2026-04-08,2alb2h-vattenfall-oy-taysvesi-12-kk,Vattenfall Oy,12,observed_seller_data,unmapped,,
94723,2026-04-08,2j1rhx-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,Lumme Energia,6,observed_seller_data,unmapped,,
94727,2026-04-08,2wdwn8-koylion-sakylan-sahko-oy-lallin-maaris-2v,Köyliön-Säkylän Sähkö Oy,24,observed_seller_data,unmapped,,
94729,2026-04-08,2xtbfi-porvoon-energia-oy-ilmastoviisas-12-kk-co2-paastottomasti-tuotettu,Porvoon Energia Oy,12,observed_seller_data,unmapped,,
94730,2026-04-08,3iwie0-sahkotytot-oy-kiintea-24kk,Sähkötytöt Oy,24,observed_seller_data,unmapped,,
94732,2026-04-08,3o6flt-koillis-satakunnan-sahko-oy-vakaawirta-12-kk,Koillis-Satakunnan Sähkö Oy,12,observed_seller_data,unmapped,,
94734,2026-04-08,3wrqym-lammaisten-energia-oy-iisi-helpposahko-yleissahko-24-kk,Lammaisten Energia Oy,24,observed_seller_data,unmapped,,
94736,2026-04-08,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,Aalto energia Oyj,12,observed_seller_data,unmapped,,
94737,2026-04-08,4mpypn-omavoima-oy-oma-12kk-yleis,Omavoima Oy,12,observed_seller_data,unmapped,,
94740,2026-04-08,4tdbdn-vare-oy-maaraaikainen-sahko-24-kk,Väre Oy,24,observed_seller_data,unmapped,,
94742,2026-04-08,55tjpy-porvoon-energia-oy-wind-24-kk-kotimainen-tuulisahko,Porvoon Energia Oy,24,observed_seller_data,unmapped,,
94745,2026-04-08,5kvkez-vaasan-sahko-myynti-oy-kiintea-12-kk-yleissahko,Vaasan Sähkö Myynti Oy,12,observed_seller_data,unmapped,,
94746,2026-04-08,5pbkuh-keravan-energia-oy-perussahko-yleis-12-kk,Keravan Energia Oy,12,observed_seller_data,unmapped,,
94750,2026-04-08,6dsic7-porvoon-energia-oy-eko-24-kk-luonnonsuojeluliiton-sertifioima-ekoenergia,Porvoon Energia Oy,24,observed_seller_data,unmapped,,
94757,2026-04-08,7nxvts-turku-energia-oy-louna-lahi-6kk,Turku Energia Oy,6,observed_seller_data,unmapped,,
94759,2026-04-08,8g5fqu-lammaisten-energia-oy-iisi-helpposahko-yleissahko-12-kk,Lammaisten Energia Oy,12,observed_seller_data,unmapped,,
94766,2026-04-08,9h2xa2-koylion-sakylan-sahko-oy-lallin-maaris-1v,Köyliön-Säkylän Sähkö Oy,12,observed_seller_data,unmapped,,
94768,2026-04-08,9rz5gq-nurmijarven-sahko-oy-yleissahko-1-vuotta,Nurmijärven Sähkö Oy,12,observed_seller_data,unmapped,,
94777,2026-04-08,bafxlm-sahkotytot-oy-kiintea-12kk-ensimmaiset-3kk-ilman-perusmaksua,Sähkötytöt Oy,12,observed_seller_data,unmapped,,
94780,2026-04-08,bdjjig-vattenfall-oy-ilmasto-mix-6-kk,Vattenfall Oy,6,observed_seller_data,unmapped,,
94784,2026-04-08,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,Hehku Energia Oy,6,observed_seller_data,unmapped,,
94786,2026-04-08,bl0tn4-keravan-energia-oy-perussahko-yleis-6-kk,Keravan Energia Oy,6,observed_seller_data,unmapped,,
94789,2026-04-08,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,Alajärven Sähkö Oy,12,observed_seller_data,unmapped,,
94791,2026-04-08,brglnc-koillis-satakunnan-sahko-oy-vakaawirta-24-kk,Koillis-Satakunnan Sähkö Oy,24,observed_seller_data,unmapped,,
94794,2026-04-08,bt2b0t-korpelan-energia-oy-korpela-kesto-kiintea-12-kk,Korpelan Energia Oy,12,observed_seller_data,unmapped,,
94802,2026-04-08,ckrbsl-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,Pohjois-Karjalan Sähkö Oy,6,observed_seller_data,unmapped,,
94804,2026-04-08,crno5p-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu,Porvoon Energia Oy,6,observed_seller_data,unmapped,,
94820,2026-04-08,e6dnpo-vattenfall-oy-taystuuli-24-kk,Vattenfall Oy,24,observed_seller_data,unmapped,,
94824,2026-04-08,enf0bt-porvoon-energia-oy-ilmastoviisas-24-kk-co2-paastottomasti-tuotettu,Porvoon Energia Oy,24,observed_seller_data,unmapped,,
94825,2026-04-08,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,Cheap Energy Finland Oy,6,observed_seller_data,unmapped,,
94827,2026-04-08,evy7rb-kokkolan-energia-oy-ranta-24-kk,Kokkolan Energia Oy,24,observed_seller_data,unmapped,,
94830,2026-04-08,f73apx-hehku-energia-oy-hehku-kiintea-24-kk-0-kuukausimaksu-ensimmaiset-3-kk,Hehku Energia Oy,24,observed_seller_data,unmapped,,
94832,2026-04-08,fblgqd-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-6-kk-paastoton,Äänekosken Energia Oy,6,observed_seller_data,unmapped,,
94833,2026-04-08,fdrvso-keravan-energia-oy-perussahko-luonnonvoima-24-kk,Keravan Energia Oy,24,observed_seller_data,unmapped,,
94837,2026-04-08,fpmbqk-keravan-energia-oy-perussahko-luonnonvoima-12-kk,Keravan Energia Oy,12,observed_seller_data,unmapped,,
94841,2026-04-08,fxn0an-imatran-seudun-sahko-oy-voima-12-kk,Imatran Seudun Sähkö Oy,12,observed_seller_data,unmapped,,
94844,2026-04-08,gddesq-vattenfall-oy-ilmasto-mix-24-kk-ensimmaiset-3-kk-perusmaksu-0,Vattenfall Oy,24,observed_seller_data,unmapped,,
94851,2026-04-08,gr7yb0-vattenfall-oy-taysvesi-24-kk,Vattenfall Oy,24,observed_seller_data,unmapped,,
94854,2026-04-08,h7b6xu-nurmijarven-sahko-oy-yleissahko-2-vuotta,Nurmijärven Sähkö Oy,24,observed_seller_data,unmapped,,
94856,2026-04-08,hpjkgr-porvoon-energia-oy-wind-12-kk-kotimainen-tuulisahko,Porvoon Energia Oy,12,observed_seller_data,unmapped,,
94861,2026-04-08,hxy4ru-keravan-energia-oy-perussahko-co2-vapaa-12-kk,Keravan Energia Oy,12,observed_seller_data,unmapped,,
94862,2026-04-08,i8qbil-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko,Vaasan Sähkö Myynti Oy,6,observed_seller_data,unmapped,,
94871,2026-04-08,jnlupi-kokkolan-energia-oy-ranta-6-kk,Kokkolan Energia Oy,6,observed_seller_data,unmapped,,
94872,2026-04-08,jslu5b-lumme-energia-vuosisahko-24-kk-hinta-joka-ei-heilu,Lumme Energia,24,observed_seller_data,unmapped,,
94876,2026-04-08,kizv5l-pohjois-karjalan-sahko-oy-optimi-takuu-12-kuukautta,Pohjois-Karjalan Sähkö Oy,12,observed_seller_data,unmapped,,
94886,2026-04-08,kxaja0-paneliankosken-voima-oy-kosken-vuosiwoima-12-kk,Paneliankosken Voima Oy,12,observed_seller_data,unmapped,,
94888,2026-04-08,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,Sähkötytöt Oy,6,observed_seller_data,unmapped,,
94890,2026-04-08,lbjb7g-oomi-oy-oomi-kiintea-24-kk,Oomi Oy,24,observed_seller_data,unmapped,,
94895,2026-04-08,luadkb-helen-oy-maaraaikainen-perussahko-12-kk,Helen Oy,12,observed_seller_data,unmapped,,
94899,2026-04-08,m5hm5p-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-12-kk-paastoton,Äänekosken Energia Oy,12,observed_seller_data,unmapped,,
94902,2026-04-08,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,Aalto energia Oyj,24,observed_seller_data,unmapped,,
94906,2026-04-08,mm1cnn-hehku-energia-oy-hehku-hiilivapaa-24-kk-0-kuukausimaksu-ensimmaiset-6-kk,Hehku Energia Oy,24,observed_seller_data,unmapped,,
94908,2026-04-08,muhunn-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,Hehku Energia Oy,12,observed_seller_data,unmapped,,
94910,2026-04-08,mw0gwr-omavoima-oy-oma-24kk-yleis,Omavoima Oy,24,observed_seller_data,unmapped,,
94913,2026-04-08,n8lywh-vattenfall-oy-taystuuli-12-kk,Vattenfall Oy,12,observed_seller_data,unmapped,,
94916,2026-04-08,nenef4-turku-energia-oy-louna-lahi-12kk,Turku Energia Oy,12,observed_seller_data,unmapped,,
94931,2026-04-08,ovufpo-paneliankosken-voima-oy-kosken-vuosiwoima-24-kk,Paneliankosken Voima Oy,24,observed_seller_data,unmapped,,
94932,2026-04-08,oyfer4-pohjois-karjalan-sahko-oy-optimi-takuu-24-kuukautta,Pohjois-Karjalan Sähkö Oy,24,observed_seller_data,unmapped,,
94935,2026-04-08,peerrr-lumme-energia-vuosisahko-12-kk-hinta-joka-ei-heilu,Lumme Energia,12,observed_seller_data,unmapped,,
