supplier,term,contract_id,before,after,before_basis,after_basis,numeric_difference,before_price,after_price
Lammaisten Energia Oy,24,cnukun-lammaisten-energia-oy-iisi-helpposahko-yleissahko-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.9700,9.9700
Lammaisten Energia Oy,12,psutqh-lammaisten-energia-oy-iisi-helpposahko-yleissahko-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.4200,10.4200
Omavoima Oy,12,4w4snx-omavoima-oy-oma-12kk-yleis,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.0700,10.0700
Omavoima Oy,24,wliup0-omavoima-oy-oma-24kk-yleis,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,8.9800,8.9800
Koillis-Satakunnan Sähkö Oy,12,dkzws6-koillis-satakunnan-sahko-oy-ikiwirta-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.9800,9.9800
Koillis-Satakunnan Sähkö Oy,12,kwaswq-koillis-satakunnan-sahko-oy-vakaawirta-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.6600,9.6600
Nurmijärven Sähkö Oy,12,9rfo6y-nurmijarven-sahko-oy-yleissahko-1-vuotta,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.4500,10.4500
Nurmijärven Sähkö Oy,24,bxs18u-nurmijarven-sahko-oy-yleissahko-2-vuotta,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.4500,9.4500
Pohjois-Karjalan Sähkö Oy,12,kjngro-pohjois-karjalan-sahko-oy-optimi-takuu-12-kuukautta,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.4800,10.4800
Pohjois-Karjalan Sähkö Oy,6,tkqczm-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.7900,10.7900
Koillis-Satakunnan Sähkö Oy,24,h925l0-koillis-satakunnan-sahko-oy-vakaawirta-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,8.9700,8.9700
Pohjois-Karjalan Sähkö Oy,6,hprucu-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,11.9400,11.9400
Turku Energia Oy,6,8v2zuo-turku-energia-oy-louna-lahi-6kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,11.4000,11.4000
Turku Energia Oy,24,dwoas0-turku-energia-oy-louna-lahi-24kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.1000,9.1000
Turku Energia Oy,12,ehpblq-turku-energia-oy-louna-lahi-12kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.7000,9.7000
Pohjois-Karjalan Sähkö Oy,24,hz5m3u-pohjois-karjalan-sahko-oy-optimi-takuu-24-kuukautta,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.1800,10.1800
Hehku Energia Oy,6,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,2026-07-24,2026-07-27,observed_seller_data,canonical_calculation,False,10.9900,10.9900
Vaasan Sähkö Myynti Oy,12,6jrged-vaasan-sahko-myynti-oy-kiintea-12-kk-yleissahko,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.4800,10.4800
Vaasan Sähkö Myynti Oy,24,pvhkra-vaasan-sahko-myynti-oy-kiintea-24-kk-yleissahko,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.4600,9.4600
Vaasan Sähkö Myynti Oy,6,qseg85-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,12.0100,12.0100
Keravan Energia Oy,24,srhu1r-keravan-energia-oy-perussahko-luonnonvoima-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.2600,9.2600
Keravan Energia Oy,24,vmqvel-keravan-energia-oy-perussahko-yleissahko,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.0000,9.0000
Köyliön-Säkylän Sähkö Oy,12,egue10-koylion-sakylan-sahko-oy-lallin-maaris-1v,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.6000,10.6000
Köyliön-Säkylän Sähkö Oy,24,xrufmt-koylion-sakylan-sahko-oy-lallin-maaris-2v,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.4000,9.4000
