panel,horizon_days,fresh_spells,next_change_by_horizon,no_change_through_horizon,censored_before_horizon
same_id,7,1,0,0,1
same_id,14,1,0,0,1
same_id,30,1,0,0,1
same_id,45,1,0,0,1
same_id,60,1,0,0,1
same_id,90,1,0,0,1
same_id_no_discount,7,0,0,0,0
same_id_no_discount,14,0,0,0,0
same_id_no_discount,30,0,0,0,0
same_id_no_discount,45,0,0,0,0
same_id_no_discount,60,0,0,0,0
same_id_no_discount,90,0,0,0,0
dated_lineage_sensitivity,7,112,28,68,16
dated_lineage_sensitivity,14,112,50,40,22
dated_lineage_sensitivity,30,112,76,12,24
dated_lineage_sensitivity,45,112,80,5,27
dated_lineage_sensitivity,60,112,81,3,28
dated_lineage_sensitivity,90,112,82,0,30
supplier_median,7,473,184,222,67
supplier_median,14,473,260,131,82
supplier_median,30,473,331,49,93
supplier_median,45,473,349,22,102
supplier_median,60,473,353,13,107
supplier_median,90,473,359,3,111
