panel,company,term,basis,lag,screened,cohort,sample_days,distinct_retail_change_events,nonzero_pairs,correlation,sign_agreement,reportable,first_date,last_date
market,public_market,6,canonical_calculation,0,0,individual,42,23,42,-0.006321246521307909,0.5952380952380952,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,0,0,common_all_lags,42,23,42,-0.006321246521307909,0.5952380952380952,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,0,0,common_0_7_14,42,23,42,-0.006321246521307909,0.5952380952380952,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,7,0,individual,42,23,42,0.5588377576862127,0.6190476190476191,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,7,0,common_all_lags,42,23,42,0.5588377576862127,0.6190476190476191,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,7,0,common_0_7_14,42,23,42,0.5588377576862127,0.6190476190476191,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,14,0,individual,42,23,42,0.3759538387265749,0.5952380952380952,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,14,0,common_all_lags,42,23,42,0.3759538387265749,0.5952380952380952,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,14,0,common_0_7_14,42,23,42,0.3759538387265749,0.5952380952380952,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,21,0,individual,42,23,42,-0.05866272672745496,0.5,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,21,0,common_all_lags,42,23,42,-0.05866272672745496,0.5,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,21,0,common_0_7_14,0,0,0,,,0,,
market,public_market,6,canonical_calculation,30,0,individual,42,23,42,-0.016062062022553995,0.6904761904761905,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,30,0,common_all_lags,42,23,42,-0.016062062022553995,0.6904761904761905,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,30,0,common_0_7_14,0,0,0,,,0,,
