basis,term,horizon,calendar_starts,target_after_export,missing_invalid_current,missing_invalid_same_basis_target,exact_pairs,gap_unavailable,momentum_unavailable,gap_pairs,all_model_pairs
observed_seller_data,6,14,159,14,35,14,96,11,14,85,82
observed_seller_data,6,30,159,30,19,30,80,11,14,69,66
observed_seller_data,6,45,159,45,4,45,65,11,14,54,51
observed_seller_data,6,60,159,60,0,49,50,11,14,39,36
observed_seller_data,12,14,159,14,35,14,96,11,14,85,82
observed_seller_data,12,30,159,30,19,30,80,11,14,69,66
observed_seller_data,12,45,159,45,4,45,65,11,14,54,51
observed_seller_data,12,60,159,60,0,49,50,11,14,39,36
observed_seller_data,24,14,159,14,35,14,96,11,14,85,82
observed_seller_data,24,30,159,30,19,30,80,11,14,69,66
observed_seller_data,24,45,159,45,4,45,65,11,14,54,51
observed_seller_data,24,60,159,60,0,49,50,11,14,39,36
canonical_calculation,6,14,159,14,110,0,35,0,14,35,21
canonical_calculation,6,30,159,30,110,0,19,0,14,19,5
canonical_calculation,6,45,159,45,110,0,4,0,4,4,0
canonical_calculation,6,60,159,60,99,0,0,0,0,0,0
canonical_calculation,12,14,159,14,110,0,35,0,14,35,21
canonical_calculation,12,30,159,30,110,0,19,0,14,19,5
canonical_calculation,12,45,159,45,110,0,4,0,4,4,0
canonical_calculation,12,60,159,60,99,0,0,0,0,0,0
canonical_calculation,24,14,159,14,110,0,35,0,14,35,21
canonical_calculation,24,30,159,30,110,0,19,0,14,19,5
canonical_calculation,24,45,159,45,110,0,4,0,4,4,0
canonical_calculation,24,60,159,60,99,0,0,0,0,0,0
