panel,company,term,basis,lag,retail_dates,missing_retail_window,complete_retail_windows,missing_hedge_endpoints,unscreened_pairs,removed_rolls,screened_pairs
market,public_market,6,canonical_calculation,0,49,7,42,0,42,12,30
market,public_market,6,canonical_calculation,7,49,7,42,0,42,13,29
market,public_market,6,canonical_calculation,14,49,7,42,0,42,7,35
market,public_market,6,canonical_calculation,21,49,7,42,0,42,7,35
market,public_market,6,canonical_calculation,30,49,7,42,0,42,11,31
market,public_market,6,canonical_calculation,45,49,7,42,0,42,7,35
market,public_market,6,canonical_calculation,60,49,7,42,0,42,11,31
market,public_market,6,observed_seller_data,0,110,7,103,1,102,21,81
market,public_market,6,observed_seller_data,7,110,7,103,8,95,21,74
market,public_market,6,observed_seller_data,14,110,7,103,15,88,21,67
market,public_market,6,observed_seller_data,21,110,7,103,22,81,19,62
market,public_market,6,observed_seller_data,30,110,7,103,31,72,14,58
market,public_market,6,observed_seller_data,45,110,7,103,46,57,14,43
market,public_market,6,observed_seller_data,60,110,7,103,61,42,7,35
market,public_market,12,canonical_calculation,0,49,7,42,0,42,12,30
market,public_market,12,canonical_calculation,7,49,7,42,0,42,13,29
market,public_market,12,canonical_calculation,14,49,7,42,0,42,7,35
market,public_market,12,canonical_calculation,21,49,7,42,0,42,7,35
market,public_market,12,canonical_calculation,30,49,7,42,0,42,11,31
market,public_market,12,canonical_calculation,45,49,7,42,0,42,7,35
market,public_market,12,canonical_calculation,60,49,7,42,0,42,11,31
market,public_market,12,observed_seller_data,0,110,7,103,1,102,21,81
market,public_market,12,observed_seller_data,7,110,7,103,8,95,21,74
market,public_market,12,observed_seller_data,14,110,7,103,15,88,21,67
market,public_market,12,observed_seller_data,21,110,7,103,22,81,19,62
market,public_market,12,observed_seller_data,30,110,7,103,31,72,14,58
market,public_market,12,observed_seller_data,45,110,7,103,46,57,14,43
market,public_market,12,observed_seller_data,60,110,7,103,61,42,7,35
market,public_market,24,canonical_calculation,0,49,7,42,0,42,12,30
market,public_market,24,canonical_calculation,7,49,7,42,0,42,13,29
market,public_market,24,canonical_calculation,14,49,7,42,0,42,7,35
market,public_market,24,canonical_calculation,21,49,7,42,0,42,7,35
market,public_market,24,canonical_calculation,30,49,7,42,0,42,11,31
market,public_market,24,canonical_calculation,45,49,7,42,0,42,7,35
market,public_market,24,canonical_calculation,60,49,7,42,0,42,11,31
market,public_market,24,observed_seller_data,0,110,7,103,1,102,21,81
market,public_market,24,observed_seller_data,7,110,7,103,8,95,21,74
market,public_market,24,observed_seller_data,14,110,7,103,15,88,21,67
market,public_market,24,observed_seller_data,21,110,7,103,22,81,19,62
market,public_market,24,observed_seller_data,30,110,7,103,31,72,14,58
market,public_market,24,observed_seller_data,45,110,7,103,46,57,14,43
market,public_market,24,observed_seller_data,60,110,7,103,61,42,7,35
supplier_general,Aalto energia Oyj,12,observed_seller_data,0,56,7,49,1,48,9,39
supplier_general,Aalto energia Oyj,12,observed_seller_data,7,56,7,49,8,41,7,34
