date,term,price,trade,basket,missing,strip
2026-01-31,6,,,2026-02-01,no_prior_trade,[]
2026-01-31,12,,,2026-02-01,no_prior_trade,[]
2026-01-31,24,,,2026-02-01,no_prior_trade,[]
2026-02-01,6,,,2026-03-01,no_prior_trade,[]
2026-02-01,12,,,2026-03-01,no_prior_trade,[]
2026-02-01,24,,,2026-03-01,no_prior_trade,[]
2026-02-02,6,,,2026-03-01,no_prior_trade,[]
2026-02-02,12,,,2026-03-01,no_prior_trade,[]
2026-02-02,24,,,2026-03-01,no_prior_trade,[]
2026-02-03,6,,,2026-03-01,no_prior_trade,[]
2026-02-03,12,,,2026-03-01,no_prior_trade,[]
2026-02-03,24,,,2026-03-01,no_prior_trade,[]
2026-02-04,6,,,2026-03-01,no_prior_trade,[]
2026-02-04,12,,,2026-03-01,no_prior_trade,[]
2026-02-04,24,,,2026-03-01,no_prior_trade,[]
2026-02-05,6,,,2026-03-01,no_prior_trade,[]
2026-02-05,12,,,2026-03-01,no_prior_trade,[]
2026-02-05,24,,,2026-03-01,no_prior_trade,[]
2026-02-06,6,,,2026-03-01,no_prior_trade,[]
2026-02-06,12,,,2026-03-01,no_prior_trade,[]
2026-02-06,24,,,2026-03-01,no_prior_trade,[]
2026-02-07,6,,,2026-03-01,no_prior_trade,[]
2026-02-07,12,,,2026-03-01,no_prior_trade,[]
2026-02-07,24,,,2026-03-01,no_prior_trade,[]
2026-02-08,6,,,2026-03-01,no_prior_trade,[]
2026-02-08,12,,,2026-03-01,no_prior_trade,[]
2026-02-08,24,,,2026-03-01,no_prior_trade,[]
2026-02-09,6,,,2026-03-01,no_prior_trade,[]
2026-02-09,12,,,2026-03-01,no_prior_trade,[]
2026-02-09,24,,,2026-03-01,no_prior_trade,[]
2026-02-10,6,,,2026-03-01,no_prior_trade,[]
2026-02-10,12,,,2026-03-01,no_prior_trade,[]
2026-02-10,24,,,2026-03-01,no_prior_trade,[]
2026-02-11,6,,,2026-03-01,no_prior_trade,[]
2026-02-11,12,,,2026-03-01,no_prior_trade,[]
2026-02-11,24,,,2026-03-01,no_prior_trade,[]
2026-02-12,6,,,2026-03-01,no_prior_trade,[]
