basis,term,horizon,cohort,n,issue_days,unchanged_mae,gap_mae,momentum_mae,gap_improvement_fraction,momentum_improvement_fraction
observed_seller_data,6,14,all_models,82,82,0.6968292682926828,0.6625487804878047,0.9853170731707316,0.04919495974798738,-0.4140007000350019
observed_seller_data,6,14,gap_available_only,85,85,0.6734117647058822,0.639730588235294,,0.050015723270440016,
observed_seller_data,6,14,common_14_30_45_all_models,51,51,0.7981607843137254,0.7830784313725491,1.0191627450980392,0.01889638433457297,-0.27688902427640016
observed_seller_data,6,30,all_models,66,66,1.340490909090909,1.3603651515151516,1.571266666666667,-0.014826092657145296,-0.17215764464397987
observed_seller_data,6,30,gap_available_only,69,69,1.3260797101449273,1.3446101449275363,,-0.013973846851622396,
observed_seller_data,6,30,common_14_30_45_all_models,51,51,1.4618470588235295,1.4646313725490197,1.3653647058823533,-0.0019046546002774445,0.06600030581778071
observed_seller_data,6,45,all_models,51,51,2.220635294117647,2.2234196078431374,2.1724529411764704,-0.0012538365632870363,0.02169755342933133
observed_seller_data,6,45,gap_available_only,54,54,2.189859259259259,2.191875925925926,,-0.0009209115417532221,
observed_seller_data,6,45,common_14_30_45_all_models,51,51,2.220635294117647,2.2234196078431374,2.1724529411764704,-0.0012538365632870363,0.02169755342933133
observed_seller_data,6,60,all_models,36,36,2.737522222222222,2.714541666666667,1.7074972222222224,0.008394655345263513,0.37626178579981073
observed_seller_data,6,60,gap_available_only,39,39,2.7438666666666665,2.721805128205128,,0.008040309950023694,
observed_seller_data,6,60,common_14_30_45_all_models,0,0,,,,,
observed_seller_data,12,14,all_models,82,82,0.27822195121951204,0.2543073170731707,0.2883829268292682,0.08595523840415131,-0.03652111404300862
observed_seller_data,12,14,gap_available_only,85,85,0.27137294117647043,0.24719764705882347,,0.08908513137986762,
observed_seller_data,12,14,common_14_30_45_all_models,51,51,0.2357725490196076,0.2192764705882353,0.18409999999999982,0.06996606899304647,0.21916270250490666
observed_seller_data,12,30,all_models,66,66,0.3527393939393938,0.3472272727272727,0.5594409090909089,0.015626610769388982,-0.5859893130820248
observed_seller_data,12,30,gap_available_only,69,69,0.3482739130434781,0.3443623188405797,,0.01123137294067178,
observed_seller_data,12,30,common_14_30_45_all_models,51,51,0.3580529411764705,0.34332156862745095,0.48980784313725484,0.04114300108977198,-0.36797603596795314
observed_seller_data,12,45,all_models,51,51,0.3850235294117646,0.3805980392156863,0.5905039215686275,0.011494077265458369,-0.5336826880964756
observed_seller_data,12,45,gap_available_only,54,54,0.3977074074074073,0.3952666666666667,,0.006137026103313903,
observed_seller_data,12,45,common_14_30_45_all_models,51,51,0.3850235294117646,0.3805980392156863,0.5905039215686275,0.011494077265458369,-0.5336826880964756
observed_seller_data,12,60,all_models,36,36,0.5128833333333332,0.4980305555555556,0.3378027777777777,0.028959369143946256,0.3413652660882376
observed_seller_data,12,60,gap_available_only,39,39,0.5121487179487179,0.5008461538461539,,0.02206891027245661,
observed_seller_data,12,60,common_14_30_45_all_models,0,0,,,,,
observed_seller_data,24,14,all_models,82,82,0.17006341463414634,0.15590731707317076,0.1963890243902438,0.08324011129277442,-0.15479878381091638
observed_seller_data,24,14,gap_available_only,85,85,0.1647670588235294,0.15084705882352945,,0.08448290634907007,
observed_seller_data,24,14,common_14_30_45_all_models,51,51,0.13349411764705896,0.12467647058823539,0.13951960784313702,0.06605270115449036,-0.045136746864072874
observed_seller_data,24,30,all_models,66,66,0.2387969696969698,0.2364772727272728,0.33481666666666676,0.009714097179041481,-0.40209763587680647
observed_seller_data,24,30,gap_available_only,69,69,0.23871739130434794,0.23682318840579716,,0.007934917888474224,
observed_seller_data,24,30,common_14_30_45_all_models,51,51,0.20097058823529423,0.191521568627451,0.29327647058823525,0.04701692765500798,-0.4593004536806662
observed_seller_data,24,45,all_models,51,51,0.31912745098039236,0.31470980392156894,0.3755647058823528,0.013842892691468434,-0.17684863752265567
observed_seller_data,24,45,gap_available_only,54,54,0.3228796296296299,0.31912222222222253,,0.01163717702388789,
observed_seller_data,24,45,common_14_30_45_all_models,51,51,0.31912745098039236,0.31470980392156894,0.3755647058823528,0.013842892691468434,-0.17684863752265567
observed_seller_data,24,60,all_models,36,36,0.42579722222222255,0.41719444444444476,0.4354555555555557,0.020203931187902424,-0.022682941149607894
observed_seller_data,24,60,gap_available_only,39,39,0.4230435897435901,0.4156769230769234,,0.017413493184311513,
observed_seller_data,24,60,common_14_30_45_all_models,0,0,,,,,
observed_seller_data,all,14,all_models,246,82,0.38170487804878034,0.35758780487804875,0.49002967479674786,0.0631825123483214,-0.2837920157104308
observed_seller_data,all,14,gap_available_only,255,85,0.369850588235294,0.3459250980392157,,0.06468960968870285,
observed_seller_data,all,14,common_14_30_45_all_models,153,51,0.38914248366013066,0.3756771241830066,0.44759411764705864,0.03460264566971427,-0.15020625205748162
observed_seller_data,all,30,all_models,198,66,0.6440090909090909,0.6480232323232323,0.8218414141414142,-0.00623305085410375,-0.27613324989138444
observed_seller_data,all,30,gap_available_only,207,69,0.6376903381642511,0.6419318840579711,,-0.006651419411387582,
observed_seller_data,all,30,common_14_30_45_all_models,153,51,0.6736235294117647,0.6664915032679739,0.7161496732026145,0.010587554965633128,-0.06313043107028227
observed_seller_data,all,45,all_models,153,51,0.9749287581699346,0.9729091503267976,1.0461738562091503,0.0020715440243327388,-0.07307723507197772
observed_seller_data,all,45,gap_available_only,162,54,0.9701487654320988,0.9687549382716051,,0.0014367148731802004,
