panel,supplier,term,basis,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete,returned_to_start_complete,series_with_pairs,series_with_complete_windows,p_unchanged_endpoints,p_no_observed_change_complete,exact_pair_selection_rate
same_id,Aalto energia Oyj,12,observed_seller_data,7,56,49,49,0,49,49,0,0,1,1,1.0,1.0,0.875
same_id,ALL,ALL,ALL,7,11179,6632,6629,3,6632,6629,3,0,429,429,0.9995476477683957,0.9995476477683957,0.59325521066285
same_id,Aalto energia Oyj,12,observed_seller_data,14,56,42,42,0,42,42,0,0,1,1,1.0,1.0,0.75
same_id,ALL,ALL,ALL,14,10735,4234,4234,0,4234,4234,0,0,245,245,1.0,1.0,0.3944108057755007
same_id,Aalto energia Oyj,12,observed_seller_data,30,56,26,26,0,26,26,0,0,1,1,1.0,1.0,0.4642857142857143
same_id,ALL,ALL,ALL,30,9711,1641,1641,0,1641,1641,0,0,85,85,1.0,1.0,0.1689836268149521
same_id,Aalto energia Oyj,12,observed_seller_data,45,56,11,11,0,11,11,0,0,1,1,1.0,1.0,0.19642857142857142
same_id,ALL,ALL,ALL,45,8730,707,707,0,707,707,0,0,39,39,1.0,1.0,0.08098510882016037
same_id,Aalto energia Oyj,12,observed_seller_data,60,56,0,0,0,0,0,0,0,0,0,,,0.0
same_id,ALL,ALL,ALL,60,7669,252,252,0,252,252,0,0,20,20,1.0,1.0,0.03285956448037554
same_id,Aalto energia Oyj,12,observed_seller_data,90,56,0,0,0,0,0,0,0,0,0,,,0.0
same_id,ALL,ALL,ALL,90,5436,20,20,0,20,20,0,0,3,3,1.0,1.0,0.003679175864606328
same_id,Aalto energia Oyj,24,observed_seller_data,7,56,49,49,0,49,49,0,0,1,1,1.0,1.0,0.875
same_id,Aalto energia Oyj,24,observed_seller_data,14,56,42,42,0,42,42,0,0,1,1,1.0,1.0,0.75
same_id,Aalto energia Oyj,24,observed_seller_data,30,56,26,26,0,26,26,0,0,1,1,1.0,1.0,0.4642857142857143
same_id,Aalto energia Oyj,24,observed_seller_data,45,56,11,11,0,11,11,0,0,1,1,1.0,1.0,0.19642857142857142
same_id,Aalto energia Oyj,24,observed_seller_data,60,56,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Aalto energia Oyj,24,observed_seller_data,90,56,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,7,42,35,35,0,35,35,0,0,2,2,1.0,1.0,0.8333333333333334
same_id,Alajärven Sähkö Oy,12,canonical_calculation,14,35,24,24,0,24,24,0,0,1,1,1.0,1.0,0.6857142857142857
same_id,Alajärven Sähkö Oy,12,canonical_calculation,30,19,8,8,0,8,8,0,0,1,1,1.0,1.0,0.42105263157894735
same_id,Alajärven Sähkö Oy,12,canonical_calculation,45,4,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Alajärven Sähkö Oy,12,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Alajärven Sähkö Oy,12,observed_seller_data,7,110,99,99,0,99,99,0,0,1,1,1.0,1.0,0.9
same_id,Alajärven Sähkö Oy,12,observed_seller_data,14,110,92,92,0,92,92,0,0,1,1,1.0,1.0,0.8363636363636363
same_id,Alajärven Sähkö Oy,12,observed_seller_data,30,110,76,76,0,76,76,0,0,1,1,1.0,1.0,0.6909090909090909
same_id,Alajärven Sähkö Oy,12,observed_seller_data,45,110,61,61,0,61,61,0,0,1,1,1.0,1.0,0.5545454545454546
same_id,Alajärven Sähkö Oy,12,observed_seller_data,60,99,46,46,0,46,46,0,0,1,1,1.0,1.0,0.46464646464646464
same_id,Alajärven Sähkö Oy,12,observed_seller_data,90,69,16,16,0,16,16,0,0,1,1,1.0,1.0,0.2318840579710145
same_id,Alajärven Sähkö Oy,24,canonical_calculation,7,42,35,35,0,35,35,0,0,2,2,1.0,1.0,0.8333333333333334
same_id,Alajärven Sähkö Oy,24,canonical_calculation,14,35,24,24,0,24,24,0,0,1,1,1.0,1.0,0.6857142857142857
same_id,Alajärven Sähkö Oy,24,canonical_calculation,30,19,8,8,0,8,8,0,0,1,1,1.0,1.0,0.42105263157894735
same_id,Alajärven Sähkö Oy,24,canonical_calculation,45,4,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Alajärven Sähkö Oy,24,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Alajärven Sähkö Oy,24,observed_seller_data,7,110,92,92,0,92,92,0,0,2,2,1.0,1.0,0.8363636363636363
same_id,Alajärven Sähkö Oy,24,observed_seller_data,14,110,78,78,0,78,78,0,0,2,2,1.0,1.0,0.7090909090909091
same_id,Alajärven Sähkö Oy,24,observed_seller_data,30,110,46,46,0,46,46,0,0,2,2,1.0,1.0,0.41818181818181815
same_id,Alajärven Sähkö Oy,24,observed_seller_data,45,110,16,16,0,16,16,0,0,2,2,1.0,1.0,0.14545454545454545
same_id,Alajärven Sähkö Oy,24,observed_seller_data,60,99,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,7,3,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,14,3,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,30,3,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,45,1,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Cheap Energy Finland Oy,6,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Cheap Energy Finland Oy,6,observed_seller_data,7,108,74,74,0,74,74,0,0,3,3,1.0,1.0,0.6851851851851852
same_id,Cheap Energy Finland Oy,6,observed_seller_data,14,108,53,53,0,53,53,0,0,3,3,1.0,1.0,0.49074074074074076
same_id,Cheap Energy Finland Oy,6,observed_seller_data,30,108,5,5,0,5,5,0,0,1,1,1.0,1.0,0.046296296296296294
same_id,Cheap Energy Finland Oy,6,observed_seller_data,45,108,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,60,99,0,0,0,0,0,0,0,0,0,,,0.0
