panel,basis,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete
dated_lineage_sensitivity,canonical_calculation,7,1896,1618,1104,514,1099,1082,17
dated_lineage_sensitivity,canonical_calculation,14,1571,1324,680,644,657,637,20
dated_lineage_sensitivity,canonical_calculation,30,817,602,162,440,156,136,20
dated_lineage_sensitivity,canonical_calculation,45,180,95,6,89,8,2,6
dated_lineage_sensitivity,canonical_calculation,60,0,0,0,0,0,0,0
dated_lineage_sensitivity,canonical_calculation,90,0,0,0,0,0,0,0
dated_lineage_sensitivity,observed_seller_data,7,2479,2194,1485,709,2182,1485,697
dated_lineage_sensitivity,observed_seller_data,14,2479,2021,964,1057,1997,955,1042
dated_lineage_sensitivity,observed_seller_data,30,2479,1621,443,1178,1597,420,1177
dated_lineage_sensitivity,observed_seller_data,45,2479,1246,232,1014,1222,201,1021
dated_lineage_sensitivity,observed_seller_data,60,2136,871,87,784,847,84,763
dated_lineage_sensitivity,observed_seller_data,90,1388,210,3,207,186,3,183
same_id,canonical_calculation,7,2710,1558,1558,0,1558,1558,0
same_id,canonical_calculation,14,2266,888,888,0,888,888,0
same_id,canonical_calculation,30,1242,205,205,0,205,205,0
same_id,canonical_calculation,45,261,4,4,0,4,4,0
same_id,canonical_calculation,60,0,0,0,0,0,0,0
same_id,canonical_calculation,90,0,0,0,0,0,0,0
same_id,observed_seller_data,7,8469,5074,5071,3,5074,5071,3
same_id,observed_seller_data,14,8469,3346,3346,0,3346,3346,0
same_id,observed_seller_data,30,8469,1436,1436,0,1436,1436,0
same_id,observed_seller_data,45,8469,703,703,0,703,703,0
same_id,observed_seller_data,60,7669,252,252,0,252,252,0
same_id,observed_seller_data,90,5436,20,20,0,20,20,0
same_id_no_discount,canonical_calculation,7,2135,1252,1252,0,1252,1252,0
same_id_no_discount,canonical_calculation,14,1772,736,736,0,736,736,0
same_id_no_discount,canonical_calculation,30,944,185,185,0,185,185,0
same_id_no_discount,canonical_calculation,45,194,4,4,0,4,4,0
same_id_no_discount,canonical_calculation,60,0,0,0,0,0,0,0
same_id_no_discount,canonical_calculation,90,0,0,0,0,0,0,0
same_id_no_discount,observed_seller_data,7,6681,3996,3996,0,3996,3996,0
same_id_no_discount,observed_seller_data,14,6681,2612,2612,0,2612,2612,0
same_id_no_discount,observed_seller_data,30,6681,1125,1125,0,1125,1125,0
same_id_no_discount,observed_seller_data,45,6681,587,587,0,587,587,0
same_id_no_discount,observed_seller_data,60,6052,236,236,0,236,236,0
same_id_no_discount,observed_seller_data,90,4283,20,20,0,20,20,0
supplier_median,canonical_calculation,7,2142,2075,1272,803,1917,1264,653
supplier_median,canonical_calculation,14,1791,1703,794,909,1521,759,762
supplier_median,canonical_calculation,30,975,891,232,659,711,207,504
supplier_median,canonical_calculation,45,198,175,10,165,90,9,81
supplier_median,canonical_calculation,60,0,0,0,0,0,0,0
supplier_median,canonical_calculation,90,0,0,0,0,0,0,0
supplier_median,observed_seller_data,7,6605,6111,3997,2114,6097,3987,2110
supplier_median,observed_seller_data,14,6605,5638,2742,2896,5597,2688,2909
supplier_median,observed_seller_data,30,6605,4605,1349,3256,4527,1219,3308
supplier_median,observed_seller_data,45,6605,3648,692,2956,3555,609,2946
supplier_median,observed_seller_data,60,5999,2747,302,2445,2658,243,2415
supplier_median,observed_seller_data,90,4288,1063,79,984,1016,44,972
