supplier,term,contract_id,first,last,left_study_boundary,right_study_boundary,observed_dates,price_values
Aalto energia Oyj,12,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,2026-04-08,2026-06-02,True,False,56,1
Aalto energia Oyj,24,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,2026-04-08,2026-06-02,True,False,56,1
Alajärven Sähkö Oy,12,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,2026-04-08,2026-07-22,True,False,106,1
Alajärven Sähkö Oy,12,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,2026-08-07,2026-09-13,False,True,38,1
Alajärven Sähkö Oy,12,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,2026-07-23,2026-08-06,False,False,15,1
Alajärven Sähkö Oy,24,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,2026-08-07,2026-09-13,False,True,38,1
Alajärven Sähkö Oy,24,llpuxr-alajarven-sahko-oy-yleissahko-24-kk,2026-06-03,2026-07-22,False,False,50,1
Alajärven Sähkö Oy,24,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,2026-07-23,2026-08-06,False,False,15,1
Alajärven Sähkö Oy,24,tevygl-alajarven-sahko-oy-yleissahko-24-kk,2026-04-08,2026-06-02,True,False,56,1
Cheap Energy Finland Oy,6,d8codr-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-05-08,2026-05-10,False,False,3,1
Cheap Energy Finland Oy,6,dwwsck-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-06-10,2026-07-14,False,False,35,1
Cheap Energy Finland Oy,6,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,2026-04-08,2026-05-07,True,False,30,1
Cheap Energy Finland Oy,6,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-05-11,2026-06-09,False,False,30,1
Cheap Energy Finland Oy,6,nwouc3-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-07-15,2026-07-20,False,False,6,1
Cheap Energy Finland Oy,6,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2026-07-21,2026-07-27,False,False,5,1
Cheap Energy Finland Oy,6,yuz5hv-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,2026-08-01,2026-08-02,False,False,2,1
Cheap Energy Finland Oy,12,bxoqen-cheap-energy-finland-oy-cheap-maaraaikainen-12-kk,2026-09-03,2026-09-11,False,False,9,1
Cheap Energy Finland Oy,24,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-05-08,2026-05-19,False,False,12,1
Cheap Energy Finland Oy,24,a9robz-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-08-12,2026-09-08,False,False,28,1
Cheap Energy Finland Oy,24,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-05-20,2026-06-09,False,False,21,1
Cheap Energy Finland Oy,24,astury-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-07-10,2026-07-14,False,False,5,1
Cheap Energy Finland Oy,24,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-07-21,2026-08-05,False,False,16,1
Cheap Energy Finland Oy,24,e85fwa-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-06-30,2026-07-10,False,False,11,1
Cheap Energy Finland Oy,24,o0st2m-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-04-10,2026-05-07,False,False,28,1
Cheap Energy Finland Oy,24,p8htux-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-07-15,2026-07-20,False,False,6,1
Cheap Energy Finland Oy,24,rqdlzd-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-04-08,2026-04-09,True,False,2,1
Cheap Energy Finland Oy,24,timrj1-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk,2026-09-09,2026-09-13,False,True,5,1
Cheap Energy Finland Oy,24,w4lvzl-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-08-04,2026-08-11,False,False,8,1
Cheap Energy Finland Oy,24,yjo87g-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,2026-06-10,2026-06-29,False,False,20,1
Fortum Markets Oy,24,9d47d7-fortum-markets-oy-fortum-takuu-24-kk,2026-07-06,2026-07-12,False,False,7,1
Fortum Markets Oy,24,9pb5h7-fortum-markets-oy-fortum-takuu-24-kk,2026-07-13,2026-07-19,False,False,7,1
Fortum Markets Oy,24,cy3svg-fortum-markets-oy-fortum-takuu-24-kk,2026-06-22,2026-07-22,False,False,31,1
Fortum Markets Oy,24,n3dcim-fortum-markets-oy-fortum-takuu-24-kk,2026-07-27,2026-09-13,False,True,49,1
Fortum Markets Oy,24,pkrtvp-fortum-markets-oy-fortum-takuu-24-kk,2026-06-04,2026-06-07,False,False,4,1
Fortum Markets Oy,24,s6xxpq-fortum-markets-oy-fortum-takuu-24-kk,2026-06-08,2026-06-14,False,False,7,1
Fortum Markets Oy,24,sc1qlj-fortum-markets-oy-fortum-takuu-24-kk,2026-06-15,2026-06-21,False,False,7,1
Fortum Markets Oy,24,wwwvyt-fortum-markets-oy-fortum-takuu-24-kk,2026-06-29,2026-07-05,False,False,7,1
Fortum Markets Oy,24,zxt8y9-fortum-markets-oy-fortum-takuu-24-kk,2026-07-20,2026-07-24,False,False,5,1
Hehku Energia Oy,6,4xrqlw-hehku-energia-oy-hehku-kiintea-6-kk,2026-05-20,2026-06-09,False,False,21,1
Hehku Energia Oy,6,6m68xc-hehku-energia-oy-hehku-kiintea-6-kk,2026-05-11,2026-05-19,False,False,9,1
Hehku Energia Oy,6,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,2026-04-08,2026-05-04,True,False,27,1
Hehku Energia Oy,6,cnbsaj-hehku-energia-oy-hehku-kiintea-6-kk,2026-06-10,2026-07-10,False,False,31,1
Hehku Energia Oy,6,izszo3-hehku-energia-oy-hehku-kiintea-6-kk,2026-05-05,2026-05-07,False,False,3,1
Hehku Energia Oy,6,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,2026-07-15,2026-07-27,False,False,11,2
Hehku Energia Oy,6,vvklfh-hehku-energia-oy-hehku-kiintea-6-kk,2026-05-08,2026-05-10,False,False,3,1
Hehku Energia Oy,12,3nznl3-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-12,2026-09-13,False,True,33,1
Hehku Energia Oy,12,5s5r2e-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-07-21,2026-08-02,False,False,13,1
Hehku Energia Oy,12,dar1ov-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-12,2026-08-20,False,False,9,1
Hehku Energia Oy,12,e4auec-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-28,2026-09-13,False,True,17,1
Hehku Energia Oy,12,epjt1n-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-04,2026-08-11,False,False,8,1
Hehku Energia Oy,12,fokapn-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-04,2026-08-11,False,False,8,1
Hehku Energia Oy,12,if1udv-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-08-21,2026-08-27,False,False,7,1
Hehku Energia Oy,12,muhunn-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-04-08,2026-05-07,True,False,30,1
Hehku Energia Oy,12,qcfjvj-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-07-15,2026-07-20,False,False,6,1
Hehku Energia Oy,12,qwbm0d-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-05-08,2026-07-14,False,False,68,1
Hehku Energia Oy,12,s2orfb-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-04-08,2026-05-07,True,False,30,1
Hehku Energia Oy,12,w55jce-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-05-08,2026-07-14,False,False,68,1
Hehku Energia Oy,12,xe9b5i-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-07-21,2026-08-02,False,False,13,1
Hehku Energia Oy,12,zmaxhb-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-07-15,2026-07-20,False,False,6,1
Hehku Energia Oy,24,5avbab-hehku-energia-oy-hehku-kiintea-24-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-07-21,2026-08-02,False,False,13,1
Hehku Energia Oy,24,77a71e-hehku-energia-oy-hehku-kiintea-24-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-05-20,2026-06-09,False,False,21,1
Hehku Energia Oy,24,8nfzdh-hehku-energia-oy-hehku-hiilivapaa-24-kk-0-kuukausimaksu-ensimmaiset-6-kk,2026-06-03,2026-07-14,False,False,42,1
