panel,supplier,term,basis,series,before,after,interval_bound_days,energy_changed,fee_comparable,fee_changed,discount_flag_changed,discount_at_either,carrier_set_changed,disjoint_carriers,before_ids,after_ids,before_price,after_price
dated_lineage_sensitivity,Alajärven Sähkö Oy,12,canonical_calculation,d21481c9d2ea9f0d2b5adb6b5edd88bed74e1484cbd7d387d7125e9482f666a9,2026-08-05,2026-08-08,3,True,False,False,False,False,True,True,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,9.9000,11.0000
dated_lineage_sensitivity,Alajärven Sähkö Oy,24,canonical_calculation,ce10dd1b54966779de822e14582d9d48043ff9f13568770aa95114f2cf6362c9,2026-08-05,2026-08-08,3,True,False,False,False,False,True,True,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,9.5000,9.9500
dated_lineage_sensitivity,Cheap Energy Finland Oy,24,observed_seller_data,aae289d81c293910ee00a48fdde327231d6360eb403e8c55cf8bc56ba108909c,2026-05-07,2026-05-08,1,True,False,False,False,True,True,True,o0st2m-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,8.0900,8.3500
dated_lineage_sensitivity,Cheap Energy Finland Oy,24,observed_seller_data,aae289d81c293910ee00a48fdde327231d6360eb403e8c55cf8bc56ba108909c,2026-05-19,2026-05-20,1,True,False,False,False,True,True,True,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,8.3500,8.4900
dated_lineage_sensitivity,Cheap Energy Finland Oy,24,observed_seller_data,aae289d81c293910ee00a48fdde327231d6360eb403e8c55cf8bc56ba108909c,2026-06-09,2026-06-10,1,True,False,False,False,True,True,True,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,yjo87g-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,8.4900,8.6500
dated_lineage_sensitivity,Cheap Energy Finland Oy,24,observed_seller_data,aae289d81c293910ee00a48fdde327231d6360eb403e8c55cf8bc56ba108909c,2026-06-29,2026-06-30,1,True,False,False,False,True,True,True,yjo87g-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,e85fwa-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,8.6500,8.4800
dated_lineage_sensitivity,Cheap Energy Finland Oy,24,observed_seller_data,aae289d81c293910ee00a48fdde327231d6360eb403e8c55cf8bc56ba108909c,2026-07-09,2026-07-11,2,True,False,False,False,True,True,True,e85fwa-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,astury-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,8.4800,8.7500
dated_lineage_sensitivity,Cheap Energy Finland Oy,24,observed_seller_data,aae289d81c293910ee00a48fdde327231d6360eb403e8c55cf8bc56ba108909c,2026-07-14,2026-07-15,1,True,False,False,False,True,True,True,astury-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,p8htux-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,8.7500,8.9500
dated_lineage_sensitivity,Cheap Energy Finland Oy,24,observed_seller_data,aae289d81c293910ee00a48fdde327231d6360eb403e8c55cf8bc56ba108909c,2026-07-20,2026-07-21,1,True,False,False,False,True,True,True,p8htux-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,8.9500,9.2800
dated_lineage_sensitivity,Hehku Energia Oy,12,observed_seller_data,c18d12d6a323539e55e422333aaa1079a31cc0eec66fdbbb47aa834fcfab5ce0,2026-07-14,2026-07-15,1,True,False,False,False,True,True,True,qwbm0d-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,qcfjvj-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,9.4900,9.6900
