supplier,term,basis,date,median,offers,discount_offers,ids
Lammaisten Energia Oy,6,observed_seller_data,2026-04-08,10.4200,1,0,1lchnx-lammaisten-energia-oy-iisi-helpposahko-yleissahko-6-kk
Keravan Energia Oy,24,observed_seller_data,2026-04-08,8.2000,2,0,1tma4r-keravan-energia-oy-perussahko-yleissahko;fdrvso-keravan-energia-oy-perussahko-luonnonvoima-24-kk
Vattenfall Oy,12,observed_seller_data,2026-04-08,9.8300,2,0,2alb2h-vattenfall-oy-taysvesi-12-kk;n8lywh-vattenfall-oy-taystuuli-12-kk
Lumme Energia,6,observed_seller_data,2026-04-08,8.3800,1,0,2j1rhx-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu
Köyliön-Säkylän Sähkö Oy,24,observed_seller_data,2026-04-08,7.8500,1,0,2wdwn8-koylion-sakylan-sahko-oy-lallin-maaris-2v
Porvoon Energia Oy,12,observed_seller_data,2026-04-08,9.9000,3,0,2xtbfi-porvoon-energia-oy-ilmastoviisas-12-kk-co2-paastottomasti-tuotettu;hpjkgr-porvoon-energia-oy-wind-12-kk-kotimainen-tuulisahko;xqafn5-porvoon-energia-oy-eko-12-kk-luonnonsuojeluliiton-sertifioima-ekoenergia
Sähkötytöt Oy,24,observed_seller_data,2026-04-08,8.2800,1,1,3iwie0-sahkotytot-oy-kiintea-24kk
Koillis-Satakunnan Sähkö Oy,12,observed_seller_data,2026-04-08,8.5350,2,2,3o6flt-koillis-satakunnan-sahko-oy-vakaawirta-12-kk;ukxanu-koillis-satakunnan-sahko-oy-ikiwirta-12-kk
Lammaisten Energia Oy,24,observed_seller_data,2026-04-08,9.6100,1,0,3wrqym-lammaisten-energia-oy-iisi-helpposahko-yleissahko-24-kk
Aalto energia Oyj,12,observed_seller_data,2026-04-08,8.9000,1,1,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua
Omavoima Oy,12,observed_seller_data,2026-04-08,9.2700,1,0,4mpypn-omavoima-oy-oma-12kk-yleis
Väre Oy,24,observed_seller_data,2026-04-08,9.0700,1,0,4tdbdn-vare-oy-maaraaikainen-sahko-24-kk
Porvoon Energia Oy,24,observed_seller_data,2026-04-08,9.0000,3,0,55tjpy-porvoon-energia-oy-wind-24-kk-kotimainen-tuulisahko;6dsic7-porvoon-energia-oy-eko-24-kk-luonnonsuojeluliiton-sertifioima-ekoenergia;enf0bt-porvoon-energia-oy-ilmastoviisas-24-kk-co2-paastottomasti-tuotettu
Vaasan Sähkö Myynti Oy,12,observed_seller_data,2026-04-08,9.6600,1,1,5kvkez-vaasan-sahko-myynti-oy-kiintea-12-kk-yleissahko
