panel,supplier,term,basis,series,series_at_least_two_dates,series_no_observed_change,no_change_multi_date_series,observed_dates,adjacent_pairs,adjacent_energy_changes,gap_bounded_energy_changes,adjacent_fee_comparable_pairs,adjacent_fee_changes,adjacent_discount_flag_changes,energy_changes_discount_at_either,spells,left_censored,right_censored,completed_intervals,interval_p25,interval_median,interval_p75,interval_p90,observed_constant_days_median
same_id,ALL,ALL,ALL,851,821,850,820,11608,10757,1,0,10757,6,0,1,852,851,851,0,,,,,8.0
same_id,Aalto energia Oyj,12,observed_seller_data,1,1,1,1,56,55,0,0,55,0,0,0,1,1,1,0,,,,,56.0
same_id,Aalto energia Oyj,24,observed_seller_data,1,1,1,1,56,55,0,0,55,0,0,0,1,1,1,0,,,,,56.0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id,Alajärven Sähkö Oy,12,observed_seller_data,2,2,2,2,110,108,0,0,108,0,0,0,2,2,2,0,,,,,55.0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id,Alajärven Sähkö Oy,24,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,50.0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,2,1,2,1,3,1,0,0,1,0,0,0,2,2,2,0,,,,,1.5
same_id,Cheap Energy Finland Oy,6,observed_seller_data,6,6,6,6,108,102,0,0,102,0,0,0,6,6,6,0,,,,,18.0
same_id,Cheap Energy Finland Oy,12,canonical_calculation,1,1,1,1,9,8,0,0,8,0,0,0,1,1,1,0,,,,,9.0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,4,4,4,4,51,47,0,0,47,0,0,0,4,4,4,0,,,,,9.0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,9,9,9,9,111,102,0,0,102,0,0,0,9,9,9,0,,,,,11.0
same_id,Fortum Markets Oy,24,canonical_calculation,1,1,1,1,49,48,0,0,48,0,0,0,1,1,1,0,,,,,49.0
same_id,Fortum Markets Oy,24,observed_seller_data,8,8,8,8,75,67,0,0,67,0,0,0,8,8,8,0,,,,,7.0
same_id,Hehku Energia Oy,6,canonical_calculation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,,,,,1.0
same_id,Hehku Energia Oy,6,observed_seller_data,7,7,6,6,104,97,1,0,97,0,0,1,8,7,7,0,,,,,7.5
same_id,Hehku Energia Oy,12,canonical_calculation,8,8,8,8,96,88,0,0,88,0,0,0,8,8,8,0,,,,,8.0
same_id,Hehku Energia Oy,12,observed_seller_data,8,8,8,8,220,212,0,0,212,0,0,0,8,8,8,0,,,,,18.0
