panel,supplier,term,basis,series,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete,returned_to_start_complete
same_id,Aalto energia Oyj,12,observed_seller_data,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,7,56,49,49,0,49,49,0,0
same_id,Aalto energia Oyj,12,observed_seller_data,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,14,56,42,42,0,42,42,0,0
same_id,Aalto energia Oyj,12,observed_seller_data,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,30,56,26,26,0,26,26,0,0
same_id,Aalto energia Oyj,12,observed_seller_data,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,45,56,11,11,0,11,11,0,0
same_id,Aalto energia Oyj,12,observed_seller_data,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,60,56,0,0,0,0,0,0,0
same_id,Aalto energia Oyj,12,observed_seller_data,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua,90,56,0,0,0,0,0,0,0
same_id,Aalto energia Oyj,24,observed_seller_data,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,7,56,49,49,0,49,49,0,0
same_id,Aalto energia Oyj,24,observed_seller_data,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,14,56,42,42,0,42,42,0,0
same_id,Aalto energia Oyj,24,observed_seller_data,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,30,56,26,26,0,26,26,0,0
same_id,Aalto energia Oyj,24,observed_seller_data,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,45,56,11,11,0,11,11,0,0
same_id,Aalto energia Oyj,24,observed_seller_data,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,60,56,0,0,0,0,0,0,0
same_id,Aalto energia Oyj,24,observed_seller_data,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua,90,56,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,7,31,31,31,0,31,31,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,14,24,24,24,0,24,24,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,30,8,8,8,0,8,8,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,45,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,60,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,v7bvq3-alajarven-sahko-oy-yleissahko-12-kk,90,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,7,11,4,4,0,4,4,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,14,11,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,30,11,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,45,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,60,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,canonical_calculation,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,90,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,7,106,99,99,0,99,99,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,14,106,92,92,0,92,92,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,30,106,76,76,0,76,76,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,45,106,61,61,0,61,61,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,60,99,46,46,0,46,46,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,bp5plr-alajarven-sahko-oy-yleissahko-12-kk,90,69,16,16,0,16,16,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,7,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,14,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,30,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,45,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,60,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,12,observed_seller_data,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,90,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,7,31,31,31,0,31,31,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,14,24,24,24,0,24,24,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,30,8,8,8,0,8,8,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,45,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,60,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,fg3irh-alajarven-sahko-oy-yleissahko-24-kk,90,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,7,11,4,4,0,4,4,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,14,11,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,30,11,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,45,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,60,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,canonical_calculation,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,90,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,llpuxr-alajarven-sahko-oy-yleissahko-24-kk,7,50,43,43,0,43,43,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,llpuxr-alajarven-sahko-oy-yleissahko-24-kk,14,50,36,36,0,36,36,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,llpuxr-alajarven-sahko-oy-yleissahko-24-kk,30,50,20,20,0,20,20,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,llpuxr-alajarven-sahko-oy-yleissahko-24-kk,45,50,5,5,0,5,5,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,llpuxr-alajarven-sahko-oy-yleissahko-24-kk,60,43,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,llpuxr-alajarven-sahko-oy-yleissahko-24-kk,90,13,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,7,4,0,0,0,0,0,0,0
