cohort,model,term,threshold,n,issue_days,first_issue,last_issue,correct,correct_rate,missed_move,missed_move_rate,false_move,false_move_rate,wrong_way,wrong_way_rate,actual_down,down__down,down__flat,down__up,down_recall_numerator,down_recall_denominator,down_recall,down_precision_numerator,down_precision_denominator,down_precision,actual_flat,flat__down,flat__flat,flat__up,flat_recall_numerator,flat_recall_denominator,flat_recall,flat_precision_numerator,flat_precision_denominator,flat_precision,actual_up,up__down,up__flat,up__up,up_recall_numerator,up_recall_denominator,up_recall,up_precision_numerator,up_precision_denominator,up_precision,balanced_accuracy
full57,unchanged,12,0.15,19,19,2026-07-27,2026-08-14,3,0.15789473684210525,16,0.8421052631578947,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,3,0,3,0,3,3,1.0,3,19,0.15789473684210525,16,0,16,0,0,16,0.0,0,0,,
full57,unchanged,12,0.10,19,19,2026-07-27,2026-08-14,3,0.15789473684210525,16,0.8421052631578947,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,3,0,3,0,3,3,1.0,3,19,0.15789473684210525,16,0,16,0,0,16,0.0,0,0,,
full57,unchanged,12,0.05,19,19,2026-07-27,2026-08-14,3,0.15789473684210525,16,0.8421052631578947,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,3,0,3,0,3,3,1.0,3,19,0.15789473684210525,16,0,16,0,0,16,0.0,0,0,,
full57,unchanged,24,0.15,19,19,2026-07-27,2026-08-14,10,0.5263157894736842,9,0.47368421052631576,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,10,0,10,0,10,10,1.0,10,19,0.5263157894736842,9,0,9,0,0,9,0.0,0,0,,
full57,unchanged,24,0.10,19,19,2026-07-27,2026-08-14,10,0.5263157894736842,9,0.47368421052631576,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,10,0,10,0,10,10,1.0,10,19,0.5263157894736842,9,0,9,0,0,9,0.0,0,0,,
full57,unchanged,24,0.05,19,19,2026-07-27,2026-08-14,10,0.5263157894736842,9,0.47368421052631576,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,10,0,10,0,10,10,1.0,10,19,0.5263157894736842,9,0,9,0,0,9,0.0,0,0,,
full57,unchanged,6,0.15,19,19,2026-07-27,2026-08-14,0,0.0,19,1.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,19,0.0,19,0,19,0,0,19,0.0,0,0,,
full57,unchanged,6,0.10,19,19,2026-07-27,2026-08-14,0,0.0,19,1.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,19,0.0,19,0,19,0,0,19,0.0,0,0,,
full57,unchanged,6,0.05,19,19,2026-07-27,2026-08-14,0,0.0,19,1.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,19,0.0,19,0,19,0,0,19,0.0,0,0,,
full57,unchanged,all,0.15,57,19,2026-07-27,2026-08-14,13,0.22807017543859648,44,0.7719298245614035,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,13,0,13,0,13,13,1.0,13,57,0.22807017543859648,44,0,44,0,0,44,0.0,0,0,,
full57,unchanged,all,0.10,57,19,2026-07-27,2026-08-14,13,0.22807017543859648,44,0.7719298245614035,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,13,0,13,0,13,13,1.0,13,57,0.22807017543859648,44,0,44,0,0,44,0.0,0,0,,
full57,unchanged,all,0.05,57,19,2026-07-27,2026-08-14,13,0.22807017543859648,44,0.7719298245614035,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,13,0,13,0,13,13,1.0,13,57,0.22807017543859648,44,0,44,0,0,44,0.0,0,0,,
full57,v3,12,0.15,19,19,2026-07-27,2026-08-14,3,0.15789473684210525,16,0.8421052631578947,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,3,0,3,0,3,3,1.0,3,19,0.15789473684210525,16,0,16,0,0,16,0.0,0,0,,
full57,v3,12,0.10,19,19,2026-07-27,2026-08-14,1,0.05263157894736842,15,0.7894736842105263,2,0.10526315789473684,1,0.05263157894736842,0,0,0,0,0,0,,0,3,0.0,3,2,1,0,1,3,0.3333333333333333,1,16,0.0625,16,1,15,0,0,16,0.0,0,0,,
full57,v3,12,0.05,19,19,2026-07-27,2026-08-14,0,0.0,9,0.47368421052631576,3,0.15789473684210525,7,0.3684210526315789,0,0,0,0,0,0,,0,10,0.0,3,3,0,0,0,3,0.0,0,9,0.0,16,7,9,0,0,16,0.0,0,0,,
