cohort,model,id,fit_id,term,issue,target,basis,current,actual,prediction_price,prediction_delta,delta_source,actual_delta,saved_direction,actual_class,sign,numeric_direction,at_010,at_005
matched48,v3,2026-07-27|12|median,,12,2026-07-27,2026-08-26,canonical_calculation,10.48,11.29,10.5009,0.0209,replay_expected_change,0.8100,slightly_rising,up,positive,flat,flat,flat
matched48,v3,2026-07-27|24|median,,24,2026-07-27,2026-08-26,canonical_calculation,9.64,10.0125,9.6252,-0.0148,replay_expected_change,0.3725,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-07-27|6|median,,6,2026-07-27,2026-08-26,canonical_calculation,11.6488,13.795,11.6845,0.0357,replay_expected_change,2.1462,slightly_rising,up,positive,flat,flat,flat
matched48,v3,2026-07-28|12|median,,12,2026-07-28,2026-08-27,canonical_calculation,10.5225,11.2888,10.467,-0.0555,replay_expected_change,0.7663,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-07-28|24|median,,24,2026-07-28,2026-08-27,canonical_calculation,9.7638,10.0125,9.6798,-0.084,replay_expected_change,0.2487,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-07-28|6|median,,6,2026-07-28,2026-08-27,canonical_calculation,11.8096,13.795,11.7135,-0.0961,replay_expected_change,1.9854,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-07-29|12|median,,12,2026-07-29,2026-08-28,canonical_calculation,10.6,11.2,10.5119,-0.0881,replay_expected_change,0.6000,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-07-29|6|median,,6,2026-07-29,2026-08-28,canonical_calculation,11.885,13.785,11.7677,-0.1173,replay_expected_change,1.9000,slightly_falling,up,negative,flat,down,down
matched48,v3,2026-07-30|12|median,,12,2026-07-30,2026-08-29,canonical_calculation,10.66,11.2,10.663,0.003,replay_expected_change,0.5400,slightly_rising,up,positive,flat,flat,flat
matched48,v3,2026-07-30|6|median,,6,2026-07-30,2026-08-29,canonical_calculation,11.975,13.85,11.9736,-0.0014,replay_expected_change,1.8750,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-07-31|12|median,,12,2026-07-31,2026-08-30,canonical_calculation,10.8038,11.2,10.7524,-0.0514,replay_expected_change,0.3962,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-07-31|6|median,,6,2026-07-31,2026-08-30,canonical_calculation,12.0625,13.85,12.0248,-0.0377,replay_expected_change,1.7875,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-01|12|median,,12,2026-08-01,2026-08-31,canonical_calculation,10.8667,11.2,10.852,-0.0147,replay_expected_change,0.3333,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-05|12|median,,12,2026-08-05,2026-09-04,canonical_calculation,10.99,11.3284,10.9614,-0.0286,replay_expected_change,0.3384,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-05|6|median,,6,2026-08-05,2026-09-04,canonical_calculation,12.64,14.0342,12.6123,-0.0277,replay_expected_change,1.3942,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-06|12|median,,12,2026-08-06,2026-09-05,canonical_calculation,11.16,11.3284,11.0325,-0.1275,replay_expected_change,0.1684,slightly_falling,up,negative,flat,down,down
matched48,v3,2026-08-06|6|median,,6,2026-08-06,2026-09-05,canonical_calculation,12.64,14.0342,12.5355,-0.1045,replay_expected_change,1.3942,slightly_falling,up,negative,flat,down,down
matched48,v3,2026-08-07|6|median,,6,2026-08-07,2026-09-06,canonical_calculation,12.64,14.0342,12.5613,-0.0787,replay_expected_change,1.3942,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-08-10|12|median,,12,2026-08-10,2026-09-09,canonical_calculation,11.33,11.49,11.2645,-0.0655,replay_expected_change,0.1600,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-08-10|24|median,,24,2026-08-10,2026-09-09,canonical_calculation,10,10.18,9.9843,-0.0157,replay_expected_change,0.1800,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-10|6|median,,6,2026-08-10,2026-09-09,canonical_calculation,13.195,14.465,13.0546,-0.1404,replay_expected_change,1.2700,slightly_falling,up,negative,flat,down,down
matched48,v3,2026-08-11|12|median,,12,2026-08-11,2026-09-10,canonical_calculation,11.32,11.85,11.3094,-0.0106,replay_expected_change,0.5300,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-11|24|median,,24,2026-08-11,2026-09-10,canonical_calculation,10,10.2,10.0105,0.0105,replay_expected_change,0.2000,slightly_rising,up,positive,flat,flat,flat
matched48,v3,2026-08-11|6|median,,6,2026-08-11,2026-09-10,canonical_calculation,13.25,14.43,13.1783,-0.0717,replay_expected_change,1.1800,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-08-12|12|median,,12,2026-08-12,2026-09-11,canonical_calculation,11.32,11.8,11.2989,-0.0211,replay_expected_change,0.4800,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-12|24|median,,24,2026-08-12,2026-09-11,canonical_calculation,10,10.35,10.0014,0.0014,replay_expected_change,0.3500,slightly_rising,up,positive,flat,flat,flat
matched48,v3,2026-08-12|6|median,,6,2026-08-12,2026-09-11,canonical_calculation,13.25,14.465,13.1741,-0.0759,replay_expected_change,1.2150,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-08-13|12|median,,12,2026-08-13,2026-09-12,canonical_calculation,11.32,11.9409,11.3099,-0.0101,replay_expected_change,0.6209,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-13|24|median,,24,2026-08-13,2026-09-12,canonical_calculation,10,10.56,10.0077,0.0077,replay_expected_change,0.5600,slightly_rising,up,positive,flat,flat,flat
matched48,v3,2026-08-13|6|median,,6,2026-08-13,2026-09-12,canonical_calculation,13.25,14.5294,13.2018,-0.0482,replay_expected_change,1.2794,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-14|12|median,,12,2026-08-14,2026-09-13,canonical_calculation,11.32,11.9409,11.269,-0.051,replay_expected_change,0.6209,slightly_falling,up,negative,flat,flat,down
matched48,v3,2026-08-14|24|median,,24,2026-08-14,2026-09-13,canonical_calculation,10,10.56,9.9738,-0.0262,replay_expected_change,0.5600,slightly_falling,up,negative,flat,flat,flat
matched48,v3,2026-08-14|6|median,,6,2026-08-14,2026-09-13,canonical_calculation,13.25,14.5294,13.1624,-0.0876,replay_expected_change,1.2794,slightly_falling,up,negative,flat,flat,down
