cohort,model,id,rounding_difference,saved_category,numeric_category,disagreement
full57,v3,2026-07-27|12|median,0.0000,flat,flat,False
full57,v3,2026-07-27|24|median,0.0000,flat,flat,False
full57,v3,2026-07-27|6|median,0.0000,flat,flat,False
full57,v3,2026-07-28|12|median,0.0000,flat,flat,False
full57,v3,2026-07-28|24|median,0.0000,flat,flat,False
full57,v3,2026-07-28|6|median,0.0000,flat,flat,False
full57,v3,2026-07-29|12|median,0.0000,flat,flat,False
full57,v3,2026-07-29|24|median,0.000,flat,flat,False
full57,v3,2026-07-29|6|median,0.0000,flat,flat,False
full57,v3,2026-07-30|12|median,0.000,flat,flat,False
full57,v3,2026-07-30|24|median,0.0000,flat,flat,False
full57,v3,2026-07-30|6|median,0.0000,flat,flat,False
full57,v3,2026-07-31|12|median,0.0000,flat,flat,False
full57,v3,2026-07-31|24|median,0.0000,flat,flat,False
full57,v3,2026-07-31|6|median,0.0000,flat,flat,False
full57,v3,2026-08-01|12|median,0.0000,flat,flat,False
full57,v3,2026-08-01|24|median,0.0000,flat,flat,False
full57,v3,2026-08-01|6|median,0.0000,up,up,False
full57,v3,2026-08-02|12|median,0.0000,flat,flat,False
full57,v3,2026-08-02|24|median,0.0000,flat,flat,False
full57,v3,2026-08-02|6|median,0.0000,up,up,False
full57,v3,2026-08-03|12|median,0.0000,flat,flat,False
full57,v3,2026-08-03|24|median,0.000,flat,flat,False
full57,v3,2026-08-03|6|median,0.0000,up,up,False
full57,v3,2026-08-04|12|median,0.0000,flat,flat,False
full57,v3,2026-08-04|24|median,0.0000,flat,flat,False
full57,v3,2026-08-04|6|median,0.0000,flat,flat,False
full57,v3,2026-08-05|12|median,0.0000,flat,flat,False
full57,v3,2026-08-05|24|median,0.0000,flat,flat,False
full57,v3,2026-08-05|6|median,0.0000,flat,flat,False
full57,v3,2026-08-06|12|median,0.0000,flat,flat,False
full57,v3,2026-08-06|24|median,0.0000,flat,flat,False
full57,v3,2026-08-06|6|median,0.0000,flat,flat,False
full57,v3,2026-08-07|12|median,0.0000,flat,flat,False
full57,v3,2026-08-07|24|median,0.000,flat,flat,False
full57,v3,2026-08-07|6|median,0.0000,flat,flat,False
full57,v3,2026-08-08|12|median,0.0000,flat,flat,False
full57,v3,2026-08-08|24|median,0.0000,flat,flat,False
full57,v3,2026-08-08|6|median,0.0000,down,down,False
full57,v3,2026-08-09|12|median,0.0000,flat,flat,False
full57,v3,2026-08-09|24|median,0.0000,flat,flat,False
full57,v3,2026-08-09|6|median,0.0000,down,down,False
full57,v3,2026-08-10|12|median,0.0000,flat,flat,False
full57,v3,2026-08-10|24|median,0.0000,flat,flat,False
full57,v3,2026-08-10|6|median,0.0000,flat,flat,False
full57,v3,2026-08-11|12|median,0.0000,flat,flat,False
full57,v3,2026-08-11|24|median,0.0000,flat,flat,False
full57,v3,2026-08-11|6|median,0.0000,flat,flat,False
full57,v3,2026-08-12|12|median,0.0000,flat,flat,False
full57,v3,2026-08-12|24|median,0.0000,flat,flat,False
full57,v3,2026-08-12|6|median,0.0000,flat,flat,False
full57,v3,2026-08-13|12|median,0.0000,flat,flat,False
full57,v3,2026-08-13|24|median,0.0000,flat,flat,False
full57,v3,2026-08-13|6|median,0.0000,flat,flat,False
full57,v3,2026-08-14|12|median,0.000,flat,flat,False
full57,v3,2026-08-14|24|median,0.0000,flat,flat,False
full57,v3,2026-08-14|6|median,0.0000,flat,flat,False
matched48,v2,2026-07-27|12|median,0.0000,flat,flat,False
matched48,v2,2026-07-27|24|median,0.0000,flat,flat,False
matched48,v2,2026-07-27|6|median,0.0000,flat,flat,False
matched48,v2,2026-07-28|12|median,0.0000,flat,flat,False
matched48,v2,2026-07-28|24|median,0.0000,flat,flat,False
matched48,v2,2026-07-28|6|median,0.0000,flat,flat,False
matched48,v2,2026-07-29|12|median,0.0000,flat,flat,False
matched48,v2,2026-07-29|24|median,0.0000,flat,flat,False
matched48,v2,2026-07-29|6|median,0.0000,flat,flat,False
matched48,v2,2026-07-30|12|median,0.0000,flat,flat,False
matched48,v2,2026-07-30|24|median,0.0000,flat,flat,False
matched48,v2,2026-07-30|6|median,0.0000,flat,flat,False
matched48,v2,2026-07-31|12|median,0.0000,flat,flat,False
matched48,v2,2026-07-31|24|median,0.0000,flat,flat,False
matched48,v2,2026-07-31|6|median,0.0000,flat,flat,False
matched48,v2,2026-08-01|12|median,0.0000,flat,flat,False
matched48,v2,2026-08-01|24|median,0.0000,flat,flat,False
matched48,v2,2026-08-01|6|median,0.0000,up,up,False
matched48,v2,2026-08-05|12|median,0.0000,flat,flat,False
matched48,v2,2026-08-05|24|median,0.0000,flat,flat,False
matched48,v2,2026-08-05|6|median,0.0000,up,up,False
matched48,v2,2026-08-06|12|median,0.0000,down,down,False
matched48,v2,2026-08-06|24|median,0.0000,flat,flat,False
matched48,v2,2026-08-06|6|median,0.0000,flat,flat,False
matched48,v2,2026-08-07|12|median,0.0000,down,down,False
matched48,v2,2026-08-07|24|median,0.0000,flat,flat,False
matched48,v2,2026-08-07|6|median,0.0000,flat,flat,False
matched48,v2,2026-08-08|12|median,0.0000,down,down,False
matched48,v2,2026-08-08|24|median,0.0000,flat,flat,False
matched48,v2,2026-08-08|6|median,0.0000,flat,flat,False
