cohort,model,id,fit_id,term,issue,target,basis,current,actual,prediction_price,prediction_delta,delta_source,actual_delta,saved_direction,actual_class
full57,unchanged,2026-07-27|12|median,,12,2026-07-27,2026-08-26,canonical_calculation,10.48,11.29,10.48,0,zero,0.8100,stable,up
full57,unchanged,2026-07-27|24|median,,24,2026-07-27,2026-08-26,canonical_calculation,9.64,10.0125,9.64,0,zero,0.3725,stable,up
full57,unchanged,2026-07-27|6|median,,6,2026-07-27,2026-08-26,canonical_calculation,11.6488,13.795,11.6488,0,zero,2.1462,stable,up
full57,unchanged,2026-07-28|12|median,,12,2026-07-28,2026-08-27,canonical_calculation,10.5225,11.2888,10.5225,0,zero,0.7663,stable,up
full57,unchanged,2026-07-28|24|median,,24,2026-07-28,2026-08-27,canonical_calculation,9.7638,10.0125,9.7638,0,zero,0.2487,stable,up
full57,unchanged,2026-07-28|6|median,,6,2026-07-28,2026-08-27,canonical_calculation,11.8096,13.795,11.8096,0,zero,1.9854,stable,up
full57,unchanged,2026-07-29|12|median,,12,2026-07-29,2026-08-28,canonical_calculation,10.6,11.2,10.6,0,zero,0.6000,stable,up
full57,unchanged,2026-07-29|24|median,,24,2026-07-29,2026-08-28,canonical_calculation,9.88,10.0125,9.88,0,zero,0.1325,stable,flat
full57,unchanged,2026-07-29|6|median,,6,2026-07-29,2026-08-28,canonical_calculation,11.885,13.785,11.885,0,zero,1.9000,stable,up
full57,unchanged,2026-07-30|12|median,,12,2026-07-30,2026-08-29,canonical_calculation,10.66,11.2,10.66,0,zero,0.5400,stable,up
full57,unchanged,2026-07-30|24|median,,24,2026-07-30,2026-08-29,canonical_calculation,9.8694,10.0125,9.8694,0,zero,0.1431,stable,flat
full57,unchanged,2026-07-30|6|median,,6,2026-07-30,2026-08-29,canonical_calculation,11.975,13.85,11.975,0,zero,1.8750,stable,up
full57,unchanged,2026-07-31|12|median,,12,2026-07-31,2026-08-30,canonical_calculation,10.8038,11.2,10.8038,0,zero,0.3962,stable,up
full57,unchanged,2026-07-31|24|median,,24,2026-07-31,2026-08-30,canonical_calculation,9.88,10.0125,9.88,0,zero,0.1325,stable,flat
full57,unchanged,2026-07-31|6|median,,6,2026-07-31,2026-08-30,canonical_calculation,12.0625,13.85,12.0625,0,zero,1.7875,stable,up
full57,unchanged,2026-08-01|12|median,,12,2026-08-01,2026-08-31,canonical_calculation,10.8667,11.2,10.8667,0,zero,0.3333,stable,up
full57,unchanged,2026-08-01|24|median,,24,2026-08-01,2026-08-31,canonical_calculation,9.8694,10.0125,9.8694,0,zero,0.1431,stable,flat
full57,unchanged,2026-08-01|6|median,,6,2026-08-01,2026-08-31,canonical_calculation,12.1646,13.85,12.1646,0,zero,1.6854,stable,up
full57,unchanged,2026-08-02|12|median,,12,2026-08-02,2026-09-01,canonical_calculation,10.8667,11.2,10.8667,0,zero,0.3333,stable,up
full57,unchanged,2026-08-02|24|median,,24,2026-08-02,2026-09-01,canonical_calculation,9.8482,10,9.8482,0,zero,0.1518,stable,up
full57,unchanged,2026-08-02|6|median,,6,2026-08-02,2026-09-01,canonical_calculation,12.1646,13.82,12.1646,0,zero,1.6554,stable,up
full57,unchanged,2026-08-03|12|median,,12,2026-08-03,2026-09-02,canonical_calculation,10.99,11.2,10.99,0,zero,0.2100,stable,up
full57,unchanged,2026-08-03|24|median,,24,2026-08-03,2026-09-02,canonical_calculation,9.88,10,9.88,0,zero,0.1200,stable,flat
full57,unchanged,2026-08-03|6|median,,6,2026-08-03,2026-09-02,canonical_calculation,12.1375,13.82,12.1375,0,zero,1.6825,stable,up
full57,unchanged,2026-08-04|12|median,,12,2026-08-04,2026-09-03,canonical_calculation,10.99,11.2875,10.99,0,zero,0.2975,stable,up
full57,unchanged,2026-08-04|24|median,,24,2026-08-04,2026-09-03,canonical_calculation,9.8588,10.0325,9.8588,0,zero,0.1737,stable,up
full57,unchanged,2026-08-04|6|median,,6,2026-08-04,2026-09-03,canonical_calculation,12.1646,13.975,12.1646,0,zero,1.8104,stable,up
full57,unchanged,2026-08-05|12|median,,12,2026-08-05,2026-09-04,canonical_calculation,10.99,11.3284,10.99,0,zero,0.3384,stable,up
full57,unchanged,2026-08-05|24|median,,24,2026-08-05,2026-09-04,canonical_calculation,9.99,10.0392,9.99,0,zero,0.0492,stable,flat
full57,unchanged,2026-08-05|6|median,,6,2026-08-05,2026-09-04,canonical_calculation,12.64,14.0342,12.64,0,zero,1.3942,stable,up
full57,unchanged,2026-08-06|12|median,,12,2026-08-06,2026-09-05,canonical_calculation,11.16,11.3284,11.16,0,zero,0.1684,stable,up
full57,unchanged,2026-08-06|24|median,,24,2026-08-06,2026-09-05,canonical_calculation,10.0163,10.0325,10.0163,0,zero,0.0162,stable,flat
full57,unchanged,2026-08-06|6|median,,6,2026-08-06,2026-09-05,canonical_calculation,12.64,14.0342,12.64,0,zero,1.3942,stable,up
full57,unchanged,2026-08-07|12|median,,12,2026-08-07,2026-09-06,canonical_calculation,11.33,11.3284,11.33,0,zero,-0.0016,stable,flat
full57,unchanged,2026-08-07|24|median,,24,2026-08-07,2026-09-06,canonical_calculation,10,10.0325,10,0,zero,0.0325,stable,flat
full57,unchanged,2026-08-07|6|median,,6,2026-08-07,2026-09-06,canonical_calculation,12.64,14.0342,12.64,0,zero,1.3942,stable,up
full57,unchanged,2026-08-08|12|median,,12,2026-08-08,2026-09-07,canonical_calculation,11.33,11.3284,11.33,0,zero,-0.0016,stable,flat
full57,unchanged,2026-08-08|24|median,,24,2026-08-08,2026-09-07,canonical_calculation,10,10.0392,10,0,zero,0.0392,stable,flat
full57,unchanged,2026-08-08|6|median,,6,2026-08-08,2026-09-07,canonical_calculation,13.195,14.0342,13.195,0,zero,0.8392,stable,up
full57,unchanged,2026-08-09|12|median,,12,2026-08-09,2026-09-08,canonical_calculation,11.33,11.4,11.33,0,zero,0.0700,stable,flat
full57,unchanged,2026-08-09|24|median,,24,2026-08-09,2026-09-08,canonical_calculation,10,10.1219,10,0,zero,0.1219,stable,flat
full57,unchanged,2026-08-09|6|median,,6,2026-08-09,2026-09-08,canonical_calculation,13.195,14.465,13.195,0,zero,1.2700,stable,up
full57,unchanged,2026-08-10|12|median,,12,2026-08-10,2026-09-09,canonical_calculation,11.33,11.49,11.33,0,zero,0.1600,stable,up
full57,unchanged,2026-08-10|24|median,,24,2026-08-10,2026-09-09,canonical_calculation,10,10.18,10,0,zero,0.1800,stable,up
full57,unchanged,2026-08-10|6|median,,6,2026-08-10,2026-09-09,canonical_calculation,13.195,14.465,13.195,0,zero,1.2700,stable,up
full57,unchanged,2026-08-11|12|median,,12,2026-08-11,2026-09-10,canonical_calculation,11.32,11.85,11.32,0,zero,0.5300,stable,up
full57,unchanged,2026-08-11|24|median,,24,2026-08-11,2026-09-10,canonical_calculation,10,10.2,10,0,zero,0.2000,stable,up
full57,unchanged,2026-08-11|6|median,,6,2026-08-11,2026-09-10,canonical_calculation,13.25,14.43,13.25,0,zero,1.1800,stable,up
full57,unchanged,2026-08-12|12|median,,12,2026-08-12,2026-09-11,canonical_calculation,11.32,11.8,11.32,0,zero,0.4800,stable,up
full57,unchanged,2026-08-12|24|median,,24,2026-08-12,2026-09-11,canonical_calculation,10,10.35,10,0,zero,0.3500,stable,up
full57,unchanged,2026-08-12|6|median,,6,2026-08-12,2026-09-11,canonical_calculation,13.25,14.465,13.25,0,zero,1.2150,stable,up
full57,unchanged,2026-08-13|12|median,,12,2026-08-13,2026-09-12,canonical_calculation,11.32,11.9409,11.32,0,zero,0.6209,stable,up
full57,unchanged,2026-08-13|24|median,,24,2026-08-13,2026-09-12,canonical_calculation,10,10.56,10,0,zero,0.5600,stable,up
