cohort,model,term,threshold,n,rescued_misses,new_false_moves,new_wrong_ways,correct_lost,correct__correct,correct__missed_move,correct__false_move,correct__wrong_way,missed_move__correct,missed_move__missed_move,missed_move__false_move,missed_move__wrong_way,false_move__correct,false_move__missed_move,false_move__false_move,false_move__wrong_way,wrong_way__correct,wrong_way__missed_move,wrong_way__false_move,wrong_way__wrong_way,prediction_down__down,prediction_down__flat,prediction_down__up,prediction_flat__down,prediction_flat__flat,prediction_flat__up,prediction_up__down,prediction_up__flat,prediction_up__up
full57,unchanged,12,0.10,19,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
full57,unchanged,12,0.05,19,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
full57,unchanged,24,0.10,19,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
full57,unchanged,24,0.05,19,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
full57,unchanged,6,0.10,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
full57,unchanged,6,0.05,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
full57,unchanged,all,0.10,57,0,0,0,0,13,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0
full57,unchanged,all,0.05,57,0,0,0,0,13,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0
full57,v3,12,0.10,19,0,2,1,2,1,0,2,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
full57,v3,12,0.05,19,0,3,7,3,0,0,3,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0
full57,v3,24,0.10,19,0,1,0,1,9,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
full57,v3,24,0.05,19,0,2,1,2,8,0,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
full57,v3,6,0.10,19,0,0,3,0,3,0,0,0,0,11,0,3,0,0,0,0,0,0,0,2,2,0,0,3,11,0,0,0,3
full57,v3,6,0.05,19,1,0,8,0,3,0,0,0,1,5,0,8,0,0,0,0,0,0,0,2,2,0,0,8,5,1,0,0,3
full57,v3,all,0.10,57,0,3,4,3,13,0,3,0,0,35,0,4,0,0,0,0,0,0,0,2,2,0,0,7,45,0,0,0,3
full57,v3,all,0.05,57,1,5,16,5,11,0,5,0,1,22,0,16,0,0,0,0,0,0,0,2,2,0,0,21,30,1,0,0,3
matched48,unchanged,12,0.10,16,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
matched48,unchanged,12,0.05,16,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
matched48,unchanged,24,0.10,16,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
matched48,unchanged,24,0.05,16,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
matched48,unchanged,6,0.10,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
matched48,unchanged,6,0.05,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
matched48,unchanged,all,0.10,48,0,0,0,0,12,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
matched48,unchanged,all,0.05,48,0,0,0,0,12,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
matched48,v2,12,0.10,16,0,0,1,0,0,0,0,0,0,6,0,1,0,0,3,0,0,0,0,6,9,0,0,1,6,0,0,0,0
matched48,v2,12,0.05,16,0,0,5,0,0,0,0,0,0,2,0,5,0,0,3,0,0,0,0,6,9,0,0,5,2,0,0,0,0
matched48,v2,24,0.10,16,0,6,2,6,3,0,6,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
matched48,v2,24,0.05,16,0,8,6,8,1,0,8,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0
matched48,v2,6,0.10,16,0,0,5,0,2,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,2
matched48,v2,6,0.05,16,2,0,10,0,2,0,0,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,0,2
matched48,v2,all,0.10,48,0,6,8,6,5,0,6,0,0,20,0,8,0,0,3,0,0,0,0,6,9,0,0,14,23,0,0,0,2
matched48,v2,all,0.05,48,2,8,21,8,3,0,8,0,2,5,0,21,0,0,3,0,0,0,0,6,9,0,0,29,6,2,0,0,2
matched48,v3,12,0.10,16,0,2,1,2,1,0,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
matched48,v3,12,0.05,16,0,3,6,3,0,0,3,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0
matched48,v3,24,0.10,16,0,1,0,1,8,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
matched48,v3,24,0.05,16,0,2,1,2,7,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
matched48,v3,6,0.10,16,0,0,3,0,1,0,0,0,0,10,0,3,0,0,0,0,0,0,0,2,2,0,0,3,10,0,0,0,1
matched48,v3,6,0.05,16,0,0,8,0,1,0,0,0,0,5,0,8,0,0,0,0,0,0,0,2,2,0,0,8,5,0,0,0,1
matched48,v3,all,0.10,48,0,3,4,3,10,0,3,0,0,29,0,4,0,0,0,0,0,0,0,2,2,0,0,7,38,0,0,0,1
matched48,v3,all,0.05,48,0,5,15,5,8,0,5,0,0,18,0,15,0,0,0,0,0,0,0,2,2,0,0,20,25,0,0,0,1
older57,always_down,12,0.10,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,19,0,0,0,0,0,0,0,0
older57,always_down,12,0.05,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,19,0,0,0,0,0,0,0,0
older57,always_down,24,0.10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,19,0,0,0,0,0,0,0,0
older57,always_down,24,0.05,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,19,0,0,0,0,0,0,0,0
older57,always_down,6,0.10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0
older57,always_down,6,0.05,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0
older57,always_down,all,0.10,57,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,39,57,0,0,0,0,0,0,0,0
older57,always_down,all,0.05,57,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,39,57,0,0,0,0,0,0,0,0
older57,always_up,12,0.10,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,19
older57,always_up,12,0.05,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,19
older57,always_up,24,0.10,19,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19
older57,always_up,24,0.05,19,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19
older57,always_up,6,0.10,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
older57,always_up,6,0.05,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
older57,always_up,all,0.10,57,0,0,0,0,39,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,57
older57,always_up,all,0.05,57,0,0,0,0,39,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,57
