basis,support,lag,term,calendar_rows,current_retail_rows,eligible_all_dates,exact_mature_pairs,missing_current_H,history_warmup,missing_current_H_all_dates,history_warmup_all_dates,native_mature_eligible,intersection_rows
observed_seller_data,native,0,6,159,110,99,80,1,10,1,10,69,39
observed_seller_data,native,0,12,159,110,99,80,1,10,1,10,69,39
observed_seller_data,native,0,24,159,110,99,80,1,10,1,10,69,39
observed_seller_data,native,0,all,477,330,297,240,3,30,3,30,207,117
observed_seller_data,native,7,6,159,110,92,80,8,10,8,10,62,39
observed_seller_data,native,7,12,159,110,92,80,8,10,8,10,62,39
observed_seller_data,native,7,24,159,110,92,80,8,10,8,10,62,39
observed_seller_data,native,7,all,477,330,276,240,24,30,24,30,186,117
observed_seller_data,native,14,6,159,110,85,80,15,10,15,10,55,39
observed_seller_data,native,14,12,159,110,85,80,15,10,15,10,55,39
observed_seller_data,native,14,24,159,110,85,80,15,10,15,10,55,39
observed_seller_data,native,14,all,477,330,255,240,45,30,45,30,165,117
observed_seller_data,native,21,6,159,110,78,80,22,10,22,10,48,39
observed_seller_data,native,21,12,159,110,78,80,22,10,22,10,48,39
observed_seller_data,native,21,24,159,110,78,80,22,10,22,10,48,39
observed_seller_data,native,21,all,477,330,234,240,66,30,66,30,144,117
observed_seller_data,native,30,6,159,110,69,80,31,10,31,10,39,39
observed_seller_data,native,30,12,159,110,69,80,31,10,31,10,39,39
observed_seller_data,native,30,24,159,110,69,80,31,10,31,10,39,39
observed_seller_data,native,30,all,477,330,207,240,93,30,93,30,117,117
observed_seller_data,common,0,6,159,110,69,80,1,40,1,40,39,39
observed_seller_data,common,0,12,159,110,69,80,1,40,1,40,39,39
observed_seller_data,common,0,24,159,110,69,80,1,40,1,40,39,39
observed_seller_data,common,0,all,477,330,207,240,3,120,3,120,117,117
observed_seller_data,common,7,6,159,110,69,80,8,33,8,33,39,39
observed_seller_data,common,7,12,159,110,69,80,8,33,8,33,39,39
observed_seller_data,common,7,24,159,110,69,80,8,33,8,33,39,39
observed_seller_data,common,7,all,477,330,207,240,24,99,24,99,117,117
observed_seller_data,common,14,6,159,110,69,80,15,26,15,26,39,39
observed_seller_data,common,14,12,159,110,69,80,15,26,15,26,39,39
observed_seller_data,common,14,24,159,110,69,80,15,26,15,26,39,39
observed_seller_data,common,14,all,477,330,207,240,45,78,45,78,117,117
observed_seller_data,common,21,6,159,110,69,80,22,19,22,19,39,39
