id,horizon,cohort,protocol,cutoff,scope,term,training_basis,training_rows,training_days,test_rows,available
30|native|transfer|2026-07-27|pooled|all,30,native,transfer,2026-07-27,pooled,all,observed_seller_data,216,72,36,True
30|native|transfer|2026-07-27|per_term|6,30,native,transfer,2026-07-27,per_term,6,observed_seller_data,72,72,12,True
30|native|transfer|2026-07-27|per_term|12,30,native,transfer,2026-07-27,per_term,12,observed_seller_data,72,72,12,True
30|native|transfer|2026-07-27|per_term|24,30,native,transfer,2026-07-27,per_term,24,observed_seller_data,72,72,12,True
30|native|rolling_observed|2026-04-16|pooled|all,30,native,rolling_observed,2026-04-16,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-16|per_term|6,30,native,rolling_observed,2026-04-16,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-16|per_term|12,30,native,rolling_observed,2026-04-16,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-16|per_term|24,30,native,rolling_observed,2026-04-16,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-17|pooled|all,30,native,rolling_observed,2026-04-17,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-17|per_term|6,30,native,rolling_observed,2026-04-17,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-17|per_term|12,30,native,rolling_observed,2026-04-17,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-17|per_term|24,30,native,rolling_observed,2026-04-17,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-18|pooled|all,30,native,rolling_observed,2026-04-18,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-18|per_term|6,30,native,rolling_observed,2026-04-18,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-18|per_term|12,30,native,rolling_observed,2026-04-18,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-18|per_term|24,30,native,rolling_observed,2026-04-18,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-19|pooled|all,30,native,rolling_observed,2026-04-19,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-19|per_term|6,30,native,rolling_observed,2026-04-19,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-19|per_term|12,30,native,rolling_observed,2026-04-19,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-19|per_term|24,30,native,rolling_observed,2026-04-19,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-20|pooled|all,30,native,rolling_observed,2026-04-20,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-20|per_term|6,30,native,rolling_observed,2026-04-20,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-20|per_term|12,30,native,rolling_observed,2026-04-20,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-20|per_term|24,30,native,rolling_observed,2026-04-20,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-21|pooled|all,30,native,rolling_observed,2026-04-21,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-21|per_term|6,30,native,rolling_observed,2026-04-21,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-21|per_term|12,30,native,rolling_observed,2026-04-21,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-21|per_term|24,30,native,rolling_observed,2026-04-21,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-22|pooled|all,30,native,rolling_observed,2026-04-22,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-22|per_term|6,30,native,rolling_observed,2026-04-22,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-22|per_term|12,30,native,rolling_observed,2026-04-22,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-22|per_term|24,30,native,rolling_observed,2026-04-22,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-23|pooled|all,30,native,rolling_observed,2026-04-23,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-23|per_term|6,30,native,rolling_observed,2026-04-23,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-23|per_term|12,30,native,rolling_observed,2026-04-23,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-23|per_term|24,30,native,rolling_observed,2026-04-23,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-24|pooled|all,30,native,rolling_observed,2026-04-24,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-24|per_term|6,30,native,rolling_observed,2026-04-24,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-24|per_term|12,30,native,rolling_observed,2026-04-24,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-24|per_term|24,30,native,rolling_observed,2026-04-24,per_term,24,observed_seller_data,0,0,1,False
