study,cohort,protocol,scope,horizon,quantile,term,model,n,issue_days,first_issue,last_issue,first_target,last_target,mae,rmse,bias,skill,correct,wrong_way,missed_move,false_move,actual_balance,predicted_balance,confusion,precision,recall,raw_saved_class_disagreements,mae_minus
A,basket,rolling_observed,per_term,14,median,12,always_down,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,15,31,0,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 54, ""flat"": 0, ""up"": 0}","{""down"": {""down"": 15, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 8, ""flat"": 0, ""up"": 0}, ""up"": {""down"": 31, ""flat"": 0, ""up"": 0}}","{""down"": 0.2777777777777778, ""flat"": null, ""up"": null}","{""down"": 1.0, ""flat"": 0.0, ""up"": 0.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,12,always_up,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,31,15,0,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 15}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 31}}","{""down"": null, ""flat"": null, ""up"": 0.5740740740740741}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,12,basket,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3110472526646688,0.33659602048425447,0.01074337521716705,0.00680292557226303,14,14,18,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 18, ""up"": 36}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 14}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""up"": {""down"": 0, ""flat"": 17, ""up"": 14}}","{""down"": null, ""flat"": 0.0, ""up"": 0.3888888888888889}","{""down"": 0.0, ""flat"": 0.0, ""up"": 0.45161290322580644}",0,"{""history"": -0.012328368131259704, ""intercept"": -0.007559631835531988, ""unchanged"": -0.002130525113108961}"
A,basket,rolling_observed,per_term,14,median,12,history,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3233756207959285,0.35632769361310707,0.011973670389590673,-0.03256247327160877,6,14,27,7,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 28, ""up"": 26}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 14}, ""flat"": {""down"": 0, ""flat"": 1, ""up"": 7}, ""up"": {""down"": 0, ""flat"": 26, ""up"": 5}}","{""down"": null, ""flat"": 0.03571428571428571, ""up"": 0.19230769230769232}","{""down"": 0.0, ""flat"": 0.125, ""up"": 0.16129032258064516}",0,"{""history"": 0.0, ""intercept"": 0.004768736295727716, ""unchanged"": 0.010197843018150743}"
A,basket,rolling_observed,per_term,14,median,12,intercept,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3186068845002008,0.35259400364511523,0.005746761214219561,-0.017335542645926072,2,15,29,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 15}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""up"": {""down"": 0, ""flat"": 29, ""up"": 2}}","{""down"": null, ""flat"": 0.0, ""up"": 0.08}","{""down"": 0.0, ""flat"": 0.0, ""up"": 0.06451612903225806}",0,"{""history"": -0.004768736295727716, ""intercept"": 0.0, ""unchanged"": 0.005429106722423027}"
A,basket,rolling_observed,per_term,14,median,12,rolling,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.30542070416391137,0.3313687532813018,0.012036866071110196,0.024768914540835074,13,13,20,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 20, ""up"": 34}","{""down"": {""down"": 0, ""flat"": 2, ""up"": 13}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""up"": {""down"": 0, ""flat"": 18, ""up"": 13}}","{""down"": null, ""flat"": 0.0, ""up"": 0.38235294117647056}","{""down"": 0.0, ""flat"": 0.0, ""up"": 0.41935483870967744}",0,"{""history"": -0.01795491663201715, ""intercept"": -0.013186180336289433, ""unchanged"": -0.007757073613866405}"
A,basket,rolling_observed,per_term,14,median,12,unchanged,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3131777777777778,0.34139818231632235,-0.13776666666666668,0.0,8,0,46,0,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 54, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 15, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 8, ""up"": 0}, ""up"": {""down"": 0, ""flat"": 31, ""up"": 0}}","{""down"": null, ""flat"": 0.14814814814814814, ""up"": null}","{""down"": 0.0, ""flat"": 1.0, ""up"": 0.0}",0,"{""history"": -0.010197843018150743, ""intercept"": -0.005429106722423027, ""unchanged"": 0.0}"
A,basket,rolling_observed,per_term,14,median,24,always_down,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,0,25,0,29,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 54, ""flat"": 0, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 29, ""flat"": 0, ""up"": 0}, ""up"": {""down"": 25, ""flat"": 0, ""up"": 0}}","{""down"": 0.0, ""flat"": null, ""up"": null}","{""down"": null, ""flat"": 0.0, ""up"": 0.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,24,always_up,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,25,0,0,29,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 29}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 25}}","{""down"": null, ""flat"": null, ""up"": 0.46296296296296297}","{""down"": null, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,24,basket,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.17278825842586246,0.21384733625233907,-0.026888669431353877,0.057166218182899464,29,0,24,1,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 0, ""flat"": 52, ""up"": 2}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 28, ""up"": 1}, ""up"": {""down"": 0, ""flat"": 24, ""up"": 1}}","{""down"": null, ""flat"": 0.5384615384615384, ""up"": 0.5}","{""down"": null, ""flat"": 0.9655172413793104, ""up"": 0.04}",0,"{""history"": -0.007699134869849689, ""intercept"": -0.009219314570102, ""unchanged"": -0.010476556388952368}"
