study,cohort,protocol,scope,horizon,quantile,term,model,control,issue,n,error_difference
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-20,1,-0.006203859719934646
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-21,1,-0.009105345987894142
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-22,1,-0.05397832057155444
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-23,1,-0.042551684594437034
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-24,1,-0.04896454300333658
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-25,1,-0.04799720522869794
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-26,1,-0.026128724739239828
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-27,1,-0.08757078933398221
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-28,1,-0.030730766320951952
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-29,1,-0.05043266630979698
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-30,1,-0.1110002228213885
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-05-31,1,-0.11482690532027129
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-01,1,-0.11806696569306277
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-02,1,-0.22768177859106675
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-03,1,-0.045806887122309375
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-04,1,0.24500753257605912
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-05,1,0.17667532352911947
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-06,1,0.1420804579953031
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-07,1,0.15547477186070213
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-08,1,0.16915450102399804
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-09,1,0.15083106028380444
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-10,1,0.15762419021429575
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-11,1,0.15080204173171957
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-12,1,0.17137422257961066
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-13,1,0.16477582757179543
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-14,1,0.1654213911030178
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-15,1,0.16603790578323585
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-16,1,0.15615492901301686
A,basket,rolling_observed,per_term,14,median,12,basket,unchanged,2026-06-17,1,0.17307316581960042
