id,basis,term,issue,lag,current_id,lag_id,current,prior,p20_change,median_change,p80_change,spread,rolling_change,basket_change,current_H,lag_H,fixed_lag_H,trade,lag_trade,fixed_lag_trade,horizon,target,target_id,actual,delta,pair_id
observed_seller_data|6|2026-04-16,observed_seller_data,6,2026-04-16,2026-04-09,17083,16684,"{""median"": 7.74, ""p20"": 7.414, ""p80"": 8.3245}","{""median"": 7.93, ""p20"": 7.544, ""p80"": 8.512}",-0.13,-0.19,-0.1875,0.326,-0.29620728260869544,-0.29620728260869544,5.3783638858695655,5.674571168478261,5.674571168478261,2026-04-15,2026-04-08,2026-04-08,30,2026-05-16,18820,"{""median"": 8.6392, ""p20"": 7.7, ""p80"": 9.04}","{""median"": 0.8992, ""p20"": 0.286, ""p80"": 0.7155}",observed_seller_data|6|2026-04-16|30
observed_seller_data|6|2026-04-16,observed_seller_data,6,2026-04-16,2026-04-09,17083,16684,"{""median"": 7.74, ""p20"": 7.414, ""p80"": 8.3245}","{""median"": 7.93, ""p20"": 7.544, ""p80"": 8.512}",-0.13,-0.19,-0.1875,0.326,-0.29620728260869544,-0.29620728260869544,5.3783638858695655,5.674571168478261,5.674571168478261,2026-04-15,2026-04-08,2026-04-08,14,2026-04-30,17881,"{""median"": 7.69, ""p20"": 7.33, ""p80"": 8.2288}","{""median"": -0.05, ""p20"": -0.084, ""p80"": -0.0957}",observed_seller_data|6|2026-04-16|14
observed_seller_data|12|2026-04-16,observed_seller_data,12,2026-04-16,2026-04-09,17110,16701,"{""median"": 9.3633, ""p20"": 8.787, ""p80"": 9.7995}","{""median"": 9.2475, ""p20"": 8.6245, ""p80"": 9.894}",0.1625,0.1158,-0.0945,0.5763,-0.24655420547945006,-0.24655420547945006,6.761455191780822,7.008009397260272,7.008009397260272,2026-04-15,2026-04-08,2026-04-08,30,2026-05-16,18793,"{""median"": 9.57, ""p20"": 9.1, ""p80"": 9.96}","{""median"": 0.2067, ""p20"": 0.313, ""p80"": 0.1605}",observed_seller_data|12|2026-04-16|30
observed_seller_data|12|2026-04-16,observed_seller_data,12,2026-04-16,2026-04-09,17110,16701,"{""median"": 9.3633, ""p20"": 8.787, ""p80"": 9.7995}","{""median"": 9.2475, ""p20"": 8.6245, ""p80"": 9.894}",0.1625,0.1158,-0.0945,0.5763,-0.24655420547945006,-0.24655420547945006,6.761455191780822,7.008009397260272,7.008009397260272,2026-04-15,2026-04-08,2026-04-08,14,2026-04-30,17903,"{""median"": 9.3, ""p20"": 8.92, ""p80"": 9.5843}","{""median"": -0.0633, ""p20"": 0.133, ""p80"": -0.2152}",observed_seller_data|12|2026-04-16|14
observed_seller_data|24|2026-04-16,observed_seller_data,24,2026-04-16,2026-04-09,17100,16706,"{""median"": 8.65, ""p20"": 8.154, ""p80"": 9.0888}","{""median"": 8.6563, ""p20"": 8.0055, ""p80"": 9.3375}",0.1485,-0.0063,-0.2487,0.496,-0.1697117099863199,-0.1697117099863199,6.144708337893295,6.314420047879615,6.314420047879615,2026-04-15,2026-04-08,2026-04-08,30,2026-05-16,18798,"{""median"": 8.7859, ""p20"": 8.41, ""p80"": 9.1363}","{""median"": 0.1359, ""p20"": 0.256, ""p80"": 0.0475}",observed_seller_data|24|2026-04-16|30
observed_seller_data|24|2026-04-16,observed_seller_data,24,2026-04-16,2026-04-09,17100,16706,"{""median"": 8.65, ""p20"": 8.154, ""p80"": 9.0888}","{""median"": 8.6563, ""p20"": 8.0055, ""p80"": 9.3375}",0.1485,-0.0063,-0.2487,0.496,-0.1697117099863199,-0.1697117099863199,6.144708337893295,6.314420047879615,6.314420047879615,2026-04-15,2026-04-08,2026-04-08,14,2026-04-30,17893,"{""median"": 8.58, ""p20"": 8.28, ""p80"": 8.975}","{""median"": -0.07, ""p20"": 0.126, ""p80"": -0.1138}",observed_seller_data|24|2026-04-16|14
observed_seller_data|6|2026-04-17,observed_seller_data,6,2026-04-17,2026-04-10,17140,16741,"{""median"": 7.715, ""p20"": 7.37, ""p80"": 8.2968}","{""median"": 7.93, ""p20"": 7.544, ""p80"": 8.512}",-0.174,-0.215,-0.2152,0.345,-0.19158529891304266,-0.19158529891304266,5.434354619565217,5.6259399184782595,5.6259399184782595,2026-04-16,2026-04-09,2026-04-09,30,2026-05-17,18877,"{""median"": 8.6392, ""p20"": 7.7, ""p80"": 9.04}","{""median"": 0.9242, ""p20"": 0.33, ""p80"": 0.7432}",observed_seller_data|6|2026-04-17|30
observed_seller_data|6|2026-04-17,observed_seller_data,6,2026-04-17,2026-04-10,17140,16741,"{""median"": 7.715, ""p20"": 7.37, ""p80"": 8.2968}","{""median"": 7.93, ""p20"": 7.544, ""p80"": 8.512}",-0.174,-0.215,-0.2152,0.345,-0.19158529891304266,-0.19158529891304266,5.434354619565217,5.6259399184782595,5.6259399184782595,2026-04-16,2026-04-09,2026-04-09,14,2026-05-01,17938,"{""median"": 7.69, ""p20"": 7.33, ""p80"": 8.2288}","{""median"": -0.025, ""p20"": -0.04, ""p80"": -0.068}",observed_seller_data|6|2026-04-17|14
observed_seller_data|12|2026-04-17,observed_seller_data,12,2026-04-17,2026-04-10,17167,16758,"{""median"": 9.39, ""p20"": 8.9, ""p80"": 9.79}","{""median"": 9.27, ""p20"": 8.784, ""p80"": 9.79}",0.116,0.12,0.0,0.49,-0.2046750273972604,-0.2046750273972604,6.797176273972602,7.001851301369863,7.001851301369863,2026-04-16,2026-04-09,2026-04-09,30,2026-05-17,18850,"{""median"": 9.57, ""p20"": 9.1, ""p80"": 9.96}","{""median"": 0.18, ""p20"": 0.2, ""p80"": 0.17}",observed_seller_data|12|2026-04-17|30
observed_seller_data|12|2026-04-17,observed_seller_data,12,2026-04-17,2026-04-10,17167,16758,"{""median"": 9.39, ""p20"": 8.9, ""p80"": 9.79}","{""median"": 9.27, ""p20"": 8.784, ""p80"": 9.79}",0.116,0.12,0.0,0.49,-0.2046750273972604,-0.2046750273972604,6.797176273972602,7.001851301369863,7.001851301369863,2026-04-16,2026-04-09,2026-04-09,14,2026-05-01,17960,"{""median"": 9.3, ""p20"": 8.92, ""p80"": 9.5843}","{""median"": -0.09, ""p20"": 0.02, ""p80"": -0.2057}",observed_seller_data|12|2026-04-17|14
observed_seller_data|24|2026-04-17,observed_seller_data,24,2026-04-17,2026-04-10,17157,16763,"{""median"": 8.6388, ""p20"": 8.28, ""p80"": 9.1688}","{""median"": 8.6779, ""p20"": 8.152, ""p80"": 9.3238}",0.128,-0.0391,-0.155,0.3588,-0.14549415868673066,-0.14549415868673066,6.150796203830369,6.2962903625171,6.2962903625171,2026-04-16,2026-04-09,2026-04-09,30,2026-05-17,18855,"{""median"": 8.7859, ""p20"": 8.41, ""p80"": 9.1363}","{""median"": 0.1471, ""p20"": 0.13, ""p80"": -0.0325}",observed_seller_data|24|2026-04-17|30
observed_seller_data|24|2026-04-17,observed_seller_data,24,2026-04-17,2026-04-10,17157,16763,"{""median"": 8.6388, ""p20"": 8.28, ""p80"": 9.1688}","{""median"": 8.6779, ""p20"": 8.152, ""p80"": 9.3238}",0.128,-0.0391,-0.155,0.3588,-0.14549415868673066,-0.14549415868673066,6.150796203830369,6.2962903625171,6.2962903625171,2026-04-16,2026-04-09,2026-04-09,14,2026-05-01,17950,"{""median"": 8.58, ""p20"": 8.28, ""p80"": 8.975}","{""median"": -0.0588, ""p20"": 0.0, ""p80"": -0.1938}",observed_seller_data|24|2026-04-17|14
observed_seller_data|6|2026-04-18,observed_seller_data,6,2026-04-18,2026-04-11,17197,16798,"{""median"": 7.715, ""p20"": 7.37, ""p80"": 8.2968}","{""median"": 7.8, ""p20"": 7.486, ""p80"": 8.228}",-0.116,-0.085,0.0688,0.345,-0.17822364130434742,-0.17822364130434742,5.393219266304348,5.571442907608695,5.571442907608695,2026-04-17,2026-04-10,2026-04-10,30,2026-05-18,18929,"{""median"": 8.6725, ""p20"": 8.25, ""p80"": 9.04}","{""median"": 0.9575, ""p20"": 0.88, ""p80"": 0.7432}",observed_seller_data|6|2026-04-18|30
observed_seller_data|6|2026-04-18,observed_seller_data,6,2026-04-18,2026-04-11,17197,16798,"{""median"": 7.715, ""p20"": 7.37, ""p80"": 8.2968}","{""median"": 7.8, ""p20"": 7.486, ""p80"": 8.228}",-0.116,-0.085,0.0688,0.345,-0.17822364130434742,-0.17822364130434742,5.393219266304348,5.571442907608695,5.571442907608695,2026-04-17,2026-04-10,2026-04-10,14,2026-05-02,17995,"{""median"": 7.69, ""p20"": 7.33, ""p80"": 8.2288}","{""median"": -0.025, ""p20"": -0.04, ""p80"": -0.068}",observed_seller_data|6|2026-04-18|14
observed_seller_data|12|2026-04-18,observed_seller_data,12,2026-04-18,2026-04-11,17224,16815,"{""median"": 9.39, ""p20"": 8.9, ""p80"": 9.79}","{""median"": 9.27, ""p20"": 8.784, ""p80"": 9.79}",0.116,0.12,0.0,0.49,-0.18503169863013724,-0.18503169863013724,6.730929465753423,6.91596116438356,6.91596116438356,2026-04-17,2026-04-10,2026-04-10,30,2026-05-18,18907,"{""median"": 9.6, ""p20"": 9.1, ""p80"": 9.96}","{""median"": 0.21, ""p20"": 0.2, ""p80"": 0.17}",observed_seller_data|12|2026-04-18|30
observed_seller_data|12|2026-04-18,observed_seller_data,12,2026-04-18,2026-04-11,17224,16815,"{""median"": 9.39, ""p20"": 8.9, ""p80"": 9.79}","{""median"": 9.27, ""p20"": 8.784, ""p80"": 9.79}",0.116,0.12,0.0,0.49,-0.18503169863013724,-0.18503169863013724,6.730929465753423,6.91596116438356,6.91596116438356,2026-04-17,2026-04-10,2026-04-10,14,2026-05-02,18017,"{""median"": 9.3, ""p20"": 8.92, ""p80"": 9.5843}","{""median"": -0.09, ""p20"": 0.02, ""p80"": -0.2057}",observed_seller_data|12|2026-04-18|14
observed_seller_data|24|2026-04-18,observed_seller_data,24,2026-04-18,2026-04-11,17214,16820,"{""median"": 8.6, ""p20"": 8.282, ""p80"": 9.1288}","{""median"": 8.6779, ""p20"": 8.152, ""p80"": 9.3238}",0.13,-0.0779,-0.195,0.318,-0.12495233242134329,-0.12495233242134329,6.103619534883719,6.228571867305062,6.228571867305062,2026-04-17,2026-04-10,2026-04-10,30,2026-05-18,18912,"{""median"": 8.83, ""p20"": 8.41, ""p80"": 9.1363}","{""median"": 0.23, ""p20"": 0.128, ""p80"": 0.0075}",observed_seller_data|24|2026-04-18|30
observed_seller_data|24|2026-04-18,observed_seller_data,24,2026-04-18,2026-04-11,17214,16820,"{""median"": 8.6, ""p20"": 8.282, ""p80"": 9.1288}","{""median"": 8.6779, ""p20"": 8.152, ""p80"": 9.3238}",0.13,-0.0779,-0.195,0.318,-0.12495233242134329,-0.12495233242134329,6.103619534883719,6.228571867305062,6.228571867305062,2026-04-17,2026-04-10,2026-04-10,14,2026-05-02,18007,"{""median"": 8.58, ""p20"": 8.28, ""p80"": 8.975}","{""median"": -0.02, ""p20"": -0.002, ""p80"": -0.1538}",observed_seller_data|24|2026-04-18|14
observed_seller_data|6|2026-04-19,observed_seller_data,6,2026-04-19,2026-04-12,17254,16855,"{""median"": 7.715, ""p20"": 7.37, ""p80"": 8.2968}","{""median"": 7.8, ""p20"": 7.486, ""p80"": 8.228}",-0.116,-0.085,0.0688,0.345,-0.17822364130434742,-0.17822364130434742,5.393219266304348,5.571442907608695,5.571442907608695,2026-04-17,2026-04-10,2026-04-10,30,2026-05-19,18986,"{""median"": 8.6725, ""p20"": 8.25, ""p80"": 9.59}","{""median"": 0.9575, ""p20"": 0.88, ""p80"": 1.2932}",observed_seller_data|6|2026-04-19|30
observed_seller_data|6|2026-04-19,observed_seller_data,6,2026-04-19,2026-04-12,17254,16855,"{""median"": 7.715, ""p20"": 7.37, ""p80"": 8.2968}","{""median"": 7.8, ""p20"": 7.486, ""p80"": 8.228}",-0.116,-0.085,0.0688,0.345,-0.17822364130434742,-0.17822364130434742,5.393219266304348,5.571442907608695,5.571442907608695,2026-04-17,2026-04-10,2026-04-10,14,2026-05-03,18052,"{""median"": 7.69, ""p20"": 7.33, ""p80"": 8.2288}","{""median"": -0.025, ""p20"": -0.04, ""p80"": -0.068}",observed_seller_data|6|2026-04-19|14
observed_seller_data|12|2026-04-19,observed_seller_data,12,2026-04-19,2026-04-12,17281,16872,"{""median"": 9.39, ""p20"": 8.9, ""p80"": 9.79}","{""median"": 9.27, ""p20"": 8.784, ""p80"": 9.79}",0.116,0.12,0.0,0.49,-0.18503169863013724,-0.18503169863013724,6.730929465753423,6.91596116438356,6.91596116438356,2026-04-17,2026-04-10,2026-04-10,30,2026-05-19,18964,"{""median"": 9.6, ""p20"": 9.1, ""p80"": 9.96}","{""median"": 0.21, ""p20"": 0.2, ""p80"": 0.17}",observed_seller_data|12|2026-04-19|30
observed_seller_data|12|2026-04-19,observed_seller_data,12,2026-04-19,2026-04-12,17281,16872,"{""median"": 9.39, ""p20"": 8.9, ""p80"": 9.79}","{""median"": 9.27, ""p20"": 8.784, ""p80"": 9.79}",0.116,0.12,0.0,0.49,-0.18503169863013724,-0.18503169863013724,6.730929465753423,6.91596116438356,6.91596116438356,2026-04-17,2026-04-10,2026-04-10,14,2026-05-03,18074,"{""median"": 9.3, ""p20"": 8.92, ""p80"": 9.5843}","{""median"": -0.09, ""p20"": 0.02, ""p80"": -0.2057}",observed_seller_data|12|2026-04-19|14
observed_seller_data|24|2026-04-19,observed_seller_data,24,2026-04-19,2026-04-12,17271,16877,"{""median"": 8.6, ""p20"": 8.282, ""p80"": 9.1288}","{""median"": 8.6779, ""p20"": 8.152, ""p80"": 9.3238}",0.13,-0.0779,-0.195,0.318,-0.12495233242134329,-0.12495233242134329,6.103619534883719,6.228571867305062,6.228571867305062,2026-04-17,2026-04-10,2026-04-10,30,2026-05-19,18969,"{""median"": 8.83, ""p20"": 8.41, ""p80"": 9.153}","{""median"": 0.23, ""p20"": 0.128, ""p80"": 0.0242}",observed_seller_data|24|2026-04-19|30
observed_seller_data|24|2026-04-19,observed_seller_data,24,2026-04-19,2026-04-12,17271,16877,"{""median"": 8.6, ""p20"": 8.282, ""p80"": 9.1288}","{""median"": 8.6779, ""p20"": 8.152, ""p80"": 9.3238}",0.13,-0.0779,-0.195,0.318,-0.12495233242134329,-0.12495233242134329,6.103619534883719,6.228571867305062,6.228571867305062,2026-04-17,2026-04-10,2026-04-10,14,2026-05-03,18064,"{""median"": 8.58, ""p20"": 8.28, ""p80"": 8.975}","{""median"": -0.02, ""p20"": -0.002, ""p80"": -0.1538}",observed_seller_data|24|2026-04-19|14
observed_seller_data|6|2026-04-20,observed_seller_data,6,2026-04-20,2026-04-13,17311,16912,"{""median"": 7.6525, ""p20"": 7.37, ""p80"": 8.2968}","{""median"": 7.8, ""p20"": 7.486, ""p80"": 8.228}",-0.116,-0.1475,0.0688,0.2825,-0.17822364130434742,-0.17822364130434742,5.393219266304348,5.571442907608695,5.571442907608695,2026-04-17,2026-04-10,2026-04-10,30,2026-05-20,19043,"{""median"": 8.7071, ""p20"": 8.442, ""p80"": 9.67}","{""median"": 1.0546, ""p20"": 1.072, ""p80"": 1.3732}",observed_seller_data|6|2026-04-20|30
