id,forecast_date,target_date,horizon_days,duration_months,target_quantile,current_price_cents_per_kwh,forecast_price_cents_per_kwh,expected_change_cents_per_kwh,interval_low_cents_per_kwh,interval_high_cents_per_kwh,hedge_cost_cents_per_kwh,retail_premium_cents_per_kwh,normal_retail_premium_cents_per_kwh,fair_price_cents_per_kwh,gap_cents_per_kwh,futures_trade_date,coverage_quality,confidence,direction,consumer_signal,contract_count,model_version,source_metadata,actual_price_cents_per_kwh,actual_change_cents_per_kwh,forecast_error_cents_per_kwh,absolute_error_cents_per_kwh,actual_direction,direction_correct,evaluated_at,created_at,updated_at
505,2026-06-13,2026-07-13,30,6,median,10.5638,10.4448,-0.1190,,,7.5577,3.0061,2.6094,10.1672,-0.3966,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.2000,0.6362,-0.7552,0.7552,rising,0,2026-07-13 04:45:01,2026-06-13 04:30:09,2026-07-13 04:45:01
506,2026-06-13,2026-07-13,30,6,p20,9.3083,9.1658,-0.1425,,,7.5577,1.7506,1.2754,8.8332,-0.4751,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.4265,1.1182,-1.2607,1.2607,rising,0,2026-07-13 04:45:01,2026-06-13 04:30:09,2026-07-13 04:45:01
507,2026-06-13,2026-07-13,30,6,p80,11.0560,10.9313,-0.1247,,,7.5577,3.4983,3.0825,10.6402,-0.4158,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.7237,0.6677,-0.7924,0.7924,rising,0,2026-07-13 04:45:01,2026-06-13 04:30:09,2026-07-13 04:45:01
508,2026-06-13,2026-07-13,30,12,median,10.1000,10.0407,-0.0593,,,7.4029,2.6971,2.4994,9.9023,-0.1977,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.0800,-0.0200,-0.0393,0.0393,slightly_falling,1,2026-07-13 04:45:01,2026-06-13 04:30:09,2026-07-13 04:45:01
509,2026-06-13,2026-07-13,30,12,p20,9.4000,9.3458,-0.0542,,,7.4029,1.9971,1.8164,9.2193,-0.1807,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.4160,0.0160,-0.0702,0.0702,slightly_rising,1,2026-07-13 04:45:01,2026-06-13 04:30:09,2026-07-13 04:45:01
510,2026-06-13,2026-07-13,30,12,p80,10.4200,10.3627,-0.0573,,,7.4029,3.0171,2.8261,10.2290,-0.1910,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.4200,0.0000,-0.0573,0.0573,flat,1,2026-07-13 04:45:01,2026-06-13 04:30:10,2026-07-13 04:45:01
511,2026-06-13,2026-07-13,30,24,median,9.0700,9.0352,-0.0348,,,6.6030,2.4670,2.3510,8.9540,-0.1160,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.1000,0.0300,-0.0648,0.0648,slightly_rising,1,2026-07-13 04:45:01,2026-06-13 04:30:10,2026-07-13 04:45:01
512,2026-06-13,2026-07-13,30,24,p20,8.7900,8.7484,-0.0416,,,6.6030,2.1870,2.0483,8.6513,-0.1387,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",8.7500,-0.0400,-0.0016,0.0016,slightly_falling,1,2026-07-13 04:45:01,2026-06-13 04:30:10,2026-07-13 04:45:01
513,2026-06-13,2026-07-13,30,24,p80,9.5040,9.4758,-0.0282,,,6.6030,2.9010,2.8071,9.4101,-0.0939,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.5600,0.0560,-0.0842,0.0842,slightly_rising,1,2026-07-13 04:45:01,2026-06-13 04:30:10,2026-07-13 04:45:01
514,2026-06-14,2026-07-14,30,6,median,10.5638,10.4746,-0.0892,,,7.5577,3.0061,2.7086,10.2663,-0.2975,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.2000,0.6362,-0.7254,0.7254,rising,0,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
