iso_week,forecast_date,6m_change,6m_signal,12m_change,12m_signal,24m_change,24m_signal
2026-W24,2026-06-14,-0.0892,neutral,-0.0445,neutral,-0.0261,neutral
2026-W25,2026-06-21,-0.0093,neutral,-0.0048,neutral,-0.0095,neutral
2026-W26,2026-06-28,-0.0022,neutral,0.0122,neutral,0.0067,neutral
2026-W27,2026-07-05,0.146,neutral,0.0523,neutral,0.0426,neutral
2026-W28,2026-07-12,-0.0168,neutral,-0.0086,neutral,0.0097,neutral
2026-W29,2026-07-19,0.0466,neutral,0.0274,neutral,0.0114,neutral
2026-W30,2026-07-26,-0.0261,neutral,0.0164,neutral,-0.0048,neutral
2026-W31,2026-08-01,0.3474,lock,-0.0574,neutral,-0.0379,neutral
2026-W32,2026-08-09,-0.1042,neutral,-0.2738,wait,-0.1124,neutral
2026-W33,2026-08-16,-0.3349,wait,-0.3041,wait,-0.1372,neutral
2026-W34,2026-08-23,-0.2472,wait,-0.2023,wait,-0.078,neutral
2026-W35,2026-08-30,-0.4367,wait,-0.311,wait,-0.1546,wait
2026-W36,2026-09-06,-0.0761,neutral,-0.2971,wait,-0.0604,neutral
2026-W37,2026-09-13,0.1545,lock,-0.2318,wait,-0.0267,neutral
