company,term,issue_date,target_date,current,actual,market_current,hedge,trade_date,supplier_history_n,supplier_history_observed,supplier_history_canonical,supplier_history_unique_levels,supplier_history_median_changes,supplier_history_curve_failures,supplier_history_missing_dates,supplier_history_last_date,market_history_n,market_history_observed,market_history_canonical,market_history_unique_levels,market_history_median_changes,market_history_curve_failures,market_history_missing_dates,market_history_last_date,reasons,supplier_premium,market_premium,supplier_forecast,unchanged_forecast,pooled_forecast,supplier_ae,unchanged_ae,pooled_ae
Alajärven Sähkö Oy,12,2026-07-27,2026-08-26,9.9,11.0,10.48,8.763114863013698,2026-07-24,109,109,0,2,1,1,0,2026-07-26,109,109,0,36,37,1,0,2026-07-26,,0.9836687792931167,1.7431373134513115,9.854035092692044,9.9,9.907875652939502,1.145964907307956,1.0999999999999996,1.0921243470604978
Alajärven Sähkö Oy,12,2026-07-28,2026-08-27,9.9,11.0,10.545,8.568218520547944,2026-07-27,110,109,1,2,1,1,0,2026-07-27,110,109,1,36,37,1,0,2026-07-27,,1.0219728687164131,1.7365742693350592,9.807057416779307,9.9,9.827937836964901,1.1929425832206935,1.0999999999999996,1.1720621630350987
Alajärven Sähkö Oy,12,2026-07-29,2026-08-28,9.9,11.0,10.6,8.490944904109588,2026-07-28,111,109,2,2,1,1,0,2026-07-28,111,109,2,37,38,1,0,2026-07-28,,1.0994250214003238,1.7966260718643083,9.807110977652973,9.9,9.80627129279217,1.1928890223470265,1.0999999999999996,1.1937287072078302
Alajärven Sähkö Oy,12,2026-07-30,2026-08-29,9.9,11.0,10.66,8.781259068493151,2026-07-29,112,109,3,2,1,1,0,2026-07-29,112,109,3,38,39,1,0,2026-07-29,,1.176832540022846,1.8747333278708342,9.9174274825548,9.9,9.898797718909195,1.0825725174452003,1.0999999999999996,1.1012022810908046
Alajärven Sähkö Oy,12,2026-07-31,2026-08-30,9.9,11.0,10.66,8.746273794520546,2026-07-30,113,109,4,2,1,1,0,2026-07-30,113,109,4,39,40,1,0,2026-07-30,,1.162309637893847,1.875735228779838,9.902575029724318,9.9,9.888602706990115,1.0974249702756822,1.0999999999999996,1.111397293009885
Alajärven Sähkö Oy,12,2026-08-01,2026-08-31,9.9,11.0,10.815,8.888607986301372,2026-07-31,114,109,5,2,1,1,0,2026-07-31,114,109,5,39,40,1,0,2026-07-31,,1.1601637797902489,1.885232972954742,9.944631529827486,9.9,9.887652287776834,1.055368470172514,1.0999999999999996,1.1123477122231655
Alajärven Sähkö Oy,12,2026-08-02,2026-09-01,9.9,11.0,10.815,8.888607986301372,2026-07-31,115,109,6,2,1,1,0,2026-08-01,115,109,6,40,41,1,0,2026-08-01,,1.1229708382673438,1.8955227331407134,9.933473647370615,9.9,9.890739215832626,1.0665263526293849,1.0999999999999996,1.1092607841673736
Alajärven Sähkö Oy,12,2026-08-03,2026-09-02,9.9,11.0,10.99,8.888607986301372,2026-07-31,116,109,7,2,1,1,0,2026-08-02,116,109,7,40,41,1,0,2026-08-02,,1.095076132125165,1.903240053280192,9.925105235527962,9.9,9.84055441187447,1.0748947644720381,1.0999999999999996,1.1594455881255303
Alajärven Sähkö Oy,12,2026-08-04,2026-09-03,9.9,11.0,10.925,8.728779438356165,2026-08-03,117,109,8,2,1,1,0,2026-08-03,117,109,8,41,42,1,0,2026-08-03,,1.074155102518531,1.9527780433848012,9.87088036226241,9.9,9.82696724452229,1.12911963773759,1.0999999999999996,1.1730327554777098
Alajärven Sähkö Oy,12,2026-08-05,2026-09-04,9.9,11.0,10.99,8.838225753424656,2026-08-04,118,109,9,2,1,1,0,2026-08-04,118,109,9,42,43,1,0,2026-08-04,,1.0984214672998571,2.01363867294956,9.910994166217353,9.9,9.858559327912264,1.0890058337826467,1.0999999999999996,1.141440672087736
