snapshot_id,company,term,date,reasons
94710,Pohjois-Karjalan Sähkö Oy,6,2026-04-08,not_General
94711,Paneliankosken Voima Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94713,Korpelan Energia Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94714,Väre Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94716,Hehku Energia Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94719,Keravan Energia Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94724,Nurmijärven Sähkö Oy,12,2026-04-08,not_General
94738,Köyliön-Säkylän Sähkö Oy,12,2026-04-08,not_General
94741,Lammaisten Energia Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice;not_General
94744,Nurmijärven Sähkö Oy,24,2026-04-08,not_General
94752,Paneliankosken Voima Oy,12,2026-04-08,not_General
94753,Lammaisten Energia Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice;not_General
94754,Pohjois-Karjalan Sähkö Oy,24,2026-04-08,not_General
94758,Paneliankosken Voima Oy,24,2026-04-08,not_General
94760,Koillis-Satakunnan Sähkö Oy,12,2026-04-08,not_General
94765,Nurmijärven Sähkö Oy,24,2026-04-08,not_General
94771,Nordic Green Energy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94772,Lammaisten Energia Oy,24,2026-04-08,not_General
94774,Korpelan Energia Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94775,Kokkolan Energia Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94781,Oomi Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94782,Porvoon Energia Oy,12,2026-04-08,not_General
94788,Keravan Energia Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94792,Porvoon Energia Oy,24,2026-04-08,not_General
94796,Paneliankosken Voima Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice;not_General
94798,Koillis-Satakunnan Sähkö Oy,24,2026-04-08,not_General
94799,Äänekosken Energia Oy,6,2026-04-08,not_General
94803,Lammaisten Energia Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice;not_General
94811,Porvoon Energia Oy,12,2026-04-08,not_General
94812,Omavoima Oy,12,2026-04-08,not_General
94817,Vaasan Sähkö Myynti Oy,24,2026-04-08,not_General
94828,Alajärven Sähkö Oy,12,2026-04-08,not_General
94836,Keravan Energia Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94842,Pohjois-Karjalan Sähkö Oy,12,2026-04-08,not_General
94849,Imatran Seudun Sähkö Oy,6,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94858,Äänekosken Energia Oy,12,2026-04-08,not_General
94863,Lammaisten Energia Oy,12,2026-04-08,not_General
94864,Vaasan Sähkö Myynti Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94868,Lammaisten Energia Oy,12,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94869,Äänekosken Energia Oy,24,2026-04-08,not_General
94874,Paneliankosken Voima Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice;not_General
94875,Koillis-Satakunnan Sähkö Oy,12,2026-04-08,not_General
94877,Köyliön-Säkylän Sähkö Oy,12,2026-04-08,not_General
94879,Porvoon Energia Oy,24,2026-04-08,not_General
94880,Helen Oy,24,2026-04-08,not_exact_fixed_segment;not_FixedPrice
94883,Pohjois-Karjalan Sähkö Oy,6,2026-04-08,not_General
