company,term,n,supplier_mae,unchanged_mae,pooled_mae,improvement_vs_unchanged,improvement_pct_vs_unchanged,improvement_vs_pooled,improvement_pct_vs_pooled,attempted_n,exact_date_pair_n,excluded_n,exclusions,first_date,latest_date,daily_n,unique_levels,median_changes,history_min,history_max,history_unique_levels_min,history_unique_levels_max,history_changes_min,history_changes_max
Aalto energia Oyj,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19, ""supplier_history_below_10"": 19}",,,0,0,0,,,,,,
Aalto energia Oyj,12,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-06-02,56,1,0,,,,,,
Aalto energia Oyj,24,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-06-02,56,1,0,,,,,,
Alajärven Sähkö Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19, ""supplier_history_below_10"": 19}",,,0,0,0,,,,,,
Alajärven Sähkö Oy,12,19,0.7147337973263845,0.6368421052631577,0.6900601972134106,-0.07789169206322688,-12.2309268529034,-0.024673600112973926,-3.575572133070483,19,19,0,{},2026-04-08,2026-09-13,159,3,2,109,127,2,3,1,2
Alajärven Sähkö Oy,24,19,0.2929003888127124,0.2605263157894733,0.28311381412468295,-0.032374073023239136,-12.426411867505951,-0.009786574688029459,-3.4567633932971793,19,19,0,{},2026-04-08,2026-09-13,159,4,3,109,127,3,4,2,3
Cheap Energy Finland Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 16, ""no_exact_target"": 19}",2026-04-08,2026-08-02,111,6,5,,,,,,
Cheap Energy Finland Oy,12,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 10, ""supplier_history_below_10"": 19}",2026-09-03,2026-09-11,9,1,0,,,,,,
Cheap Energy Finland Oy,24,19,0.20027120852166497,0.1831578947368424,0.20373844144279174,-0.01711331378482256,-9.343475917000807,0.0034672329211267727,1.7018059510877068,19,19,0,{},2026-04-08,2026-09-13,159,13,12,109,127,10,12,9,11
Fortum Markets Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19, ""supplier_history_below_10"": 19}",,,0,0,0,,,,,,
Fortum Markets Oy,12,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19, ""supplier_history_below_10"": 19}",,,0,0,0,,,,,,
Fortum Markets Oy,24,19,0.038120123418384576,0.0,0.03239330919622066,-0.038120123418384576,,-0.005726814222163916,-17.679003362929237,19,19,0,{},2026-06-04,2026-09-13,100,9,9,51,69,8,9,8,9
Hehku Energia Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 18, ""no_exact_target"": 19}",2026-04-08,2026-07-27,105,6,5,,,,,,
Hehku Energia Oy,12,18,0.8658464718670104,0.8150000000000003,0.8666689407428179,-0.05084647186701008,-6.238830903927615,0.0008224688758075027,0.09490000588951168,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,158,8,7,109,126,4,6,3,5
Hehku Energia Oy,24,18,0.19177988851617458,0.1694444444444441,0.19343796451848239,-0.022335444071730493,-13.181573550529498,0.0016580760023078012,0.857161626175702,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,158,12,12,109,126,10,11,10,11
Helen Oy,6,17,0.9679858445495895,0.9976470588235298,1.0398616150954036,0.029661214273940306,2.973116996798261,0.07187577054581418,6.912051517472335,19,17,2,"{""no_exact_current"": 2}",2026-04-08,2026-09-13,157,23,22,109,125,15,18,14,17
Helen Oy,12,17,0.4750048109474584,0.5041176470588234,0.4661559212819005,0.02911283611136506,5.775008330142428,-0.008848889665557913,-1.8982682106073014,19,17,2,"{""no_exact_current"": 2}",2026-04-08,2026-09-13,157,18,20,109,125,12,15,12,15
Helen Oy,24,17,0.3769077156874445,0.39705882352941113,0.38128119646258407,0.02015110784196661,5.075093826865673,0.004373480775139549,1.1470486390924677,19,17,2,"{""no_exact_current"": 2}",2026-04-08,2026-09-13,157,18,20,109,125,13,15,13,16
Imatran Seudun Sähkö Oy,6,17,0.7673423883989381,0.6894117647058826,0.770696179976056,-0.07793062369305548,-11.303930057866404,0.003353791577117904,0.43516390300806984,19,17,2,"{""no_exact_current"": 1, ""no_exact_target"": 1}",2026-04-08,2026-09-13,157,17,16,109,126,8,11,7,10
Imatran Seudun Sähkö Oy,12,18,0.23135503322423645,0.18333333333333326,0.2389063963486404,-0.048021699890903186,-26.1936544859472,0.007551363124403937,3.1608040805169977,19,18,1,"{""no_exact_target"": 1}",2026-04-08,2026-09-13,158,14,16,109,127,10,11,9,10
Imatran Seudun Sähkö Oy,24,17,0.3942335836124981,0.39176470588235346,0.41055191852977363,-0.0024688777301446474,-0.6301940152020863,0.016318334917275523,3.9747311316222973,19,17,2,"{""no_exact_current"": 1, ""no_exact_target"": 1}",2026-04-08,2026-09-13,157,18,19,109,126,9,11,9,11
Keravan Energia Oy,6,18,0.9516335038120635,0.9583333333333331,0.9757580009273997,0.0066998295212696846,0.6991126456977064,0.024124497115336263,2.4723852730295186,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,158,13,13,109,126,8,10,8,10
