company_name,term_months,snapshot_rows,snapshot_dates,snapshot_contract_ids_not_lineages,snapshot_first,snapshot_last,snapshot_age_days_at_2026_09_13,snapshot_nonnull_energy_rows,snapshot_basis_counts,snapshot_segment_counts,snapshot_pricing_model_counts,snapshot_metering_counts,premium_rows_one_reference,premium_lineages,premium_first_observed,premium_last_observed,premium_age_days_at_2026_09_13,stored_component_period_keys_excluding_seams,unique_lineage_price_signatures_not_repricing_count,seam_rows,unresolved_seam_targets,chronology_pair_counts,method_counts,vat_counts,quality_counts,quality_flag_counts,nonnull_known_vat_rows_before_compatibility_filter,usable_general_premium_rows,usable_general_lineages,exclusion_reason_counts_nonexclusive,usable_included_rows,descriptive_included_median_cents_per_kwh,usable_excluded_rows,descriptive_excluded_median_cents_per_kwh,descriptive_status,supplier_forecast_status
Aalto energia Oyj,6,0,0,0,,,,0,{},{},{},{},0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Aalto energia Oyj,12,56,56,1,2026-04-08,2026-06-02,103,56,"{""observed_seller_data"": 56}","{""fixed_term_12"": 56}","{""FixedPrice"": 56}","{""General"": 56}",0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Aalto energia Oyj,24,56,56,1,2026-04-08,2026-06-02,103,56,"{""observed_seller_data"": 56}","{""fixed_term_24"": 56}","{""FixedPrice"": 56}","{""General"": 56}",0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Alajärven Sähkö Oy,6,0,0,0,,,,0,{},{},{},{},0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Alajärven Sähkö Oy,12,318,159,6,2026-04-08,2026-09-13,0,318,"{""canonical_calculation"": 98, ""observed_seller_data"": 220}","{""fixed_term_12"": 318}","{""FixedPrice"": 318}","{""General"": 159, ""Time"": 159}",22,8,2026-07-23,2026-09-12,1,22,22,0,0,"{""dated_energy_or_fee_change_component_pair"": 6, ""overlapping_period_pair_ambiguous"": 4}","{""retail-premium-v2"": 22}","{""unknown"": 22}","{""inferred"": 22}","{""calendar_period_unknown"": 22, ""multi_rate_component_not_aggregated"": 14, ""vat_unknown"": 22}",0,0,0,"{""multi_rate_not_aggregate"": 14, ""null_energy_premium"": 22, ""null_vat_matched_reference"": 22, ""unknown_or_mixed_energy_vat"": 22}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Alajärven Sähkö Oy,24,318,159,8,2026-04-08,2026-09-13,0,318,"{""canonical_calculation"": 98, ""observed_seller_data"": 220}","{""fixed_term_24"": 318}","{""FixedPrice"": 318}","{""General"": 159, ""Time"": 159}",20,8,2026-07-23,2026-09-12,1,20,20,0,0,"{""dated_energy_or_fee_change_component_pair"": 6, ""overlapping_period_pair_ambiguous"": 2}","{""retail-premium-v2"": 20}","{""unknown"": 20}","{""inferred"": 20}","{""calendar_period_unknown"": 20, ""multi_rate_component_not_aggregated"": 14, ""vat_unknown"": 20}",0,0,0,"{""multi_rate_not_aggregate"": 14, ""null_energy_premium"": 20, ""null_vat_matched_reference"": 20, ""unknown_or_mixed_energy_vat"": 20}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Cheap Energy Finland Oy,6,113,113,7,2026-04-08,2026-08-02,42,111,"{""canonical_calculation"": 3, ""observed_seller_data"": 110}","{""fixed_term_6"": 113}","{""FixedPrice"": 113}","{""General"": 113}",6,3,2026-07-23,2026-08-01,43,6,6,0,0,{},"{""retail-premium-v2"": 6}","{""included"": 6}","{""inferred"": 6}","{""calendar_period_unknown"": 6, ""source_consistency_conflicting"": 2, ""source_consistency_incomplete"": 4}",6,0,0,"{""source_consistency_conflicting"": 2, ""source_consistency_incomplete"": 4}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Cheap Energy Finland Oy,12,9,9,1,2026-09-03,2026-09-11,2,9,"{""canonical_calculation"": 9}","{""fixed_term_12"": 9}","{""FixedPrice"": 9}","{""General"": 9}",1,1,2026-09-03,2026-09-11,2,1,1,0,0,{},"{""retail-premium-v2"": 1}","{""unknown"": 1}","{""inferred"": 1}","{""calendar_period_unknown"": 1, ""vat_unknown"": 1}",0,0,0,"{""null_energy_premium"": 1, ""null_vat_matched_reference"": 1, ""unknown_or_mixed_energy_vat"": 1}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Cheap Energy Finland Oy,24,162,159,12,2026-04-08,2026-09-13,0,162,"{""canonical_calculation"": 51, ""observed_seller_data"": 111}","{""fixed_term_24"": 162}","{""FixedPrice"": 162}","{""General"": 162}",20,5,2026-04-10,2026-09-12,1,20,19,0,0,"{""dated_energy_or_fee_change_component_pair"": 9, ""overlapping_period_pair_ambiguous"": 1, ""same_signature_new_key_not_proven_repricing"": 1}","{""retail-premium-history-v2"": 8, ""retail-premium-v2"": 12}","{""included"": 20}","{""inferred"": 20}","{""calendar_period_unknown"": 12, ""discount_effect_unresolved"": 8, ""historical_relational_components"": 8, ""vat_mapping_propagated_to_history"": 8}",20,12,5,"{""discount_effect_unresolved"": 8}",12,1.8576,0,,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
Fortum Markets Oy,6,0,0,0,,,,0,{},{},{},{},0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Fortum Markets Oy,12,156,156,12,2026-04-08,2026-09-13,0,156,"{""canonical_calculation"": 48, ""observed_seller_data"": 108}","{""hybrid"": 156}","{""Hybrid"": 156}","{""General"": 156}",29,6,2026-04-20,2026-09-12,1,28,19,1,0,"{""dated_energy_or_fee_change_component_pair"": 16, ""same_signature_new_key_not_proven_repricing"": 5}","{""retail-premium-history-v2"": 12, ""retail-premium-v2"": 17}","{""unknown"": 29}","{""inferred"": 29}","{""calendar_period_unknown"": 17, ""continues_prior_history_period"": 1, ""historical_relational_components"": 12, ""vat_mapping_propagated_to_history"": 12, ""vat_unknown"": 29}",0,0,0,"{""method_seam_not_independent"": 1, ""null_energy_premium"": 29, ""null_vat_matched_reference"": 29, ""unknown_or_mixed_energy_vat"": 29}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Fortum Markets Oy,24,282,159,24,2026-04-08,2026-09-13,0,280,"{""canonical_calculation"": 97, ""observed_seller_data"": 185}","{""fixed_term_24"": 126, ""hybrid"": 156}","{""FixedPrice"": 126, ""Hybrid"": 156}","{""General"": 282}",29,7,2026-04-13,2026-09-12,1,28,22,1,0,"{""dated_energy_or_fee_change_component_pair"": 14, ""same_signature_new_key_not_proven_repricing"": 5, ""signature_change_without_energy_fee_change"": 1}","{""retail-premium-history-v2"": 12, ""retail-premium-v2"": 17}","{""included"": 4, ""unknown"": 25}","{""inferred"": 29}","{""calendar_period_unknown"": 17, ""continues_prior_history_period"": 1, ""historical_relational_components"": 12, ""source_consistency_incomplete"": 1, ""vat_mapping_propagated_to_history"": 12, ""vat_unknown"": 25}",4,4,2,"{""method_seam_not_independent"": 1, ""null_energy_premium"": 25, ""null_vat_matched_reference"": 25, ""source_consistency_incomplete"": 1, ""unknown_or_mixed_energy_vat"": 25}",4,2.35055,0,,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
Hehku Energia Oy,6,107,107,7,2026-04-08,2026-07-27,48,105,"{""canonical_calculation"": 1, ""observed_seller_data"": 106}","{""fixed_term_6"": 107}","{""FixedPrice"": 107}","{""General"": 107}",10,2,2026-04-24,2026-07-28,47,9,9,1,0,"{""dated_energy_or_fee_change_component_pair"": 5}","{""retail-premium-history-v2"": 7, ""retail-premium-v2"": 3}","{""included"": 3, ""unknown"": 7}","{""inferred"": 10}","{""calendar_period_unknown"": 3, ""continues_prior_history_period"": 1, ""discount_effect_unresolved"": 1, ""historical_relational_components"": 7, ""period_follows_lineage_absence"": 1, ""source_consistency_incomplete"": 2, ""vat_mapping_propagated_to_history"": 7, ""vat_unknown"": 7}",3,0,0,"{""discount_effect_unresolved"": 1, ""method_seam_not_independent"": 1, ""null_energy_premium"": 7, ""null_vat_matched_reference"": 7, ""source_consistency_incomplete"": 2, ""unknown_or_mixed_energy_vat"": 7}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
