company_name,term_months,before_id,after_id,lineage_key,method_version,energy_component_type,phase_index,vat_basis,before_last_observed,after_first_observed,status,both_rows_numerically_compatible
Alajärven Sähkö Oy,12,3171,3849,a8a24624d7f499531c3a293f0f59094c33a60bb7f6d821eba5c8678ab0ed7a82,retail-premium-v2,energy_day,0,unknown,2026-07-27,2026-07-23,overlapping_period_pair_ambiguous,False
Alajärven Sähkö Oy,12,3849,4811,a8a24624d7f499531c3a293f0f59094c33a60bb7f6d821eba5c8678ab0ed7a82,retail-premium-v2,energy_day,0,unknown,2026-08-05,2026-08-07,dated_energy_or_fee_change_component_pair,False
Alajärven Sähkö Oy,12,3172,3850,a8a24624d7f499531c3a293f0f59094c33a60bb7f6d821eba5c8678ab0ed7a82,retail-premium-v2,energy_night,0,unknown,2026-07-27,2026-07-23,overlapping_period_pair_ambiguous,False
Alajärven Sähkö Oy,12,3850,4812,a8a24624d7f499531c3a293f0f59094c33a60bb7f6d821eba5c8678ab0ed7a82,retail-premium-v2,energy_night,0,unknown,2026-08-05,2026-08-07,dated_energy_or_fee_change_component_pair,False
Alajärven Sähkö Oy,12,3657,4051,d21481c9d2ea9f0d2b5adb6b5edd88bed74e1484cbd7d387d7125e9482f666a9,retail-premium-v2,energy_general,0,unknown,2026-07-27,2026-07-23,overlapping_period_pair_ambiguous,False
Alajärven Sähkö Oy,12,4051,4850,d21481c9d2ea9f0d2b5adb6b5edd88bed74e1484cbd7d387d7125e9482f666a9,retail-premium-v2,energy_general,0,unknown,2026-08-05,2026-08-07,dated_energy_or_fee_change_component_pair,False
Alajärven Sähkö Oy,12,3587,4024,e3c3a30946549a3b96324c09fb1bb78f359eabe2c43c3d75d8cfecc381a8b198,retail-premium-v2,energy_general,0,unknown,2026-07-27,2026-07-23,overlapping_period_pair_ambiguous,False
Alajärven Sähkö Oy,12,4024,4813,e3c3a30946549a3b96324c09fb1bb78f359eabe2c43c3d75d8cfecc381a8b198,retail-premium-v2,energy_general,0,unknown,2026-08-05,2026-08-07,dated_energy_or_fee_change_component_pair,False
Alajärven Sähkö Oy,12,3645,4776,f40e02dfb8ac31c1280cc4aa808bb6871a34a8b18809fdeae74438f0a77ae270,retail-premium-v2,energy_night,0,unknown,2026-08-05,2026-08-07,dated_energy_or_fee_change_component_pair,False
Alajärven Sähkö Oy,12,3646,4777,f40e02dfb8ac31c1280cc4aa808bb6871a34a8b18809fdeae74438f0a77ae270,retail-premium-v2,energy_day,0,unknown,2026-08-05,2026-08-07,dated_energy_or_fee_change_component_pair,False
